Assault, 1000, 504, 789, 1543
Assault, 10000, 336, 933, 1752
Assault, 100000, 630, 1242, 2917
BeamRider, 1000, 660, 2115, 5762
BeamRider, 10000, 660, 2448, 5670
BeamRider, 100000, 996, 4345, 7680
CrazyClimber, 1000, 28500, 52814, 109500
CrazyClimber, 10000, 32000, 105450, 142200
CrazyClimber, 100000, 29500, 106087, 154400
DemonAttack, 1000, 50, 924, 4380
DemonAttack, 10000, 90, 2438, 5830
DemonAttack, 100000, 110, 2686, 8775
Gopher, 1000, 220, 1881, 3920
Gopher, 10000, 660, 2037, 4060
Gopher, 100000, 420, 2390, 4900
Kangaroo, 1000, 200, 270, 400
Kangaroo, 10000, 800, 2829, 5500
Kangaroo, 100000, 800, 3782, 9800
KungFuMaster, 1000, 3300, 13244, 27100
KungFuMaster, 10000, 7200, 15133, 26600
KungFuMaster, 100000, 5400, 15676, 27900
RoadRunner, 1000, 0, 17271, 31600
RoadRunner, 10000, 18300, 27804, 40400
RoadRunner, 100000, 10500, 34333, 49500
SpaceInvaders, 1000, 200, 407, 675
SpaceInvaders, 10000, 35, 509, 1415
SpaceInvaders, 100000, 195, 596, 1180
StarGunner, 1000, 1100, 1957, 3800
StarGunner, 10000, 700, 2387, 6000
StarGunner, 100000, 600, 2060, 4000
VideoPinball, 1000, 1905, 45684, 219342
VideoPinball, 10000, 604, 28064, 129497
VideoPinball, 100000, 2115, 18353, 86360
