#{"t_start": 1538081326.2184815, "env_id": "AssaultNoFrameskip-v4"}
r,l,t
378.0,558,3.421036
189.0,405,4.364292
336.0,689,5.95784
231.0,509,7.13295
294.0,671,8.716261
357.0,782,10.514793
168.0,284,11.16324
210.0,531,12.395258
210.0,637,13.861501
252.0,513,15.039814
231.0,484,16.150752
210.0,544,17.407675
441.0,830,19.330015
210.0,536,20.563994
147.0,350,21.369363
357.0,666,22.905223
210.0,488,24.024653
189.0,446,25.052246
273.0,527,27.309976
231.0,515,30.428655
294.0,606,34.043822
315.0,577,37.552757
252.0,478,40.417641
84.0,321,42.380706
252.0,638,46.170964
378.0,701,50.313788
231.0,651,54.192954
189.0,542,57.407502
252.0,514,60.440346
462.0,867,65.606766
189.0,478,68.43502
168.0,535,71.659215
231.0,576,75.073343
189.0,535,78.35861
378.0,667,82.314345
315.0,648,86.165251
231.0,549,89.769993
294.0,657,93.772047
273.0,670,97.757144
252.0,489,100.659064
189.0,382,102.922379
168.0,343,105.027703
126.0,321,106.960875
210.0,607,110.637602
189.0,548,113.894381
189.0,545,117.113482
210.0,466,119.868021
231.0,535,123.045452
252.0,675,127.078134
231.0,530,130.258942
210.0,465,133.089353
189.0,395,135.41514
336.0,621,139.098319
399.0,626,142.804814
189.0,449,145.510809
189.0,497,148.552489
294.0,707,152.842045
210.0,534,156.004956
357.0,675,160.046685
210.0,418,162.519017
189.0,655,166.415111
294.0,656,170.370862
231.0,561,173.748636
210.0,517,176.79931
210.0,512,179.981015
294.0,625,183.726008
126.0,259,185.290289
189.0,572,188.703195
315.0,679,192.76843
189.0,575,196.169945
357.0,712,200.431557
210.0,609,204.043945
147.0,664,207.994443
294.0,445,210.676997
189.0,594,214.301755
273.0,679,218.461261
147.0,366,220.638328
315.0,557,224.012789
315.0,607,227.68154
168.0,444,230.309129
210.0,569,233.684189
189.0,533,236.921616
357.0,702,241.108046
210.0,482,243.973536
294.0,748,248.483056
336.0,747,252.985921
126.0,287,254.698647
210.0,556,258.043132
357.0,704,262.355601
147.0,381,264.651697
189.0,512,267.781208
336.0,733,272.137233
231.0,513,275.199993
336.0,764,279.83651
294.0,617,283.508003
273.0,660,287.511244
315.0,641,291.431174
294.0,523,294.529268
357.0,576,298.047891
231.0,513,301.106305
189.0,594,304.729697
126.0,437,307.321419
147.0,353,309.424003
210.0,412,311.902367
399.0,772,316.492249
273.0,609,320.132169
210.0,363,322.35586
315.0,557,325.7053
273.0,687,329.914256
210.0,574,333.317257
189.0,461,336.109619
168.0,379,338.338023
189.0,496,341.380881
252.0,498,344.384452
231.0,621,348.065904
189.0,623,351.774559
252.0,677,355.832498
168.0,316,357.680803
210.0,551,360.998124
189.0,610,364.662606
231.0,697,368.832486
294.0,446,371.50344
252.0,621,375.192589
189.0,483,378.048216
210.0,525,381.320421
315.0,744,385.75923
315.0,693,389.972549
210.0,627,393.72343
147.0,351,395.821935
231.0,602,399.39009
252.0,607,403.102745
210.0,705,407.402372
210.0,544,410.712884
210.0,582,414.164395
189.0,486,417.061654
378.0,713,421.377059
126.0,451,424.04245
420.0,668,428.050395
