#{"env_id": "AssaultNoFrameskip-v4", "t_start": 1538101424.2848577}
r,l,t
210.0,544,3.469073
378.0,648,5.003982
315.0,609,6.452272
210.0,558,7.776112
189.0,475,8.906217
189.0,381,9.813667
231.0,660,11.395574
273.0,653,13.002635
294.0,485,14.153147
189.0,625,15.630443
210.0,574,16.993443
210.0,550,18.293094
126.0,448,19.358363
315.0,539,20.63939
231.0,659,22.214261
273.0,575,23.571961
189.0,546,24.866045
231.0,416,26.110332
252.0,645,30.043355
294.0,714,35.405457
378.0,725,40.87912
210.0,526,44.770994
231.0,715,50.19091
189.0,639,54.996052
168.0,489,58.670825
231.0,577,62.994285
315.0,667,68.046761
126.0,349,70.591972
189.0,588,75.01388
336.0,735,80.526985
126.0,449,83.879144
126.0,458,87.322584
168.0,422,90.424886
378.0,755,96.107437
252.0,665,101.109036
336.0,607,106.052333
378.0,671,111.050376
273.0,457,114.440594
252.0,629,119.214434
378.0,715,124.920636
252.0,576,129.247083
189.0,443,132.588805
210.0,782,138.440976
273.0,562,142.703152
315.0,695,148.047799
252.0,531,151.992543
315.0,640,156.824678
231.0,474,160.281183
189.0,570,164.488204
168.0,381,167.345317
168.0,586,171.788398
336.0,513,175.707869
105.0,446,179.031695
336.0,607,183.964046
315.0,672,188.955661
252.0,583,193.311781
168.0,330,195.749082
189.0,480,199.342097
252.0,606,203.87077
273.0,525,207.797482
189.0,580,212.148953
252.0,665,217.192658
252.0,547,221.279471
252.0,510,225.186736
189.0,601,229.692191
189.0,493,233.386905
294.0,651,238.276047
168.0,418,241.409
399.0,730,246.901986
357.0,538,251.02195
189.0,577,255.368079
231.0,560,259.565813
189.0,636,264.238216
252.0,515,268.037471
210.0,473,271.545532
357.0,545,275.588366
231.0,660,280.548788
357.0,663,285.630411
252.0,609,290.417439
231.0,660,295.325979
210.0,478,298.899017
378.0,581,303.299404
189.0,566,307.567854
189.0,492,311.295805
84.0,481,314.844146
294.0,674,319.76531
294.0,675,324.696162
378.0,708,330.060262
189.0,573,334.325602
189.0,349,336.876922
336.0,707,342.156333
189.0,599,346.631508
210.0,447,349.890658
210.0,521,353.667998
189.0,663,358.575988
399.0,690,363.674389
315.0,481,367.210538
231.0,493,370.882377
105.0,428,374.050134
147.0,579,378.350855
399.0,742,383.839093
252.0,444,387.073984
210.0,639,391.798552
315.0,626,396.464631
189.0,486,400.03264
210.0,523,403.884696
399.0,724,409.240856
315.0,537,413.214203
189.0,444,416.520403
399.0,610,421.017118
105.0,295,423.208072
294.0,612,427.775688
210.0,574,432.010374
231.0,627,436.660497
336.0,541,440.675932
252.0,508,444.434352
210.0,677,449.457158
315.0,707,454.792862
231.0,620,459.393803
336.0,699,464.461911
231.0,546,468.566069
357.0,542,472.679389
336.0,708,477.759257
168.0,635,481.952573
252.0,517,485.346083
252.0,637,489.555995
189.0,381,491.801813
189.0,495,494.865503
210.0,507,497.841594
273.0,661,501.789286
126.0,243,503.261849
252.0,551,506.670073
357.0,725,511.045539
210.0,539,514.33743
399.0,737,518.877195
399.0,620,522.647246
210.0,702,526.98188
273.0,628,530.831597
273.0,695,535.077591
189.0,515,538.261855
378.0,592,541.930012
378.0,673,546.003381
231.0,705,550.405735
315.0,540,554.484415
252.0,542,558.485329
357.0,641,563.285991
336.0,524,567.130836
168.0,418,570.200407
126.0,417,573.267829
252.0,483,576.892782
252.0,545,581.004125
189.0,475,584.584982
420.0,837,590.928711
294.0,492,594.607012
357.0,668,599.620285
189.0,403,602.64289
252.0,673,607.784868
462.0,660,613.009973
189.0,663,618.188519
315.0,722,624.614363
315.0,606,629.465864
210.0,513,633.292399
189.0,554,637.498973
210.0,452,640.886478
525.0,740,646.477365
231.0,526,650.397996
168.0,406,653.40273
273.0,699,658.667896
189.0,380,661.501736
336.0,602,666.017981
294.0,602,670.484363
336.0,523,674.376903
357.0,694,679.519647
210.0,614,684.110192
399.0,715,689.560447
357.0,704,694.986688
189.0,495,698.716422
357.0,578,702.97002
126.0,385,705.782482
189.0,490,709.399421
441.0,637,714.1164
273.0,735,719.550989
357.0,504,723.331697
273.0,679,728.410034
231.0,538,732.397917
