mean 100 episode reward,episodes,% time spent exploring,steps
2.9,100,95,13965
3.0,200,90,28184
2.9,300,86,41663
2.9,400,81,55726
3.2,500,76,69994
3.2,600,72,83930
3.4,700,67,98419
3.0,800,62,112166
3.0,900,58,126343
3.0,1000,53,140668
3.4,1100,48,155452
3.6,1200,43,171810
3.3,1300,37,188323
3.7,1400,32,205069
3.9,1500,26,223126
3.8,1600,20,241053
4.4,1700,13,260691
4.7,1800,6,283471
7.0,1900,1,316921
8.7,2000,1,350331
8.7,2100,1,383562
7.9,2200,1,412664
7.7,2300,1,441269
8.0,2400,1,469736
7.3,2500,1,493612
6.8,2600,1,516420
7.2,2700,1,543101
7.2,2800,1,569146
8.6,2900,1,597181
7.2,3000,1,621782
6.3,3100,1,644404
6.9,3200,1,668434
7.9,3300,1,693307
8.0,3400,1,718572
8.2,3500,1,744636
7.7,3600,1,767983
7.8,3700,1,792299
9.0,3800,1,820457
8.6,3900,1,845774
8.6,4000,1,871084
8.5,4100,1,896723
8.1,4200,1,920636
8.3,4300,1,944578
8.4,4400,1,969306
8.2,4500,1,995910
8.6,4600,1,1022220
8.5,4700,1,1047634
7.6,4800,1,1072889
8.0,4900,1,1098880
8.7,5000,1,1124198
9.2,5100,1,1150143
9.8,5200,1,1178321
10.5,5300,1,1208642
10.5,5400,1,1237308
9.4,5500,1,1262820
8.8,5600,1,1288751
8.1,5700,1,1312929
9.2,5800,1,1338655
9.1,5900,1,1364249
8.6,6000,1,1389339
9.6,6100,1,1415919
9.8,6200,1,1444442
8.4,6300,1,1469182
8.7,6400,1,1493444
10.0,6500,1,1521029
8.7,6600,1,1545446
8.8,6700,1,1570186
9.3,6800,1,1596716
9.3,6900,1,1622378
9.2,7000,1,1648493
9.3,7100,1,1676238
10.5,7200,1,1705451
8.4,7300,1,1729537
8.0,7400,1,1752989
7.9,7500,1,1775731
8.8,7600,1,1800369
8.4,7700,1,1823210
8.6,7800,1,1845583
8.2,7900,1,1868021
8.6,8000,1,1892884
8.6,8100,1,1917040
8.5,8200,1,1942219
8.3,8300,1,1965954
7.8,8400,1,1987666
9.0,8500,1,2012376
9.0,8600,1,2037907
9.1,8700,1,2064153
8.4,8800,1,2087541
7.6,8900,1,2109228
8.2,9000,1,2132930
8.0,9100,1,2155432
7.8,9200,1,2177773
8.0,9300,1,2200401
8.6,9400,1,2224236
8.2,9500,1,2247252
8.8,9600,1,2272300
8.6,9700,1,2296158
9.0,9800,1,2319872
9.0,9900,1,2345221
10.1,10000,1,2371728
9.5,10100,1,2397461
9.5,10200,1,2423201
9.2,10300,1,2449311
8.6,10400,1,2472908
8.7,10500,1,2496838
8.6,10600,1,2520115
8.4,10700,1,2543286
9.0,10800,1,2567267
9.1,10900,1,2591603
10.0,11000,1,2616390
8.7,11100,1,2639596
9.6,11200,1,2665453
9.2,11300,1,2689808
9.4,11400,1,2714143
9.0,11500,1,2737097
9.2,11600,1,2762063
9.5,11700,1,2787002
9.3,11800,1,2810573
11.2,11900,1,2838721
10.6,12000,1,2865740
10.6,12100,1,2892138
8.7,12200,1,2914587
8.4,12300,1,2936610
9.6,12400,1,2960209
9.9,12500,1,2984989
