% time spent exploring,episodes,steps,mean 100 episode reward
95,100,14251,3.2
90,200,28399,3.2
85,300,43573,3.7
80,400,57983,3.2
76,500,71784,3.2
71,600,86936,3.4
66,700,102319,3.6
61,800,117156,3.4
56,900,131073,3.3
51,1000,145790,3.3
46,1100,160985,3.8
41,1200,177607,4.1
36,1300,193629,3.9
30,1400,211465,4.6
24,1500,228905,4.8
18,1600,247484,5.3
11,1700,267156,5.5
4,1800,289444,6.2
1,1900,313906,6.6
1,2000,339920,7.5
1,2100,366508,8.0
1,2200,392471,8.1
1,2300,418215,8.3
1,2400,443308,8.7
1,2500,468794,8.8
1,2600,494516,9.0
1,2700,518769,8.3
1,2800,544899,9.4
1,2900,574757,10.6
1,3000,601624,9.6
1,3100,631280,11.0
1,3200,656499,9.1
1,3300,681220,9.1
1,3400,707289,10.5
1,3500,732496,10.0
1,3600,758748,10.7
1,3700,783828,9.5
1,3800,808628,9.8
1,3900,832467,10.1
1,4000,860083,10.6
1,4100,889339,11.6
1,4200,913229,9.6
1,4300,939469,10.5
1,4400,965441,10.4
1,4500,989302,9.6
1,4600,1016700,10.9
1,4700,1046097,11.3
1,4800,1073216,10.3
1,4900,1102969,12.1
1,5000,1129741,11.2
1,5100,1158253,11.5
1,5200,1187274,11.3
1,5300,1214308,11.2
1,5400,1240977,11.1
1,5500,1267202,10.9
1,5600,1294586,11.7
1,5700,1323636,11.8
1,5800,1351610,12.1
1,5900,1381045,11.8
1,6000,1406870,10.3
1,6100,1437320,12.6
1,6200,1467248,12.3
1,6300,1497688,12.1
1,6400,1525725,11.9
1,6500,1553927,11.6
1,6600,1583038,12.1
1,6700,1611947,12.0
1,6800,1641543,12.1
1,6900,1671663,12.3
1,7000,1697574,10.9
1,7100,1728567,12.5
1,7200,1759699,13.2
1,7300,1787842,12.0
1,7400,1817777,12.6
1,7500,1845370,11.9
1,7600,1875250,12.9
1,7700,1904477,11.9
1,7800,1932156,11.8
1,7900,1960480,12.0
1,8000,1989182,11.8
1,8100,2018318,12.5
1,8200,2047934,12.8
1,8300,2077140,12.7
1,8400,2107276,13.2
1,8500,2133860,11.7
1,8600,2161702,11.8
1,8700,2192623,12.8
1,8800,2222102,12.6
1,8900,2251717,13.1
1,9000,2283521,13.4
1,9100,2315839,13.9
1,9200,2347986,13.6
1,9300,2376112,12.5
1,9400,2404741,12.3
1,9500,2436520,13.6
1,9600,2468528,13.5
1,9700,2500014,13.6
1,9800,2529911,13.4
1,9900,2556784,12.3
1,10000,2587742,13.5
1,10100,2615884,11.8
1,10200,2648492,13.8
1,10300,2679231,13.5
1,10400,2708734,12.8
1,10500,2739474,13.9
1,10600,2772084,14.4
1,10700,2801988,13.8
1,10800,2829965,12.3
1,10900,2861025,13.6
1,11000,2894731,15.9
1,11100,2926105,14.2
1,11200,2954778,12.6
1,11300,2984177,13.8
