#{"env_id": "AtlantisNoFrameskip-v4", "t_start": 1539917129.4156938}
r,l,t
20100.0,1769,6.305183
12100.0,811,8.185522
14300.0,1138,10.802295
16000.0,1673,14.665836
9800.0,1232,17.528167
21900.0,1446,20.883061
17100.0,1062,23.352735
14200.0,1447,28.912151
8500.0,757,33.394472
20400.0,1495,42.320492
9200.0,735,46.689276
14900.0,936,52.298635
25900.0,1749,62.799942
32000.0,1856,73.886733
15400.0,1069,80.248475
6300.0,802,85.020225
16600.0,1274,92.590455
20200.0,1620,102.275408
11800.0,984,108.098505
17500.0,1374,116.294117
10700.0,830,121.254556
15900.0,1135,128.04956
15500.0,1377,136.264524
2600.0,483,139.174412
19200.0,1546,148.479767
14300.0,1406,156.818093
12900.0,913,162.203374
12200.0,932,167.841039
30800.0,1738,178.266016
9100.0,794,183.003263
17500.0,1038,189.255147
25900.0,1675,199.284344
12600.0,1245,206.743205
16000.0,1238,214.159013
8500.0,757,218.668762
22300.0,1854,229.758883
11100.0,1265,237.293029
21600.0,1489,246.187453
26400.0,1901,257.569834
21200.0,1699,267.721497
16700.0,1492,276.729276
10200.0,943,282.388754
20400.0,1498,291.388572
34400.0,2182,304.471794
11200.0,831,309.418737
20600.0,1715,319.644867
22300.0,1530,328.816056
23700.0,1787,339.544382
15900.0,1180,346.617402
11500.0,831,351.573022
25200.0,1686,361.690579
11200.0,950,367.338192
9200.0,795,372.10982
19500.0,1480,380.997395
23900.0,1245,388.451358
4200.0,613,392.122894
25700.0,1714,402.398806
23200.0,1855,413.604517
19500.0,1236,420.977701
16000.0,971,426.778311
14300.0,1142,433.621443
17200.0,1638,443.425507
11500.0,935,449.102804
20400.0,1397,457.486683
23900.0,1236,464.830363
8900.0,886,470.176989
19700.0,1620,479.904377
18400.0,1409,488.336145
9200.0,804,493.157462
12900.0,1242,500.576984
28500.0,1835,511.569846
27000.0,1292,519.313855
18400.0,1539,528.567767
16600.0,1127,535.305424
18500.0,1530,544.484588
24800.0,1878,555.747577
14800.0,948,561.42291
15700.0,996,567.372915
15600.0,1200,574.525258
9400.0,994,580.450829
14600.0,1306,588.260489
10400.0,808,593.065073
19300.0,1517,602.140067
20100.0,1361,610.300322
13500.0,947,615.945104
15200.0,1353,624.058782
6500.0,883,629.371042
10200.0,1000,635.340817
22900.0,1717,645.665715
10700.0,905,651.126592
18500.0,1440,659.719377
8000.0,936,665.321589
18300.0,1354,673.409304
14600.0,925,678.913437
18100.0,1400,687.266587
16500.0,1093,693.817219
28300.0,1503,702.800393
17500.0,1515,711.848486
25000.0,1515,720.927637
7900.0,1086,727.406415
19000.0,1277,735.013646
19300.0,1308,742.832107
15100.0,1228,750.543037
11800.0,1043,756.791035
13200.0,826,761.737602
13300.0,1065,768.1688
14900.0,1052,774.498564
20400.0,1359,782.624006
20800.0,1535,791.779206
16200.0,1346,799.840951
6500.0,720,804.152853
8700.0,926,809.993489
7600.0,734,814.37812
15300.0,1455,823.078588
7600.0,882,828.347403
7500.0,780,833.040526
14300.0,1003,839.053397
12700.0,996,844.986477
17200.0,1358,853.107362
11600.0,1041,859.355359
16000.0,994,865.322913
16600.0,1296,873.102609
5900.0,830,878.069551
6900.0,871,883.292508
16500.0,1076,889.779791
13100.0,978,895.781487
20000.0,1597,905.364771
13700.0,1373,913.628371
9800.0,864,918.80951
11600.0,1074,925.23377
12300.0,1016,931.318259
13000.0,1155,938.246085
4900.0,589,941.784251
13900.0,1191,948.893137
7600.0,742,953.3334
11800.0,944,959.011844
18100.0,1354,967.103564
13600.0,1158,974.033922
14400.0,1121,980.749512
19000.0,1140,987.588806
11700.0,944,993.240544
7400.0,793,997.991759
16900.0,1158,1004.945259
13400.0,1184,1012.125135
15600.0,942,1017.773022
9500.0,935,1023.37595
9200.0,805,1028.194592
10400.0,960,1033.921289
15100.0,1282,1041.725265
19200.0,1610,1051.74961
18100.0,1252,1059.838265
11900.0,1203,1068.123348
16500.0,1134,1076.388677
11200.0,1168,1084.451511
9100.0,1134,1092.202742
7300.0,676,1096.621524
5500.0,677,1100.968975
7300.0,935,1106.988629
10700.0,963,1113.033329
9500.0,915,1118.860018
13200.0,1315,1127.191571
15500.0,1333,1135.676585
7600.0,681,1140.041004
18000.0,1486,1149.409801
8500.0,962,1155.943934
17100.0,1274,1164.19105
7600.0,599,1168.030496
19300.0,1385,1176.85269
21300.0,1673,1187.479071
17200.0,1240,1195.334661
22800.0,1718,1206.23005
14100.0,1442,1215.283424
13600.0,1293,1223.511293
4000.0,596,1227.266682
10300.0,777,1232.17297
22000.0,1442,1241.279188
16500.0,1297,1249.569331
10700.0,1040,1256.154861
16300.0,1346,1264.690602
7800.0,1119,1271.787702
10500.0,902,1277.442704
9700.0,949,1283.501641
12000.0,899,1289.114744
3800.0,623,1293.01382
4800.0,716,1297.580963
8900.0,1188,1305.071039
6300.0,613,1308.956894
6300.0,920,1314.721855
5400.0,793,1319.768532
6600.0,997,1326.030876
4800.0,876,1331.590855
8200.0,924,1337.400556
8000.0,806,1342.528741
7100.0,915,1348.315247
15100.0,1306,1356.712468
3100.0,714,1361.468828
9200.0,872,1367.218715
10000.0,1120,1374.397031
11900.0,1168,1381.824785
6800.0,817,1386.962771
4400.0,628,1390.894145
11800.0,815,1396.079269
5900.0,878,1401.584585
4400.0,700,1406.079767
7400.0,948,1412.032603
17000.0,1042,1418.62414
10900.0,1036,1425.198797
10800.0,1008,1431.601044
7000.0,1008,1438.04066
8700.0,772,1442.871216
16700.0,1271,1450.936372
5900.0,674,1455.212076
5600.0,606,1459.067539
7500.0,704,1463.528942
12000.0,1012,1469.89119
11200.0,1043,1476.521669
6100.0,961,1482.653808
8900.0,936,1488.556716
11500.0,1092,1495.53404
4800.0,628,1499.491885
20000.0,1042,1506.106713
6000.0,932,1511.983192
19500.0,1382,1520.754064
21400.0,1423,1529.855481
15700.0,1335,1538.325626
15000.0,1177,1545.713943
10500.0,963,1551.847615
16500.0,1097,1558.847313
11000.0,926,1564.671418
8800.0,828,1569.956457
10700.0,869,1575.414424
10800.0,829,1580.70325
4600.0,606,1584.520599
8400.0,715,1588.993723
7600.0,969,1595.17894
14700.0,1015,1601.5691
11100.0,898,1607.314503
14600.0,1144,1614.607683
11700.0,1145,1621.804172
8900.0,815,1626.992515
12000.0,999,1633.262731
4400.0,869,1638.771189
8800.0,1017,1645.160779
21400.0,1503,1654.736366
5100.0,596,1658.55121
5400.0,621,1662.442338
4100.0,671,1666.623049
3500.0,639,1670.704041
18300.0,1171,1678.055855
4000.0,670,1682.342789
4300.0,742,1687.010517
5800.0,695,1691.472491
3700.0,660,1695.601152
6200.0,625,1699.519904
4900.0,704,1703.984892
6000.0,896,1709.608398
3000.0,748,1714.378317
5500.0,694,1718.73931
3300.0,642,1722.756302
6600.0,645,1726.900298
2400.0,501,1730.085927
6600.0,968,1736.388463
2400.0,504,1739.534334
4200.0,662,1743.73398
2600.0,689,1748.132846
6000.0,696,1752.493466
4300.0,625,1756.466191
6800.0,887,1762.07561
3900.0,692,1766.424655
7000.0,781,1771.378761
6000.0,793,1776.355291
9500.0,1207,1783.986484
7800.0,804,1789.044691
7600.0,868,1794.535684
3300.0,579,1798.177006
3500.0,579,1801.880102
5500.0,677,1806.110296
8400.0,818,1811.290657
4100.0,822,1816.506208
2400.0,615,1820.340654
9400.0,808,1825.473997
6600.0,678,1829.712381
3400.0,571,1833.359824
12800.0,1022,1839.809188
7900.0,892,1845.489277
4400.0,868,1850.980785
6800.0,719,1855.547208
12400.0,1043,1862.099059
7300.0,836,1867.43742
6900.0,870,1872.904639
10000.0,818,1878.105869
9700.0,1128,1885.164994
7000.0,683,1889.522396
2400.0,449,1892.338144
8100.0,948,1898.275581
6200.0,814,1903.466111
8800.0,997,1909.701327
6200.0,864,1915.192832
5100.0,735,1919.812062
5300.0,736,1924.52029
6400.0,702,1928.925245
7700.0,1006,1935.335203
2200.0,451,1938.152478
8800.0,985,1944.375942
8000.0,769,1949.329731
8200.0,999,1955.678751
8900.0,1162,1962.957143
8900.0,796,1968.107804
9300.0,1073,1974.836755
8100.0,812,1980.03706
7000.0,720,1984.555751
7700.0,793,1989.58392
6100.0,676,1993.819803
8800.0,762,1998.6356
4400.0,624,2002.606801
6500.0,696,2006.964755
6500.0,637,2011.050169
8900.0,714,2015.527764
5200.0,681,2019.792654
8900.0,969,2025.923648
3500.0,634,2029.882729
5900.0,649,2034.045277
9800.0,787,2038.965051
4900.0,823,2044.226305
12500.0,1068,2050.901358
6700.0,788,2055.94243
8500.0,836,2061.170503
8700.0,904,2066.913963
6900.0,666,2071.080797
5400.0,765,2075.913846
9400.0,890,2081.509843
9400.0,893,2087.178665
6300.0,717,2091.717248
3600.0,749,2096.510332
6400.0,734,2101.216157
9100.0,1095,2108.068795
11000.0,914,2113.892458
6600.0,821,2119.054204
9600.0,765,2123.923782
5300.0,899,2129.591559
8800.0,775,2134.486552
4000.0,610,2138.315429
3700.0,609,2142.17336
4700.0,670,2146.368989
13800.0,1419,2155.336825
7500.0,774,2160.166345
6300.0,701,2164.614603
5500.0,871,2170.051306
2800.0,435,2172.787922
2800.0,434,2175.608544
4200.0,619,2179.482708
4800.0,640,2183.493904
7000.0,676,2187.77845
6200.0,601,2191.535321
6500.0,637,2195.52242
7100.0,693,2199.937452
5000.0,518,2203.182837
3900.0,699,2207.584057
6000.0,893,2213.305111
9200.0,933,2219.209707
5100.0,624,2223.138152
4200.0,630,2227.07854
2400.0,472,2230.074621
7100.0,665,2234.268974
3500.0,507,2237.429625
6600.0,740,2242.131555
4200.0,643,2246.140095
6900.0,716,2250.619886
3900.0,502,2253.850361
2600.0,434,2256.565076
6000.0,664,2260.704964
3100.0,636,2264.759364
2400.0,432,2267.439413
3700.0,506,2270.600962
1700.0,415,2273.201211
4200.0,636,2277.253153
1500.0,413,2279.835197
3800.0,632,2283.792421
3700.0,508,2287.071202
4600.0,634,2291.032027
5500.0,659,2295.113978
4600.0,518,2298.442266
2600.0,488,2301.486413
