episodes,% time spent exploring,steps,mean 100 episode reward
100,58,126005,16857.6
200,23,232177,12102.0
300,1,316983,8148.0
400,1,388673,6074.0
500,1,458024,5403.0
600,1,534591,6698.0
700,1,612900,7135.0
800,1,689113,6377.0
900,1,762851,6477.0
1000,1,828929,5148.0
1100,1,914529,8004.0
1200,1,988782,6040.0
1300,1,1066774,6904.0
1400,1,1122193,3306.0
1500,1,1190957,5534.0
1600,1,1267406,6450.0
1700,1,1337345,4972.0
1800,1,1405997,4761.0
1900,1,1469617,4363.0
2000,1,1551700,8036.0
2100,1,1644261,8317.0
2200,1,1726025,7528.0
2300,1,1814683,8129.0
2400,1,1899739,8020.0
2500,1,1971322,6072.0
2600,1,2041040,4726.0
2700,1,2106644,4427.0
2800,1,2188073,7450.0
2900,1,2261720,5323.0
3000,1,2339744,6301.0
3100,1,2415921,6368.0
3200,1,2487684,5759.0
3300,1,2570331,7078.0
3400,1,2637260,5363.0
3500,1,2717346,7575.0
3600,1,2801202,6845.0
3700,1,2873824,5313.0
3800,1,2958560,8478.0
