#{"t_start": 1537461775.95126, "env_id": "AtlantisNoFrameskip-v4"}
r,l,t
14300.0,1327,5.3568
12800.0,963,7.584307
14900.0,1078,10.09818
29000.0,1657,14.028116
6700.0,758,15.791377
16100.0,1077,18.311213
13900.0,1146,20.986677
17800.0,1390,24.347696
18300.0,1438,30.279532
10000.0,1092,36.833331
29700.0,1784,47.513118
18200.0,1625,57.388891
14200.0,1043,63.598987
17900.0,1620,73.396798
16700.0,1292,81.176816
8600.0,721,85.451509
10900.0,1045,92.094126
20100.0,1522,101.287432
8700.0,837,106.447916
27000.0,1886,118.195601
24000.0,1174,125.754886
8400.0,1092,132.264092
7800.0,792,137.02323
12200.0,1346,145.248485
10400.0,1274,153.479661
18600.0,1488,162.497748
6300.0,947,168.299689
17700.0,1398,176.737235
24400.0,1576,186.536095
18000.0,1248,194.153939
21800.0,1457,203.502817
16100.0,1419,212.172213
17500.0,1196,219.832116
26200.0,1981,232.05183
14600.0,1339,240.358579
22300.0,1143,247.209267
16800.0,1311,254.982743
16800.0,1466,263.877968
8500.0,1132,270.972059
10900.0,1315,279.31006
8200.0,1046,285.702206
16200.0,1017,291.94366
8200.0,660,295.901004
16300.0,1418,304.661442
22300.0,1655,314.609369
9600.0,1097,321.305991
22300.0,1486,330.458695
17100.0,1500,339.709589
8700.0,787,344.354454
14500.0,1243,351.801276
19500.0,1412,360.166439
18600.0,1202,367.230845
32100.0,1983,379.024559
16300.0,1476,387.736883
28100.0,1866,398.838993
6200.0,818,404.161822
16200.0,1424,413.650748
27400.0,1714,424.969497
20300.0,1162,432.55288
13000.0,1232,441.02522
16900.0,1189,449.685011
9100.0,988,456.17816
5900.0,805,461.17386
19900.0,1168,469.63176
29500.0,1873,482.055712
15700.0,1384,490.922426
14400.0,968,496.999476
20800.0,1489,507.340834
12800.0,845,513.481494
19500.0,1393,522.928778
8400.0,778,528.05772
10000.0,996,534.286154
21200.0,1641,544.459842
17700.0,1447,553.460087
14800.0,1374,562.472851
14700.0,1256,570.80246
16100.0,1499,580.754429
20100.0,1564,590.667474
20600.0,1406,599.789656
13000.0,1074,606.897687
8600.0,1005,612.862734
26000.0,1513,621.939805
14700.0,961,627.639753
17000.0,1251,635.019315
24300.0,1657,644.991192
22100.0,1619,654.609276
10100.0,981,660.474284
17600.0,1406,668.832976
13100.0,867,673.943694
10200.0,914,679.337167
20300.0,1474,688.067734
28600.0,1995,699.975707
24900.0,1537,709.232364
7000.0,874,714.426484
9900.0,983,720.228113
12100.0,846,725.309503
25100.0,1558,734.48493
17300.0,1135,741.201543
13200.0,1078,747.580732
22600.0,1331,755.415788
10900.0,1001,761.785907
22900.0,1634,772.262672
17700.0,1490,781.776052
18700.0,1310,790.075613
14600.0,1404,799.04966
12300.0,1288,807.303841
6200.0,854,812.734725
10700.0,824,817.889272
17300.0,1348,827.082575
14000.0,946,833.819513
20300.0,1418,843.255961
11700.0,1159,850.704506
22300.0,1778,862.216196
10600.0,979,868.825252
11000.0,1019,875.807914
22200.0,1380,884.384555
15100.0,1337,892.882377
27600.0,1557,903.323672
16000.0,1490,913.174346
16400.0,1206,922.264977
13000.0,1229,930.47339
7300.0,722,935.158196
13400.0,1180,942.789432
12600.0,1120,949.972469
5400.0,752,954.848555
12100.0,1002,961.383836
17700.0,1375,970.232881
21500.0,1293,978.571032
15500.0,1347,987.34814
12900.0,1232,995.231989
7500.0,936,1001.189317
13900.0,1083,1008.245647
13800.0,1368,1016.881947
14800.0,911,1022.782215
7600.0,817,1028.029138
7700.0,1082,1035.041861
20500.0,1565,1045.078152
10600.0,1242,1053.021255
8000.0,680,1057.342268
29900.0,2035,1070.323689
30200.0,1895,1082.48739
15800.0,1064,1089.251347
25500.0,1534,1098.959003
12700.0,917,1104.714711
16500.0,1588,1114.973457
26500.0,1978,1127.809584
18600.0,1587,1138.112318
12400.0,1002,1144.533335
7600.0,823,1149.810841
11900.0,701,1154.322144
13000.0,1038,1160.885517
12900.0,1274,1168.958902
13000.0,1257,1176.981768
11300.0,908,1182.786566
16000.0,1086,1189.640906
10700.0,1273,1197.769994
12300.0,1432,1206.933883
8000.0,662,1211.121751
5800.0,874,1216.912282
14300.0,1344,1225.493305
27300.0,1493,1235.285055
30800.0,1400,1244.092894
16600.0,1333,1252.966285
20800.0,1129,1260.986874
22400.0,1390,1270.073425
23600.0,1955,1282.744947
11700.0,1038,1289.657083
7900.0,704,1294.39936
7500.0,720,1299.126807
7500.0,780,1304.132376
15200.0,1042,1310.850908
17200.0,1226,1318.738168
8600.0,866,1324.40377
16500.0,1193,1332.087991
11500.0,991,1338.491637
26200.0,1378,1347.322053
11900.0,1016,1353.882818
14500.0,1251,1361.969138
16500.0,1370,1370.715221
14100.0,1243,1378.658715
11400.0,1002,1385.048983
22300.0,1646,1395.611079
24200.0,1540,1405.446164
9200.0,838,1410.806867
13600.0,1066,1417.625427
15400.0,1189,1424.778769
8900.0,987,1430.650943
13800.0,1192,1437.702954
9900.0,812,1442.467471
23500.0,1510,1451.414854
16500.0,1422,1459.857802
13100.0,1082,1466.79104
13600.0,1164,1474.194532
8400.0,1080,1481.101369
4000.0,705,1485.575931
21700.0,1615,1495.944361
18900.0,1501,1505.60803
15300.0,1498,1515.11961
6900.0,1018,1521.632878
19700.0,1282,1529.80515
13800.0,941,1535.791258
10200.0,1105,1542.911698
18600.0,1475,1552.725512
9900.0,755,1557.621749
7000.0,1061,1564.293334
21000.0,2085,1577.743891
10500.0,1105,1584.808358
9700.0,711,1589.295318
12000.0,969,1595.468248
8600.0,1039,1602.171419
9000.0,872,1607.75915
9400.0,989,1614.072483
9700.0,1017,1620.605957
14900.0,1156,1627.998377
21600.0,1500,1637.588379
8300.0,742,1642.24749
16800.0,1422,1651.207327
19200.0,967,1657.284308
16500.0,1428,1666.494051
9900.0,803,1671.563124
15900.0,1117,1678.624007
17700.0,1414,1687.651088
10700.0,942,1693.607955
10300.0,868,1699.137074
12000.0,1028,1705.664284
11400.0,965,1711.774061
7400.0,815,1716.910476
10800.0,1139,1724.171787
4900.0,856,1729.623056
8000.0,969,1735.804589
9700.0,1074,1742.587613
13600.0,1310,1750.889329
13400.0,1213,1758.605614
6000.0,789,1763.602081
21700.0,1543,1773.469859
10400.0,1232,1781.380276
10700.0,1065,1788.292406
15900.0,1047,1794.997623
4600.0,638,1799.141353
12300.0,1023,1805.7156
11100.0,1262,1814.22848
8100.0,839,1819.469553
8600.0,840,1824.693212
9900.0,1245,1832.456422
6900.0,701,1836.821862
2700.0,680,1841.05596
11300.0,818,1846.249114
19900.0,1454,1855.911431
18100.0,1235,1865.094032
8000.0,1061,1873.33195
6400.0,806,1878.467863
21800.0,1583,1888.814888
4800.0,764,1893.801167
5900.0,601,1897.769267
13000.0,829,1903.06349
11600.0,1122,1910.130113
4100.0,675,1914.607928
12500.0,814,1919.795203
17300.0,1346,1929.08272
8300.0,1016,1936.326719
8000.0,1020,1943.748574
22500.0,1636,1955.591661
4800.0,678,1960.284752
7100.0,816,1965.790131
3900.0,651,1970.126348
6100.0,764,1975.355278
10100.0,793,1980.660567
5600.0,819,1986.331916
