mean 100 episode reward,steps,episodes,% time spent exploring
4.0,18419,100,93
3.9,36638,200,87
3.5,54254,300,82
4.0,73919,400,75
3.6,91105,500,69
4.2,110823,600,63
3.6,128190,700,57
3.5,146221,800,51
3.5,163842,900,45
4.2,183552,1000,39
3.2,200102,1100,33
3.1,216520,1200,28
3.5,234047,1300,22
3.4,252160,1400,16
3.3,268786,1500,11
2.8,285113,1600,5
2.4,300246,1700,1
2.5,315198,1800,1
2.8,330957,1900,1
3.1,348066,2000,1
2.8,363506,2100,1
3.1,379658,2200,1
3.8,398401,2300,1
3.9,417360,2400,1
3.5,435510,2500,1
4.3,456555,2600,1
4.2,476440,2700,1
4.1,495218,2800,1
3.4,513031,2900,1
3.6,530786,3000,1
3.6,547556,3100,1
3.5,565194,3200,1
3.4,582766,3300,1
3.5,599561,3400,1
4.4,619425,3500,1
3.8,637992,3600,1
4.5,658398,3700,1
4.3,677819,3800,1
4.9,699467,3900,1
5.0,721208,4000,1
5.6,744459,4100,1
5.2,765624,4200,1
5.6,788562,4300,1
5.5,811534,4400,1
5.6,835064,4500,1
6.3,858762,4600,1
5.4,881484,4700,1
5.7,903361,4800,1
4.6,923722,4900,1
5.5,946725,5000,1
5.3,968968,5100,1
5.2,990384,5200,1
5.5,1011979,5300,1
6.4,1036700,5400,1
6.1,1061402,5500,1
7.2,1088441,5600,1
5.1,1109596,5700,1
6.5,1134516,5800,1
6.8,1159233,5900,1
8.3,1188448,6000,1
6.7,1213777,6100,1
5.6,1237080,6200,1
6.6,1262685,6300,1
7.8,1291282,6400,1
7.3,1318011,6500,1
7.2,1344343,6600,1
7.8,1373840,6700,1
7.1,1400310,6800,1
7.0,1425512,6900,1
7.1,1452141,7000,1
6.1,1475280,7100,1
6.2,1499595,7200,1
7.4,1525520,7300,1
7.4,1553125,7400,1
7.3,1580609,7500,1
7.3,1605961,7600,1
8.1,1633094,7700,1
8.9,1662475,7800,1
8.0,1690943,7900,1
8.2,1718383,8000,1
10.7,1751325,8100,1
8.3,1778791,8200,1
11.8,1814925,8300,1
9.7,1846191,8400,1
8.6,1876415,8500,1
9.3,1906397,8600,1
10.8,1941280,8700,1
8.6,1969448,8800,1
8.2,1998736,8900,1
14.7,2040819,9000,1
10.1,2072934,9100,1
11.8,2107308,9200,1
12.0,2142358,9300,1
8.5,2170924,9400,1
13.1,2209520,9500,1
10.2,2242202,9600,1
10.2,2275228,9700,1
9.7,2305153,9800,1
9.9,2335871,9900,1
8.2,2363750,10000,1
7.9,2391009,10100,1
10.0,2422877,10200,1
8.7,2450999,10300,1
11.7,2486164,10400,1
10.3,2518578,10500,1
10.8,2550028,10600,1
9.5,2581341,10700,1
10.3,2612701,10800,1
10.4,2644602,10900,1
13.4,2682234,11000,1
14.7,2721676,11100,1
14.4,2760440,11200,1
9.8,2792088,11300,1
12.4,2828236,11400,1
15.7,2871584,11500,1
12.5,2906596,11600,1
11.9,2941082,11700,1
11.2,2971845,11800,1
