steps,% time spent exploring,mean 100 episode reward,episodes
19231,93,4.3,100
38662,87,4.1,200
56095,81,3.7,300
74587,75,3.8,400
93395,69,3.9,500
110858,63,3.7,600
128385,57,3.4,700
145015,52,3.4,800
163698,45,3.8,900
182026,39,3.8,1000
198777,34,3.2,1100
215791,28,3.3,1200
233260,23,3.6,1300
249145,17,3.0,1400
265930,12,3.0,1500
282502,6,3.1,1600
297982,1,2.7,1700
316455,1,3.5,1800
333580,1,3.4,1900
350683,1,3.4,2000
367172,1,3.0,2100
386774,1,4.1,2200
405405,1,3.8,2300
423241,1,3.6,2400
442303,1,4.0,2500
463688,1,4.6,2600
482302,1,3.8,2700
505199,1,5.3,2800
526268,1,4.8,2900
549429,1,5.2,3000
571079,1,4.9,3100
591950,1,4.6,3200
615767,1,5.6,3300
638462,1,5.4,3400
664045,1,6.6,3500
688934,1,6.4,3600
714969,1,6.8,3700
737532,1,5.5,3800
763501,1,6.5,3900
787487,1,6.1,4000
812676,1,6.4,4100
839540,1,7.1,4200
865501,1,6.8,4300
891733,1,6.8,4400
917084,1,6.9,4500
943785,1,7.6,4600
970668,1,6.7,4700
999434,1,7.8,4800
1026850,1,7.5,4900
1053985,1,7.2,5000
1081179,1,7.3,5100
1107807,1,7.0,5200
1136834,1,8.0,5300
1161989,1,6.6,5400
1188301,1,6.8,5500
1214916,1,7.1,5600
1244841,1,8.4,5700
1272738,1,7.5,5800
1304838,1,9.3,5900
1333939,1,8.2,6000
1362838,1,8.2,6100
1392735,1,8.5,6200
1423293,1,8.7,6300
1453704,1,9.0,6400
1484947,1,8.8,6500
1514131,1,8.1,6600
1551344,1,11.9,6700
1582829,1,8.9,6800
1612372,1,8.7,6900
1645030,1,9.8,7000
1677183,1,9.6,7100
1708126,1,8.8,7200
1739448,1,8.5,7300
1768102,1,7.3,7400
1799909,1,9.3,7500
1831089,1,9.2,7600
1864893,1,10.6,7700
1895109,1,8.6,7800
1923080,1,7.8,7900
1957248,1,10.4,8000
1994387,1,11.8,8100
2028631,1,11.0,8200
2061671,1,9.8,8300
2090948,1,8.2,8400
2127551,1,11.5,8500
2159655,1,9.5,8600
2193893,1,10.6,8700
2229414,1,11.2,8800
2272177,1,14.2,8900
2316647,1,15.4,9000
2349602,1,9.8,9100
2384423,1,10.6,9200
2417373,1,10.0,9300
2455910,1,12.1,9400
2495360,1,12.8,9500
2551178,1,20.7,9600
2589285,1,12.0,9700
2629555,1,13.2,9800
2665379,1,11.1,9900
2704517,1,12.7,10000
2742481,1,12.3,10100
2781667,1,12.8,10200
2816624,1,11.0,10300
2853757,1,12.3,10400
2890007,1,12.3,10500
2932119,1,14.2,10600
2967434,1,11.2,10700
