steps,episodes,mean 100 episode reward,% time spent exploring
43808,100,2.9,85
89169,200,3.0,70
133155,300,2.6,56
181508,400,3.0,40
233519,500,3.2,22
290068,600,3.1,4
364887,700,4.4,1
423976,800,3.8,1
481471,900,2.9,1
532895,1000,2.8,1
588961,1100,3.3,1
645421,1200,3.9,1
712459,1300,5.8,1
769543,1400,5.0,1
832569,1500,6.1,1
900269,1600,7.3,1
967543,1700,6.5,1
1037512,1800,6.4,1
1099713,1900,6.8,1
1174429,2000,5.7,1
1243732,2100,7.7,1
1315137,2200,8.5,1
1391203,2300,9.7,1
1469820,2400,9.4,1
1550995,2500,9.6,1
1632688,2600,10.4,1
1716649,2700,11.5,1
1785387,2800,9.1,1
1871235,2900,11.8,1
1959371,3000,12.5,1
2046958,3100,12.3,1
2128490,3200,12.0,1
2218080,3300,13.0,1
2301213,3400,12.6,1
2387017,3500,13.0,1
2468877,3600,12.3,1
2556912,3700,11.9,1
2641542,3800,12.9,1
2721604,3900,11.7,1
2809130,4000,12.0,1
2891582,4100,12.5,1
2970552,4200,11.5,1
