#{"t_start": 1538289884.6059353, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
308.0,1355,5.219237
528.0,1407,8.484235
528.0,1273,11.441521
616.0,1771,15.567346
440.0,1239,18.441962
220.0,1394,21.678691
572.0,1282,24.653316
440.0,1448,32.338946
660.0,1487,41.289273
352.0,968,47.164717
220.0,1178,54.250111
132.0,923,59.769228
352.0,941,65.495009
484.0,1163,72.472022
132.0,958,78.202751
352.0,1252,85.860206
528.0,1620,95.594791
396.0,1713,105.996319
396.0,1245,113.579451
132.0,1191,120.746759
132.0,894,126.146139
396.0,1418,134.804035
660.0,1951,146.780854
484.0,1566,156.22357
352.0,1332,164.278899
440.0,1517,173.446127
352.0,1204,180.885013
440.0,1228,188.34267
264.0,1006,194.457711
264.0,1433,203.256045
264.0,1074,209.659337
308.0,1149,216.569932
176.0,1018,222.823682
176.0,1031,229.200048
396.0,1432,238.017526
132.0,1141,244.980951
220.0,1068,251.46189
660.0,1848,262.924992
176.0,1047,269.275479
308.0,1631,279.435815
308.0,1105,286.182684
396.0,1004,292.259065
484.0,1280,300.037213
396.0,1169,307.23472
484.0,1721,317.68913
900.0,2484,333.293455
396.0,1609,343.090287
132.0,897,348.457246
484.0,1073,355.034798
484.0,1370,363.369513
176.0,923,368.935332
352.0,1335,376.94722
220.0,1213,384.255347
220.0,1424,392.893805
264.0,1093,399.509379
396.0,1488,408.525443
352.0,1441,417.241098
484.0,1175,424.341792
220.0,1012,430.455604
352.0,1216,437.829905
396.0,1142,444.827357
352.0,1078,451.501908
484.0,1270,459.246964
396.0,1779,470.042611
660.0,1963,482.090929
176.0,910,487.549403
352.0,1182,494.687918
264.0,924,500.349267
572.0,1736,510.866186
352.0,1112,517.794737
572.0,1470,526.763258
484.0,1498,535.930212
396.0,1526,545.116295
220.0,1074,551.599471
264.0,1014,557.762527
308.0,1726,568.201425
176.0,1044,574.536413
308.0,1031,580.749216
308.0,1655,590.84148
308.0,1270,598.535418
176.0,901,604.092956
708.0,1864,615.360788
572.0,1641,625.370573
484.0,1883,636.981971
572.0,2042,649.400081
708.0,2251,663.134671
660.0,1864,674.540718
660.0,1825,685.601031
308.0,1020,691.759266
440.0,1486,701.140179
396.0,1639,711.166392
440.0,1594,720.896604
440.0,1373,729.206419
660.0,2448,744.11823
220.0,1167,751.15547
308.0,1064,757.653576
484.0,1653,767.868944
440.0,1884,779.253961
660.0,1616,789.140288
484.0,1334,797.299228
660.0,2135,810.23494
308.0,1289,818.062878
572.0,1772,829.002398
756.0,2157,842.126367
308.0,1728,852.644025
528.0,1643,862.84273
528.0,1969,874.733155
176.0,1019,880.969561
528.0,1855,892.528496
484.0,2000,904.657418
660.0,1639,914.559871
264.0,1009,920.682071
264.0,895,926.186135
352.0,1590,935.757797
440.0,1161,942.810159
528.0,1829,954.178905
484.0,1652,964.140727
572.0,1949,975.999452
308.0,1214,983.32436
572.0,1547,992.784582
660.0,2136,1005.800447
756.0,1499,1014.994377
528.0,1540,1024.372377
440.0,1563,1033.807202
804.0,2300,1047.957685
948.0,2495,1063.036959
572.0,1738,1074.036523
660.0,2170,1087.428019
308.0,1146,1094.446112
616.0,1793,1105.324897
1284.0,3479,1126.487586
900.0,2820,1144.108128
572.0,1958,1156.030004
852.0,2644,1172.165696
852.0,2664,1188.292384
484.0,1137,1197.098961
660.0,1928,1208.751588
1796.0,3850,1232.719928
660.0,2473,1247.788753
948.0,3039,1266.747849
660.0,2442,1281.706578
708.0,2486,1296.80354
1432.0,4091,1322.581607
528.0,1769,1333.380336
804.0,2096,1346.052789
616.0,1977,1358.188722
1092.0,2952,1376.382145
1432.0,3259,1397.62341
948.0,2328,1411.698635
1484.0,3952,1435.957741
1092.0,2077,1450.505136
1640.0,4360,1477.058354
440.0,1861,1488.44093
1332.0,3470,1510.101891
1092.0,2760,1526.900572
708.0,2420,1541.565392
852.0,2587,1557.329044
1140.0,3576,1579.822794
616.0,2454,1594.76898
3364.0,5199,1628.602626
1284.0,3787,1651.93723
2160.0,4152,1677.419378
3720.0,7389,1723.375448
572.0,1208,1730.807822
616.0,1176,1737.944036
308.0,1457,1746.752835
616.0,1696,1757.624511
660.0,2335,1771.9315
1188.0,2601,1787.585651
1284.0,2832,1804.844082
1432.0,3387,1825.47676
2720.0,5249,1857.510374
1796.0,4028,1884.009518
1140.0,2901,1901.716403
2384.0,5840,1937.301479
948.0,3314,1959.413271
660.0,2020,1971.792777
1900.0,4528,1999.320047
3240.0,5875,2035.934509
2888.0,4792,2066.943294
1588.0,3270,2086.836305
396.0,1464,2095.784833
396.0,1508,2104.875161
1536.0,4235,2130.68603
2944.0,4783,2160.092631
996.0,2731,2176.845621
948.0,2292,2191.399237
1140.0,2035,2203.707927
1092.0,2659,2219.84299
3180.0,4877,2250.310499
660.0,2207,2263.810008
996.0,1969,2275.86034
1484.0,3158,2295.122728
3870.0,5389,2328.294703
1044.0,2403,2342.951926
2384.0,4472,2370.245035
2108.0,3695,2392.89782
3900.0,5342,2425.685836
4170.0,5205,2457.880008
1044.0,2874,2475.333914
1236.0,2498,2490.621557
948.0,2724,2507.621848
1380.0,2364,2522.041023
1236.0,3082,2540.700226
1640.0,2946,2559.495819
3672.0,4299,2585.949002
2108.0,3236,2605.700238
616.0,1241,2613.217533
616.0,1952,2625.202137
1140.0,2551,2640.734395
1484.0,2415,2655.698509
5314.0,5744,2691.32228
1284.0,2822,2708.372694
1380.0,2796,2725.233361
1092.0,4273,2751.669512
1900.0,3236,2771.400831
3720.0,5260,2805.055063
4092.0,5787,2840.281933
660.0,2090,2853.063177
660.0,1754,2863.75123
1744.0,4282,2890.36222
3360.0,5224,2922.260834
1044.0,2678,2939.26874
756.0,2105,2951.995833
660.0,2974,2970.084154
5246.0,5700,3005.005887
1432.0,2981,3023.209502
2608.0,5725,3058.450654
2056.0,3190,3077.966553
1380.0,2628,3093.835968
660.0,1743,3104.469299
3140.0,4011,3129.018394
996.0,1844,3140.308512
2108.0,3796,3163.352585
1380.0,2276,3177.248219
660.0,1597,3187.051787
2720.0,3482,3208.261609
1952.0,2951,3226.192343
2384.0,3792,3249.457691
900.0,1486,3258.480492
1536.0,2259,3272.3418
3120.0,4309,3298.814232
2160.0,3867,3322.397499
2160.0,3804,3345.672759
1380.0,2322,3359.748251
1044.0,2636,3375.825731
1236.0,1991,3387.866511
3930.0,4426,3414.950246
1952.0,3162,3434.146534
2108.0,4165,3459.745908
660.0,1650,3469.713568
900.0,1662,3479.955263
1380.0,2418,3494.635096
3240.0,4556,3522.670871
1044.0,2613,3538.684335
1044.0,2312,3552.76176
2664.0,4319,3579.077533
1380.0,2927,3597.005035
3360.0,4589,3625.062167
1536.0,3130,3644.043054
2664.0,3758,3666.740679
660.0,1779,3677.442214
1952.0,3581,3699.395904
660.0,1572,3708.987443
264.0,1361,3717.254525
3000.0,3704,3739.762425
3900.0,5156,3771.251731
572.0,1445,3779.944205
1588.0,2553,3795.48391
1900.0,3059,3814.308542
660.0,1683,3824.495035
660.0,1796,3835.559051
1432.0,3506,3857.050339
1380.0,2127,3870.07189
1332.0,2864,3887.478337
2160.0,4682,3915.932307
3140.0,4414,3942.942163
900.0,3184,3962.210073
804.0,2276,3976.175596
660.0,1742,3986.712256
852.0,2216,4000.170621
1188.0,2677,4016.545772
1952.0,3921,4040.53446
2216.0,3468,4061.613314
4200.0,5539,4095.509396
1848.0,3386,4116.443571
1588.0,2841,4133.670217
756.0,1544,4142.953167
660.0,1263,4150.544549
1140.0,1892,4162.053615
1380.0,2615,4178.142792
852.0,1723,4188.523333
2916.0,3968,4212.827221
660.0,2230,4226.559976
756.0,1870,4237.973412
1640.0,3346,4258.552304
996.0,1577,4268.177437
1380.0,2074,4280.748139
1284.0,2642,4296.921987
4620.0,4941,4327.199057
2108.0,3159,4346.893557
1332.0,2216,4360.373423
1140.0,2582,4376.029203
3510.0,4580,4403.983821
708.0,1662,4414.141954
660.0,1841,4425.329759
2056.0,4133,4450.551046
1044.0,1778,4461.353199
948.0,1734,4472.098516
1092.0,2138,4485.170958
1588.0,2565,4500.91421
1952.0,3704,4523.39581
2804.0,4182,4548.872022
1588.0,2425,4563.81859
1484.0,2945,4581.738887
4290.0,4437,4608.759886
1188.0,2181,4622.031658
660.0,1996,4634.104022
1092.0,1761,4644.897676
2608.0,3581,4666.654599
1848.0,3024,4685.285752
1092.0,1986,4697.495755
1044.0,1818,4708.670053
1188.0,2164,4721.808859
2160.0,3591,4743.866819
996.0,2115,4756.627429
2056.0,3087,4775.485869
1380.0,2300,4789.478919
2216.0,3309,4809.577247
1796.0,3756,4832.583768
1044.0,1865,4843.988512
1692.0,2895,4861.725967
2004.0,3591,4883.620224
1380.0,2852,4900.928663
660.0,2182,4914.37399
1380.0,3149,4933.659617
1332.0,3052,4952.268257
2004.0,3270,4972.40192
3000.0,3645,4994.866283
1640.0,3151,5014.199748
1188.0,1984,5026.374885
4800.0,4187,5051.822364
660.0,1616,5061.657746
2108.0,3347,5082.048336
1140.0,1770,5092.998761
660.0,1117,5099.845487
6020.0,5721,5135.110747
1044.0,1641,5145.110939
756.0,1875,5156.636046
2384.0,3653,5178.87275
660.0,1219,5186.292171
1952.0,3076,5205.095028
3000.0,4019,5229.586856
1236.0,1947,5241.674476
900.0,2006,5253.920696
660.0,1396,5262.3985
900.0,1560,5271.811506
1380.0,2522,5287.150534
948.0,2099,5300.039653
2160.0,4021,5324.495907
1380.0,2630,5340.921308
1332.0,2554,5356.413079
3000.0,5558,5390.461123
1284.0,2421,5405.444367
1900.0,3206,5425.194609
1692.0,2977,5443.25523
996.0,1963,5455.365759
4204.0,4439,5482.48921
1332.0,2191,5495.895424
1848.0,2826,5513.045147
1044.0,1551,5522.517658
948.0,3494,5543.877471
660.0,1531,5553.133967
1332.0,1985,5565.144851
660.0,1486,5574.256862
1900.0,2824,5591.428482
1848.0,2831,5608.725652
948.0,1987,5620.804106
900.0,1539,5630.294484
2056.0,2546,5646.148212
3960.0,5733,5681.204217
852.0,3096,5700.248465
1044.0,3782,5723.44871
1900.0,4788,5752.607867
1900.0,3114,5771.614819
1236.0,2423,5786.420364
1188.0,2052,5798.836794
1588.0,2266,5812.660344
1332.0,1818,5823.76837
1092.0,2412,5838.448308
1140.0,2197,5851.726514
1044.0,1641,5861.812736
1744.0,3823,5885.392153
996.0,2563,5900.890892
2160.0,3579,5922.926786
1380.0,2689,5939.368707
2160.0,3551,5961.154447
2496.0,3330,5981.459831
2664.0,3995,6005.772102
1284.0,2095,6018.580251
1236.0,1875,6030.040933
900.0,1978,6042.095653
1796.0,2687,6058.65096
948.0,1503,6067.798231
1900.0,2805,6084.874098
1900.0,3488,6106.128173
660.0,1213,6113.561943
660.0,1707,6123.963455
660.0,1256,6131.55181
900.0,1524,6140.974133
1140.0,1779,6151.911401
4320.0,4565,6180.201037
1380.0,2418,6195.080369
3000.0,4161,6220.508212
660.0,1816,6231.604233
2004.0,2633,6247.589141
1848.0,3031,6266.130651
1332.0,2573,6281.858721
996.0,2982,6299.994901
1188.0,1647,6309.964644
1140.0,2718,6326.480899
3084.0,3886,6350.224278
2160.0,3173,6369.512101
804.0,1447,6378.334179
1588.0,2044,6391.120297
1332.0,2551,6406.74142
1380.0,2129,6419.659683
660.0,1470,6428.637975
852.0,1648,6438.676403
1380.0,1954,6450.670741
1796.0,3236,6470.529945
1380.0,2534,6485.842663
1952.0,2535,6501.496797
1380.0,2590,6517.266403
1140.0,1925,6529.074262
1332.0,2425,6543.955178
2108.0,3266,6563.868124
2832.0,3612,6585.845142
660.0,1540,6595.172193
1484.0,2648,6611.363023
1284.0,1960,6623.360015
1900.0,3728,6646.075262
1484.0,2730,6662.794613
2552.0,3399,6683.56067
3540.0,4640,6711.84253
2056.0,2848,6729.226853
996.0,1859,6740.550998
660.0,1343,6748.633455
1952.0,3068,6767.496271
996.0,1802,6778.681425
1044.0,1558,6788.212256
2608.0,3621,6810.426882
484.0,932,6816.201927
2160.0,4085,6841.413954
1640.0,2900,6859.488914
2108.0,3167,6878.955022
2552.0,3824,6902.549601
1380.0,2900,6920.269119
2160.0,2883,6937.897857
2160.0,2899,6955.450443
2496.0,3770,6978.758725
1380.0,1944,6990.793516
3660.0,4154,7016.14587
1952.0,3633,7038.439596
804.0,1908,7050.223051
4414.0,5746,7085.547698
756.0,1365,7093.879206
1284.0,1934,7105.92845
948.0,1392,7114.402895
4230.0,5308,7147.053307
660.0,1745,7157.68371
1332.0,2088,7170.365478
1380.0,2214,7183.853509
2496.0,4159,7209.382781
660.0,1065,7215.861856
1044.0,2587,7231.623904
660.0,1384,7239.973842
2972.0,4154,7265.449889
3540.0,4043,7290.274739
3420.0,3848,7313.801493
1380.0,2844,7331.234848
1140.0,2508,7346.504287
660.0,1816,7357.725299
1692.0,3731,7380.453896
660.0,1557,7389.948858
1044.0,1544,7399.321932
900.0,1696,7409.743445
756.0,1247,7417.429018
1380.0,3665,7439.841592
948.0,2045,7452.318307
1188.0,1749,7463.141906
948.0,1650,7473.143941
1044.0,2633,7489.199001
1380.0,2954,7507.289678
1380.0,2247,7520.98261
1188.0,1829,7532.304601
1952.0,3231,7551.956188
1092.0,1447,7560.905598
3300.0,4517,7588.563529
1188.0,2126,7601.518692
900.0,1490,7610.647401
3900.0,4914,7640.780854
1380.0,2082,7653.636343
2160.0,3039,7672.322136
660.0,2001,7684.633708
1140.0,1782,7695.509779
3000.0,3858,7719.085205
1380.0,3298,7739.199861
3660.0,4249,7765.015867
1484.0,3300,7785.154276
660.0,1209,7792.525693
1744.0,2596,7808.657463
528.0,1159,7815.812619
2552.0,3469,7837.067566
1796.0,2723,7853.735669
2552.0,3986,7878.023075
1692.0,2900,7895.785026
1380.0,2362,7910.119837
1284.0,2747,7926.97117
1236.0,1738,7937.582971
2160.0,3124,7956.660129
1380.0,2380,7971.233993
660.0,1676,7981.525293
660.0,1218,7988.93343
1140.0,2419,8003.731572
1332.0,2826,8020.929474
1848.0,3016,8039.539096
660.0,1147,8046.485436
3420.0,4893,8076.582661
1332.0,1992,8088.761236
528.0,1294,8096.668667
1188.0,2083,8109.425485
1432.0,2613,8125.305965
1188.0,1874,8136.780696
2636.0,3670,8159.140879
2160.0,2763,8176.106522
4200.0,4466,8203.565957
996.0,1494,8212.678594
2160.0,2923,8230.498724
900.0,1863,8241.886752
1236.0,2262,8255.623502
572.0,1119,8262.360777
660.0,1327,8270.339842
1692.0,2525,8285.767156
3120.0,3569,8307.451848
1380.0,2453,8322.407482
1332.0,1902,8334.14267
1380.0,1784,8345.021178
900.0,1656,8355.0855
3840.0,3727,8378.212384
1640.0,2948,8396.282126
1796.0,3328,8416.685202
1380.0,2841,8434.038402
660.0,2571,8449.800073
1332.0,2915,8467.824165
1380.0,2167,8481.157038
1092.0,1729,8491.71367
2160.0,2790,8508.95398
2160.0,2587,8524.78793
1744.0,2399,8539.389705
1848.0,2341,8553.809684
1140.0,1427,8562.415102
1188.0,1813,8573.423394
1380.0,1845,8584.578917
1380.0,2188,8597.942426
1380.0,1750,8608.610467
3900.0,4428,8635.831291
3308.0,3469,8657.101668
996.0,1246,8664.663612
1188.0,1666,8674.785285
2160.0,2297,8688.72642
1236.0,3843,8712.332395
616.0,1291,8720.14973
1092.0,2807,8737.214083
996.0,1746,8747.824453
1536.0,2459,8762.842535
1332.0,2191,8776.189087
1236.0,1792,8787.064454
1588.0,2041,8799.555665
2160.0,3323,8819.799738
1588.0,2555,8835.378383
1380.0,2273,8849.239498
1284.0,1766,8860.108166
1380.0,2145,8873.17149
2160.0,2609,8889.099591
1092.0,2101,8901.89823
1044.0,1470,8911.031906
1380.0,2255,8924.773832
1284.0,2057,8937.378359
3600.0,4227,8963.468799
1380.0,3079,8982.154704
1332.0,2289,8996.091999
2160.0,3300,9016.529389
1380.0,2327,9030.658369
1044.0,1449,9039.49858
660.0,1753,9050.444692
1236.0,2188,9063.890601
2160.0,2946,9081.93442
1432.0,2681,9098.489806
3120.0,3929,9122.484086
852.0,1573,9132.128163
1848.0,3615,9154.136631
996.0,2388,9168.649843
3480.0,4902,9198.736713
1380.0,2056,9211.357467
1284.0,2081,9224.245116
2108.0,3017,9242.835201
1188.0,2134,9255.952679
948.0,1536,9265.434779
900.0,1612,9275.337682
660.0,1204,9282.639143
1236.0,1969,9294.800776
1140.0,1498,9303.889266
2664.0,3789,9327.067925
2160.0,2812,9344.360536
1332.0,2373,9358.724545
1044.0,1313,9366.771346
1332.0,1880,9378.342961
1188.0,1640,9388.504577
1380.0,2063,9401.118495
948.0,1652,9411.191055
2720.0,3660,9433.479325
1284.0,2010,9445.817705
1332.0,2129,9458.966014
660.0,1311,9466.98613
1332.0,1835,9478.198297
1432.0,3407,9499.218448
1332.0,2178,9512.622976
660.0,2139,9525.920353
2160.0,3399,9546.936166
756.0,1243,9554.548835
1380.0,4047,9579.263204
1236.0,2749,9596.012445
2888.0,3590,9618.020121
2056.0,2830,9635.381129
484.0,1528,9644.794166
756.0,2016,9657.236558
1952.0,2632,9673.352522
1236.0,2626,9689.488511
1332.0,2161,9702.675781
1848.0,3245,9722.756159
1380.0,2705,9739.342276
660.0,1324,9747.385344
660.0,1710,9758.068065
1284.0,2019,9770.336597
1332.0,3034,9788.906243
1640.0,2538,9804.561286
1380.0,1627,9814.483261
2056.0,3836,9837.940948
3240.0,3593,9860.188637
1284.0,2694,9876.754546
1536.0,3687,9899.652036
2944.0,3803,9923.008416
