#{"env_id": "BeamRiderNoFrameskip-v4", "t_start": 1538308285.8221018}
r,l,t
352.0,1103,4.670477
264.0,1398,7.933115
176.0,1089,10.45997
396.0,2039,15.226369
528.0,1358,18.388135
396.0,1318,21.458661
396.0,1079,23.975035
396.0,1813,32.626761
264.0,1237,40.403222
176.0,1024,46.63737
132.0,1140,53.608436
220.0,961,59.535355
352.0,1147,66.511807
220.0,1026,72.814175
352.0,1373,81.241146
220.0,1052,87.7453
572.0,1535,97.232641
308.0,1072,103.92416
572.0,2043,116.375964
528.0,1360,124.840452
440.0,1875,136.280625
176.0,964,142.125713
352.0,1352,150.403257
352.0,1212,157.874988
396.0,1463,166.852197
220.0,958,172.647356
308.0,929,178.402697
176.0,995,184.524438
396.0,1226,192.04621
352.0,1366,200.487643
484.0,1980,212.640785
220.0,926,218.25439
440.0,1682,228.574302
396.0,1461,237.78812
308.0,1246,245.464563
660.0,2221,259.18571
440.0,1552,268.782552
708.0,1942,282.588867
660.0,1824,293.719237
660.0,1981,305.941733
264.0,1329,314.027758
528.0,1549,323.642087
708.0,2186,337.49639
308.0,1591,347.212163
572.0,1487,356.422296
396.0,1294,364.346792
220.0,1078,370.948281
176.0,1087,377.633125
572.0,1855,389.058233
440.0,1308,397.136161
264.0,1256,405.324829
440.0,1618,415.27714
484.0,1641,425.356559
396.0,1373,433.74527
220.0,1191,441.048429
264.0,1218,448.544117
220.0,1102,455.244297
484.0,1436,464.290683
308.0,1534,473.691857
440.0,1858,485.039338
264.0,1017,491.297932
308.0,1550,500.807786
804.0,2261,514.70734
264.0,1211,522.127774
220.0,970,528.410001
528.0,1862,539.794924
396.0,1544,549.472491
176.0,898,555.011217
264.0,1610,565.023232
660.0,1700,575.659091
1092.0,2620,591.725314
308.0,1041,598.14658
352.0,1247,605.809211
572.0,1480,614.864588
440.0,1616,624.880736
264.0,1337,633.13112
176.0,1212,640.580238
264.0,1431,649.326497
352.0,1415,658.032615
352.0,1014,664.319869
396.0,1645,674.53198
264.0,1315,682.569723
484.0,1855,694.080354
264.0,972,700.044893
852.0,2519,715.691112
308.0,899,721.264043
264.0,994,727.609285
308.0,1003,733.812474
756.0,2520,749.346519
308.0,1140,756.293039
708.0,2444,771.408201
660.0,2691,788.086004
440.0,1672,798.483562
484.0,1381,806.936867
660.0,2179,820.451752
900.0,2516,836.495057
708.0,2394,851.995835
352.0,1598,861.99708
756.0,2361,876.702658
616.0,2095,889.869434
660.0,1909,902.298144
756.0,1994,914.743422
1236.0,3650,937.506781
660.0,2018,950.156386
572.0,1805,962.006619
308.0,1145,969.311297
660.0,1695,979.888597
660.0,1562,989.540409
660.0,2216,1003.847822
756.0,2428,1019.046523
804.0,2511,1036.114233
852.0,2914,1054.279189
756.0,3015,1073.194005
804.0,3134,1093.29264
948.0,2587,1109.31911
996.0,2676,1126.041351
708.0,2328,1140.478247
804.0,2918,1159.24307
900.0,3315,1179.949442
756.0,2378,1194.845618
1140.0,4031,1220.56572
804.0,2469,1236.043459
1092.0,3143,1255.734984
1092.0,2741,1273.079413
948.0,2937,1292.07584
616.0,1721,1302.813054
1188.0,3491,1324.762581
1588.0,3371,1347.671223
2160.0,4475,1375.723166
660.0,1743,1386.649254
1900.0,4594,1415.997562
3000.0,6532,1457.016523
2160.0,4786,1487.660348
1744.0,3997,1512.736036
1640.0,3992,1538.427889
2160.0,4631,1567.35089
5284.0,7257,1614.824085
2108.0,3993,1639.860655
1332.0,3099,1659.135297
1380.0,3262,1680.236953
2160.0,4711,1709.745367
2160.0,4676,1739.56635
4770.0,6148,1778.233805
660.0,2089,1792.767496
4448.0,7007,1836.466515
1380.0,3173,1856.971288
4080.0,5187,1889.371157
5828.0,6345,1930.583781
1044.0,2612,1947.035063
3028.0,5646,1983.796718
1140.0,2497,1999.61464
2832.0,4332,2026.889458
4898.0,5866,2064.342182
2160.0,3989,2089.193729
3448.0,4644,2119.661125
3900.0,5386,2153.870683
1952.0,4671,2183.944835
2108.0,4776,2213.894963
2160.0,4143,2240.531771
4770.0,6441,2281.017195
1796.0,4627,2310.734863
5702.0,6369,2350.800282
4220.0,5275,2384.664717
1092.0,1998,2397.29048
2496.0,4387,2424.65511
2160.0,3380,2447.381285
2160.0,5245,2480.114189
4200.0,5776,2516.342894
4320.0,5563,2551.316051
1744.0,3598,2574.411032
4500.0,4688,2603.99044
3840.0,5437,2638.29554
1284.0,2537,2654.144835
2160.0,3631,2676.770729
4470.0,4576,2705.497234
2860.0,4759,2735.303807
5880.0,6465,2776.491301
2720.0,4955,2808.130399
1332.0,3122,2827.481406
1380.0,3433,2848.934333
660.0,1938,2860.944489
1380.0,3197,2880.98824
1848.0,3883,2905.281152
1044.0,1892,2917.158004
5404.0,5790,2953.598896
2832.0,4520,2981.926306
5866.0,6933,3025.405074
2108.0,4038,3050.742305
2720.0,3803,3074.59311
2160.0,3556,3096.826926
1952.0,3881,3121.206411
1092.0,2187,3134.891468
5282.0,6026,3172.846973
4348.0,4920,3203.433559
1692.0,3925,3227.85807
6048.0,5650,3263.485021
4320.0,5262,3296.604313
4440.0,4666,3325.772413
1332.0,2160,3339.42041
4348.0,5378,3372.918079
4604.0,5458,3407.041716
3120.0,4925,3437.611388
4770.0,4336,3464.648216
3000.0,3747,3488.199816
7842.0,7504,3535.077642
804.0,1322,3543.274264
4670.0,4828,3574.113667
6898.0,5676,3609.834154
4384.0,5301,3643.482964
660.0,1494,3652.781318
1900.0,3322,3673.726114
4220.0,5927,3710.895109
6354.0,5058,3742.877609
1432.0,2318,3757.892024
1640.0,3212,3778.10865
2496.0,3622,3800.8327
4512.0,4501,3829.447187
4320.0,4434,3857.389789
948.0,1832,3868.853823
2108.0,2737,3886.17069
1380.0,1854,3897.792475
4320.0,4772,3927.95282
1380.0,2272,3942.200138
1640.0,2653,3958.773396
996.0,2156,3972.339527
2608.0,3777,3995.957317
1332.0,2077,4008.845526
1588.0,2601,4025.221649
3196.0,3531,4047.312824
6528.0,5814,4083.613288
1380.0,2139,4097.059669
2496.0,4141,4123.101017
1380.0,2599,4139.334146
900.0,2264,4153.940666
3480.0,4122,4179.866778
4640.0,4838,4210.289653
4800.0,4692,4240.025877
2004.0,2906,4258.375421
1044.0,2413,4273.662875
1900.0,3530,4295.934622
4350.0,4578,4324.534766
2160.0,3542,4346.578412
1900.0,3159,4366.265765
1380.0,2765,4383.551631
4220.0,5019,4415.242322
1640.0,2254,4429.358229
1380.0,2214,4443.29973
2748.0,3066,4462.614286
3300.0,4501,4490.910337
1380.0,2266,4505.006283
1588.0,2390,4519.878978
4990.0,4712,4549.4613
1236.0,1581,4559.335929
2804.0,3236,4579.702202
3690.0,4560,4608.23579
5404.0,6066,4646.520119
1380.0,2061,4659.391996
5760.0,5594,4694.299467
5650.0,5985,4731.741241
4348.0,5184,4764.485344
4572.0,4500,4792.79956
3616.0,3882,4817.133043
2608.0,3261,4837.476205
5674.0,4704,4867.231914
4834.0,4377,4894.978685
3900.0,5054,4926.59268
1188.0,2036,4939.426399
3780.0,4309,4966.584144
1952.0,2649,4983.306042
2108.0,2592,4999.592186
3000.0,5160,5031.880366
3364.0,4029,5057.028173
1536.0,2433,5072.442454
2664.0,3408,5093.802155
2160.0,2891,5111.947662
756.0,1194,5119.424536
5118.0,4872,5150.137297
1236.0,1894,5162.060463
4320.0,3960,5186.893498
1380.0,1936,5198.993077
2160.0,2765,5216.4256
2272.0,3516,5238.560061
2160.0,3151,5258.443376
5342.0,4915,5289.621221
4770.0,4835,5319.952032
1140.0,2098,5333.051701
