mean 100 episode reward,episodes,steps,% time spent exploring
2.5,100,41147,86
3.1,200,89425,70
3.4,300,142401,53
6.2,400,226339,25
17.3,500,383280,1
18.2,600,526986,1
19.1,700,652300,1
18.0,800,772716,1
19.2,900,896205,1
21.0,1000,1023701,1
16.8,1100,1137246,1
22.3,1200,1271805,1
14.8,1300,1365563,1
19.3,1400,1483816,1
19.4,1500,1604754,1
19.6,1600,1722420,1
21.2,1700,1845421,1
22.4,1800,1969372,1
18.1,1900,2077830,1
22.0,2000,2203348,1
16.6,2100,2301291,1
19.8,2200,2415007,1
23.5,2300,2548333,1
22.3,2400,2671465,1
23.7,2500,2800132,1
20.2,2600,2915729,1
