#{"env_id": "CrazyClimberNoFrameskip-v4", "t_start": 1537956200.2838085}
r,l,t
3500.0,1876,6.949059
7600.0,2986,13.980226
5900.0,2425,19.950956
7000.0,2967,28.012904
9200.0,3731,51.198419
5900.0,2274,65.752461
11400.0,3719,88.15617
7600.0,2971,109.251907
11000.0,4474,140.432501
7700.0,2525,156.007178
11700.0,3408,176.920605
11300.0,3146,197.348204
12100.0,3425,219.594862
8000.0,2065,233.090471
7900.0,2496,250.199072
9500.0,2368,265.663766
15900.0,4119,290.849363
11500.0,3026,310.363385
8100.0,2062,324.156203
11500.0,3127,344.898587
10700.0,2799,363.432863
10400.0,2450,380.056299
12100.0,2806,399.697542
11500.0,2767,418.634738
15100.0,3111,440.360243
11600.0,3056,460.746029
10900.0,2518,477.027627
24400.0,3807,501.897746
9100.0,2053,515.228405
8300.0,1919,527.631234
11000.0,2379,543.076916
12900.0,2659,560.479154
10900.0,2314,577.298302
11100.0,2274,594.193908
10300.0,2211,610.421846
11200.0,2278,627.956928
9300.0,2021,644.046312
13700.0,2671,663.427168
10400.0,2079,679.138525
14100.0,2696,702.230098
11100.0,2164,717.327289
17700.0,3463,740.930343
12200.0,2668,758.578371
13000.0,2408,775.165527
15700.0,2867,793.627946
19900.0,4002,819.48438
18300.0,3651,843.727598
13000.0,2671,861.047383
11800.0,2249,875.543513
23300.0,4454,905.303295
29200.0,3520,928.144572
34600.0,4590,957.739417
12500.0,1922,970.61483
10100.0,1568,980.664959
15400.0,2393,996.113713
10200.0,1529,1005.96255
16500.0,3102,1025.8668
26700.0,2995,1045.878191
9900.0,1672,1056.620898
14500.0,2038,1069.708678
18500.0,3088,1089.601131
13300.0,2113,1104.020034
12900.0,2573,1120.638455
28300.0,3487,1143.122537
27200.0,2952,1162.193777
11000.0,1625,1173.144822
13900.0,1916,1185.606401
13300.0,2218,1199.98307
13500.0,2065,1213.309211
11500.0,1794,1224.847767
26000.0,2911,1243.683389
11000.0,1819,1255.39092
11900.0,2068,1268.82041
13400.0,1905,1281.140746
27600.0,2945,1300.31203
19700.0,3211,1321.169272
13700.0,2013,1334.104918
11900.0,2850,1352.65552
13900.0,2508,1368.83991
12100.0,1982,1381.686535
15400.0,2586,1398.393965
21300.0,3788,1422.854101
11600.0,1916,1435.233972
28200.0,3285,1456.462683
28600.0,3268,1477.599052
11400.0,2338,1492.749259
25100.0,2537,1509.188637
26000.0,2273,1523.919872
15900.0,2128,1537.646968
31600.0,2991,1557.037112
19700.0,2913,1576.041501
12100.0,2691,1593.469423
18900.0,3322,1615.118545
27500.0,2847,1634.26817
15400.0,1994,1647.0569
34400.0,2993,1666.406664
20500.0,3473,1689.316416
23300.0,3188,1709.748583
12400.0,1816,1721.552565
19300.0,3321,1743.004125
17100.0,2611,1760.675275
25100.0,3641,1784.436774
22500.0,3401,1806.344496
18300.0,3179,1827.570823
17300.0,3090,1847.598166
19900.0,3398,1869.519853
17300.0,3216,1890.223413
11900.0,1958,1902.898242
31600.0,3885,1928.033388
30100.0,2697,1945.356786
6100.0,4087,1971.953433
23500.0,2887,1990.633162
11600.0,2434,2006.389164
10600.0,3072,2026.369939
16100.0,2975,2045.593364
24900.0,2703,2063.036844
17500.0,3706,2087.083313
19700.0,5763,2124.26012
15800.0,2378,2139.734474
17500.0,3877,2164.93275
36900.0,2989,2184.177204
36600.0,2958,2203.505351
18900.0,2903,2222.290108
25600.0,2833,2240.591242
38300.0,3451,2262.746726
11000.0,4354,2290.743625
42000.0,4387,2319.096417
11100.0,4130,2346.605416
29000.0,4286,2374.292011
22100.0,4057,2400.637099
40700.0,3974,2426.349325
32700.0,2744,2444.159394
37500.0,2982,2464.188716
37800.0,2839,2482.503118
51000.0,3142,2502.383753
25500.0,3345,2523.734395
36200.0,3440,2546.406882
56500.0,4719,2576.873605
34700.0,2934,2595.734491
29300.0,2976,2614.052298
38900.0,2706,2630.480326
32200.0,2533,2645.811655
39900.0,2969,2664.420633
37400.0,2536,2679.884398
38700.0,2875,2697.405966
29900.0,2153,2710.44124
31300.0,3258,2730.832887
41700.0,3306,2750.914294
50400.0,4648,2779.893285
42500.0,4871,2809.465223
38400.0,2883,2826.913382
12700.0,1771,2837.606945
30000.0,2330,2852.518303
38000.0,2493,2867.61329
38200.0,2769,2884.327682
37800.0,2198,2897.638956
37600.0,2904,2915.229797
38500.0,2996,2933.311894
38400.0,2644,2949.284696
49000.0,4281,2975.220882
40700.0,3544,2996.782308
38100.0,2986,3014.898803
32300.0,2239,3028.3523
94100.0,4996,3058.491114
39500.0,3176,3077.645492
88500.0,6290,3116.500336
65100.0,4330,3143.360561
47100.0,3253,3163.192306
60400.0,3023,3181.451047
71800.0,3958,3206.10227
38500.0,2731,3222.634046
34900.0,3144,3241.598621
36600.0,3571,3263.214801
61100.0,3763,3286.635999
29800.0,4499,3313.880841
32700.0,2807,3331.619385
33100.0,3456,3353.240851
111600.0,4937,3383.171134
6300.0,2228,3397.212981
37100.0,3794,3419.156952
26000.0,2833,3435.460783
94100.0,5522,3467.338218
