episodes,steps,mean 100 episode reward,% time spent exploring
100,58304,18.4,80
200,109372,23.5,63
300,165321,30.8,45
400,213269,30.0,29
500,267832,35.8,11
600,333492,34.2,1
700,403073,48.3,1
800,462147,52.8,1
900,534744,65.5,1
1000,607580,64.9,1
1100,675587,55.3,1
1200,750511,71.0,1
1300,817598,59.4,1
1400,892063,66.2,1
1500,971809,81.3,1
1600,1046744,61.4,1
1700,1138495,80.6,1
1800,1210117,77.4,1
1900,1292186,83.7,1
2000,1372539,78.8,1
2100,1443675,71.4,1
2200,1516763,85.0,1
2300,1598942,84.7,1
2400,1679723,88.5,1
2500,1759861,89.6,1
2600,1846150,89.2,1
2700,1924364,86.7,1
2800,2003372,86.7,1
2900,2088939,96.7,1
3000,2168593,91.3,1
3100,2253694,90.1,1
3200,2339919,83.2,1
3300,2428250,104.7,1
3400,2515595,93.8,1
3500,2597946,103.4,1
3600,2681652,107.4,1
3700,2769310,98.2,1
3800,2853127,100.0,1
3900,2936988,104.7,1
