#{"t_start": 1537834061.932037, "env_id": "CrazyClimberNoFrameskip-v4"}
r,l,t
3600.0,1918,6.30055
5900.0,2451,11.714405
6300.0,2683,17.663597
6000.0,2880,23.994844
11000.0,4480,50.381316
5300.0,1766,60.842946
10000.0,2673,76.610238
15000.0,4265,101.943899
8200.0,2672,117.81595
5900.0,2100,130.249793
11400.0,3725,152.311679
11000.0,3144,171.005919
10600.0,3457,191.439728
13400.0,4176,216.205408
13500.0,3430,236.652765
11000.0,3156,255.464681
5900.0,1845,266.438385
7700.0,1995,278.225401
8400.0,2211,291.335687
10400.0,2622,306.942124
8000.0,2110,319.479489
7700.0,2067,332.173733
11600.0,3052,350.311102
7300.0,1932,361.750922
8100.0,1955,373.451947
11400.0,2425,388.112252
11500.0,3898,411.291566
18300.0,4326,437.024907
14400.0,3173,456.252639
11900.0,2671,472.29804
8600.0,1917,483.809991
12400.0,2381,498.117312
11800.0,2653,515.445814
13700.0,2790,532.295435
23900.0,4165,557.133883
13400.0,2614,573.147352
12800.0,2566,588.513558
9200.0,1803,599.298186
18100.0,3758,621.752783
12000.0,2084,634.750956
11700.0,2248,648.162343
7600.0,1496,657.135824
11500.0,2160,670.01784
15100.0,2965,689.90486
15900.0,2966,707.670831
14300.0,2487,722.604575
24900.0,4543,750.388716
13100.0,2371,764.665597
15000.0,2494,779.591053
10600.0,1861,790.727998
12500.0,2274,804.2945
11000.0,1889,815.613492
10400.0,1777,826.238218
13800.0,2925,843.726336
17100.0,3368,863.885953
12900.0,2065,876.237803
11800.0,2213,889.557385
18500.0,3390,909.94591
23100.0,3743,932.345252
15800.0,2455,947.13528
11000.0,1651,957.032527
15100.0,2524,972.209934
14400.0,2210,985.578665
16700.0,3215,1005.499259
13900.0,2317,1019.345074
17100.0,2915,1036.837233
18100.0,2796,1053.622352
27600.0,3767,1076.315061
11400.0,1785,1087.105704
20100.0,3315,1106.977183
14000.0,2072,1119.738734
14900.0,2670,1135.832381
31800.0,3726,1158.229966
25300.0,3395,1179.03892
15800.0,2189,1192.235576
17700.0,2955,1209.958673
13400.0,2209,1223.279815
29500.0,2937,1241.273234
20500.0,3407,1261.658478
26300.0,2891,1278.988494
21500.0,3673,1301.392442
19900.0,3422,1321.909138
18300.0,3188,1341.150843
20500.0,3421,1361.965401
16000.0,2260,1375.535571
26000.0,2245,1389.057839
26300.0,2954,1406.740977
18900.0,3410,1428.731978
16700.0,3059,1447.170999
18300.0,4119,1472.554549
28400.0,2979,1490.45261
31400.0,3251,1510.021167
26700.0,2753,1526.598269
19100.0,2735,1543.599397
14500.0,2377,1557.917905
21100.0,3247,1577.390905
28600.0,3186,1596.544026
25100.0,3615,1618.218989
14400.0,2670,1634.289494
25200.0,2846,1651.383998
19500.0,3771,1674.099132
15200.0,3038,1692.32109
32300.0,3261,1711.847815
27400.0,3361,1732.509859
34000.0,3275,1752.220641
11300.0,2159,1765.221125
25200.0,5499,1798.80194
28700.0,3841,1821.940836
26300.0,4195,1847.725922
33600.0,3725,1870.054941
12400.0,2629,1885.818696
37300.0,3491,1906.739265
12400.0,2384,1921.210688
26600.0,3167,1940.389708
27900.0,3263,1960.381623
28500.0,3378,1980.727579
37800.0,3241,2000.20347
26300.0,2982,2018.569517
31700.0,2532,2033.680537
13700.0,1786,2044.348494
27400.0,2077,2056.855201
41100.0,2879,2074.203749
12900.0,1788,2085.299098
35500.0,2571,2100.812958
19900.0,2891,2118.232874
96000.0,6571,2158.153003
36000.0,2964,2175.90739
48500.0,4775,2205.105995
26200.0,3088,2223.675513
42100.0,3603,2245.409534
40300.0,4095,2270.707904
25300.0,2441,2285.456131
37300.0,3437,2306.054363
29500.0,2995,2324.536947
38100.0,2550,2339.899469
49300.0,2933,2357.508211
57400.0,4495,2385.116359
26700.0,2245,2398.631901
37600.0,2278,2412.322268
37600.0,2648,2428.200127
43300.0,2838,2445.665102
50900.0,4183,2470.844025
26500.0,3262,2490.491753
93800.0,5706,2525.254266
37500.0,2726,2541.64838
25800.0,2968,2559.450938
56700.0,5085,2589.900781
57100.0,4051,2614.212495
46300.0,3036,2632.803449
38200.0,2956,2650.687335
58200.0,2979,2668.670038
57500.0,3952,2693.072047
97900.0,4903,2722.588494
100700.0,4919,2752.67578
38100.0,2736,2769.052642
50000.0,3146,2787.980049
37200.0,2842,2805.148119
48000.0,3425,2826.121845
37300.0,3059,2844.499262
39100.0,2170,2857.604691
95600.0,3929,2881.612559
58800.0,4236,2907.111795
37300.0,3168,2926.281308
58000.0,2848,2943.855087
57800.0,2981,2961.887816
38100.0,2724,2978.164632
97400.0,4538,3006.110464
98300.0,4408,3032.660435
29700.0,3206,3052.476599
