% time spent exploring,steps,mean 100 episode reward,episodes
81,56781,17.8,100
63,111377,24.1,200
46,162745,27.5,300
28,216752,33.0,400
7,278894,38.5,500
1,344404,41.3,600
1,407616,54.2,700
1,478367,68.0,800
1,548068,69.4,900
1,627879,79.1,1000
1,693554,66.6,1100
1,762937,74.9,1200
1,833569,69.1,1300
1,919398,75.3,1400
1,995743,72.3,1500
1,1068428,73.7,1600
1,1145368,86.2,1700
1,1219166,86.8,1800
1,1303001,87.2,1900
1,1384090,84.4,2000
1,1464771,79.1,2100
1,1541992,91.4,2200
1,1616485,96.3,2300
1,1697350,102.5,2400
1,1772305,95.8,2500
1,1857718,113.6,2600
1,1937749,109.1,2700
1,2016748,100.7,2800
1,2097775,112.8,2900
1,2180951,115.2,3000
1,2256680,104.3,3100
1,2337922,111.6,3200
1,2416660,112.3,3300
1,2502159,115.4,3400
1,2579214,111.2,3500
1,2654152,104.2,3600
1,2741896,114.0,3700
1,2816220,104.0,3800
1,2896645,115.3,3900
1,2977733,120.4,4000
