#{"env_id": "DemonAttackNoFrameskip-v4", "t_start": 1538045158.6728027}
r,l,t
40.0,318,3.079686
160.0,726,5.007884
140.0,1428,8.550143
370.0,2060,13.7055
140.0,523,14.969472
120.0,739,16.707117
150.0,972,18.956583
50.0,408,19.911748
60.0,352,20.7257
80.0,406,21.681646
140.0,1384,25.208532
190.0,1229,31.085311
150.0,737,36.417648
235.0,1533,47.547663
140.0,812,53.380888
120.0,983,60.377981
130.0,916,66.887751
140.0,1028,74.233933
220.0,1427,84.434234
160.0,587,88.60439
175.0,1116,96.560166
190.0,1152,104.830555
120.0,1061,112.395514
50.0,487,115.844006
100.0,663,120.69613
110.0,901,127.186323
120.0,969,134.06347
90.0,667,138.844476
295.0,1285,148.060185
50.0,333,150.400852
100.0,487,153.877832
190.0,915,160.462459
100.0,658,165.175125
10.0,512,168.798063
110.0,833,175.132103
150.0,587,179.333116
110.0,653,184.00956
100.0,625,188.494492
130.0,891,194.914411
175.0,1678,207.031488
40.0,304,209.200111
160.0,846,215.279023
220.0,1575,226.66012
120.0,924,233.050822
130.0,898,239.013327
235.0,1031,246.008679
280.0,1680,257.756678
50.0,289,259.642854
80.0,379,262.014768
190.0,1151,269.711201
280.0,932,275.714682
140.0,646,279.950261
110.0,625,283.958527
90.0,548,287.494051
265.0,1038,294.387079
150.0,676,298.954367
220.0,1247,307.563259
100.0,636,311.592389
280.0,1395,320.900315
310.0,1725,331.968147
100.0,700,336.419126
205.0,1004,342.807211
280.0,976,348.998916
150.0,648,353.074832
205.0,1061,359.880627
40.0,287,361.675177
220.0,871,367.186047
80.0,576,370.811099
150.0,578,374.464167
80.0,628,378.934699
60.0,447,381.728785
220.0,1007,388.062749
385.0,1751,399.167423
120.0,667,403.402317
205.0,885,408.980537
340.0,1431,418.2058
130.0,470,421.586325
70.0,352,424.06208
110.0,652,428.631053
130.0,841,434.564903
140.0,718,439.57727
190.0,1029,446.848498
235.0,1189,455.379939
130.0,877,461.760451
190.0,983,468.833379
250.0,1231,477.863576
150.0,720,483.014381
265.0,1162,491.349551
235.0,1245,500.210155
100.0,604,504.456988
265.0,1354,514.084139
175.0,846,520.684528
110.0,487,524.113275
295.0,1420,534.225825
110.0,712,539.255562
100.0,706,544.255516
100.0,737,549.514309
160.0,1074,557.148497
120.0,691,562.045787
190.0,816,567.799644
140.0,858,573.846116
140.0,837,579.743205
80.0,470,583.069025
220.0,845,589.066636
130.0,673,593.885019
110.0,537,597.769348
120.0,655,602.460264
110.0,681,607.329764
295.0,2092,622.24587
40.0,275,624.157537
265.0,1844,637.33566
140.0,772,642.791384
220.0,1298,652.054039
90.0,581,656.120575
250.0,1079,663.762774
80.0,425,666.794863
130.0,737,671.985153
150.0,683,676.813527
150.0,944,683.542267
140.0,653,688.174433
120.0,524,691.873185
205.0,820,697.72123
295.0,1381,707.578633
385.0,2285,724.165146
40.0,446,727.358503
50.0,567,731.436733
90.0,948,738.285373
295.0,1805,751.428798
60.0,519,755.176908
140.0,978,762.18566
120.0,984,769.302697
190.0,1806,782.337334
20.0,240,783.990533
190.0,1007,791.25269
70.0,595,795.4895
140.0,971,801.913712
70.0,761,806.517027
50.0,461,809.243598
385.0,1882,820.590745
120.0,628,824.359833
680.0,2047,836.722248
40.0,344,838.782142
250.0,1655,848.817545
110.0,577,852.296999
620.0,4528,879.666018
120.0,679,883.733964
60.0,666,887.714715
120.0,680,891.798907
250.0,1790,902.594209
190.0,848,908.053742
120.0,868,913.475284
265.0,1464,922.466276
175.0,1096,930.270827
90.0,527,933.509479
175.0,1082,939.905805
175.0,1293,947.552647
340.0,1451,956.130802
140.0,956,961.849231
370.0,2904,979.09614
90.0,509,982.074405
110.0,689,986.129646
355.0,2512,1001.318177
220.0,760,1006.295508
150.0,874,1011.545318
130.0,501,1014.529839
140.0,814,1019.483113
130.0,751,1024.006931
190.0,849,1029.148047
150.0,1031,1035.378909
325.0,1571,1044.831585
340.0,1685,1055.233047
220.0,1328,1063.049638
250.0,920,1068.449549
310.0,1290,1076.067203
140.0,670,1080.006178
310.0,1307,1087.7102
120.0,684,1091.726763
205.0,959,1097.352948
280.0,1367,1105.380962
295.0,1094,1112.38904
370.0,1318,1120.13703
130.0,782,1124.715428
355.0,2039,1136.799104
110.0,840,1141.852109
310.0,1117,1149.498106
140.0,647,1154.444039
265.0,4229,1184.803465
640.0,2125,1199.807659
310.0,1377,1209.445778
110.0,584,1213.375153
295.0,1240,1222.146759
265.0,971,1228.901329
205.0,1300,1237.852574
235.0,1519,1248.370289
500.0,1513,1259.724475
60.0,282,1261.462028
140.0,813,1266.45015
265.0,1461,1277.083978
160.0,1083,1285.129793
370.0,1497,1294.757394
120.0,792,1299.847882
980.0,1831,1311.355244
385.0,1435,1321.231281
385.0,1541,1331.050384
190.0,1357,1339.810399
720.0,2529,1356.045514
370.0,1983,1368.819366
100.0,598,1372.61738
460.0,1928,1385.531614
280.0,1837,1397.218925
130.0,740,1401.914673
30.0,508,1405.150357
130.0,620,1409.018043
295.0,1103,1416.029002
130.0,849,1421.67941
175.0,1610,1431.468904
235.0,1214,1439.134678
205.0,938,1445.152859
370.0,1291,1452.91674
340.0,1509,1462.311247
385.0,1653,1473.769014
500.0,1987,1485.868411
900.0,2063,1498.580193
220.0,1139,1505.528167
190.0,947,1511.117288
700.0,2145,1523.940076
120.0,433,1526.550919
340.0,1802,1537.195259
325.0,2045,1549.29961
780.0,1999,1561.996141
800.0,1934,1574.040941
340.0,2374,1589.649437
130.0,761,1594.360584
640.0,4847,1624.144978
480.0,4644,1655.163241
760.0,3813,1680.735604
1160.0,3500,1706.494304
310.0,1242,1715.211976
720.0,2642,1733.598425
190.0,884,1739.874207
250.0,903,1746.431314
295.0,1211,1754.83578
640.0,2942,1775.260276
370.0,3001,1797.465865
420.0,2013,1812.346495
325.0,1326,1821.975795
480.0,2593,1840.729893
205.0,698,1845.689032
960.0,1754,1858.543944
2400.0,3209,1882.008549
50.0,381,1884.752248
205.0,984,1891.975735
370.0,1411,1902.281923
1040.0,2028,1917.076867
160.0,943,1924.785268
340.0,1485,1935.645605
940.0,1649,1947.363967
720.0,2075,1962.278796
1760.0,2623,1980.988448
1905.0,2992,2004.567004
150.0,1150,2011.668432
1580.0,2882,2028.504513
1000.0,1848,2039.334186
130.0,609,2042.775886
310.0,1438,2051.005391
600.0,6269,2088.038196
640.0,1949,2099.55915
190.0,1041,2105.774351
480.0,1887,2118.391442
385.0,2063,2133.079443
120.0,593,2137.297073
80.0,644,2141.828846
220.0,950,2148.447896
130.0,978,2155.388625
540.0,4719,2188.686955
150.0,778,2194.118755
900.0,2529,2211.91915
100.0,742,2217.125276
340.0,1428,2227.21832
1900.0,5673,2266.88694
265.0,1308,2276.11826
100.0,4172,2305.49524
370.0,1328,2315.048185
265.0,1447,2325.382617
150.0,1058,2332.816291
440.0,1416,2342.768031
385.0,7572,2397.366102
250.0,1231,2406.145563
205.0,1098,2414.03213
160.0,702,2419.052522
205.0,1505,2429.683542
175.0,977,2436.404516
1440.0,2205,2451.913845
130.0,792,2457.338045
1500.0,3372,2481.171888
130.0,659,2485.820023
1440.0,3031,2507.240164
580.0,2301,2523.432183
420.0,2814,2543.455085
370.0,1329,2552.916126
370.0,2161,2568.27356
50.0,454,2571.335437
420.0,1403,2581.113979
265.0,1163,2589.496977
840.0,1852,2602.6187
1840.0,4369,2632.889567
620.0,1723,2645.0225
420.0,2152,2660.476372
175.0,941,2667.054363
560.0,1731,2679.340992
700.0,1910,2693.049671
120.0,710,2698.102714
340.0,1470,2708.48598
175.0,758,2713.805139
1160.0,2331,2730.044493
190.0,823,2735.807431
325.0,1259,2744.590873
190.0,1050,2752.132603
160.0,833,2758.181881
840.0,2720,2777.687818
1800.0,2592,2796.150351
295.0,1435,2806.03858
310.0,2195,2821.175953
325.0,1430,2830.971364
340.0,1196,2839.209691
120.0,679,2843.843487
480.0,1963,2857.400099
460.0,1621,2868.6166
580.0,1597,2879.768103
100.0,872,2885.986289
295.0,1195,2894.558319
370.0,1136,2902.775393
1000.0,2021,2917.252359
560.0,1725,2929.639248
310.0,1267,2938.711715
1000.0,2260,2954.559796
385.0,1364,2964.187439
280.0,1438,2974.388558
2140.0,6485,3019.683067
