% time spent exploring,episodes,steps,mean 100 episode reward
92,100,22076,3.4
86,200,42003,3.0
79,300,61263,3.6
72,400,82892,4.1
65,500,103090,3.4
58,600,125508,3.3
49,700,153903,4.0
41,800,177482,4.4
31,900,208499,5.2
22,1000,235814,4.9
7,1100,279627,6.2
1,1200,315075,7.3
1,1300,359483,5.6
1,1400,392963,6.1
1,1500,423280,6.0
1,1600,457871,6.5
1,1700,489528,5.7
1,1800,540726,6.5
1,1900,570465,5.8
1,2000,599719,4.9
1,2100,626053,4.9
1,2200,653965,6.2
1,2300,690162,6.4
1,2400,716998,6.0
1,2500,748275,5.5
1,2600,777189,6.1
1,2700,805894,6.8
1,2800,835963,6.4
1,2900,866928,6.8
1,3000,898807,7.4
1,3100,928823,7.3
1,3200,959752,6.9
1,3300,997436,9.3
1,3400,1027968,6.2
1,3500,1065340,7.8
1,3600,1097751,7.5
1,3700,1135060,6.9
1,3800,1166442,6.6
1,3900,1201438,6.6
1,4000,1236511,7.6
1,4100,1270506,7.8
1,4200,1304279,9.0
1,4300,1340798,9.0
1,4400,1377100,8.6
1,4500,1413080,9.0
1,4600,1452732,7.7
1,4700,1486169,7.8
1,4800,1561219,8.5
1,4900,1593830,7.6
1,5000,1625613,8.2
1,5100,1660944,8.8
1,5200,1721567,9.2
1,5300,1760254,7.9
1,5400,1803690,9.0
1,5500,1853012,7.6
1,5600,1889163,8.7
1,5700,1923776,9.5
1,5800,1963830,10.3
1,5900,2001449,9.5
1,6000,2040211,9.1
1,6100,2076606,9.5
1,6200,2111067,8.5
1,6300,2150737,10.7
1,6400,2194650,11.5
1,6500,2232641,10.2
1,6600,2269709,9.3
1,6700,2307774,10.4
1,6800,2346453,11.0
1,6900,2381958,9.4
1,7000,2423395,11.9
1,7100,2463516,11.4
1,7200,2615779,8.6
1,7300,2650117,9.5
1,7400,2687557,9.7
1,7500,2723354,10.2
1,7600,2762769,10.7
1,7700,2799688,10.6
1,7800,2838538,11.2
1,7900,2880148,11.7
1,8000,2913744,9.6
1,8100,2950684,10.7
1,8200,2987047,9.9
