#{"t_start": 1538063359.1131732, "env_id": "DemonAttackNoFrameskip-v4"}
r,l,t
220.0,1901,6.236252
370.0,1648,9.812687
160.0,1200,12.415721
100.0,618,13.748254
90.0,341,14.48277
140.0,896,16.425314
80.0,710,17.960097
150.0,1263,20.703261
90.0,489,21.758466
120.0,675,23.220494
295.0,1994,33.726722
60.0,305,35.472637
120.0,864,40.574799
190.0,1138,47.326492
160.0,1248,54.842669
140.0,1245,62.121751
150.0,1058,68.318362
130.0,1224,75.583273
60.0,526,78.648214
110.0,680,82.614769
310.0,1439,91.237204
205.0,965,96.99491
190.0,876,102.112125
175.0,1102,108.695555
80.0,412,111.10016
250.0,2095,123.449027
130.0,723,127.656549
130.0,1050,133.917367
130.0,691,138.032342
355.0,1430,146.891972
250.0,1091,153.299001
130.0,531,156.413098
40.0,331,158.345585
100.0,574,161.801562
150.0,879,167.060725
235.0,1281,174.611247
90.0,1030,180.74312
250.0,1773,191.220326
90.0,404,193.586269
205.0,1016,199.604795
70.0,1145,206.342668
280.0,1394,214.670794
220.0,903,220.064988
40.0,225,221.342972
140.0,584,224.748339
250.0,949,230.362315
175.0,3160,249.232983
130.0,1180,256.319965
220.0,1871,267.976266
140.0,707,272.178628
265.0,1331,280.0963
175.0,862,285.226924
370.0,1318,293.115023
110.0,449,295.706655
205.0,1282,303.207068
340.0,1639,313.02915
110.0,703,317.189981
120.0,664,321.050102
205.0,1017,327.211
130.0,808,331.974262
130.0,990,337.77053
140.0,760,342.231981
100.0,580,345.679516
130.0,715,349.882491
295.0,1249,357.340529
110.0,777,361.89985
150.0,685,365.931211
30.0,264,367.445748
205.0,992,373.304139
130.0,815,378.156083
140.0,621,381.834183
70.0,424,384.33834
385.0,1724,394.568882
175.0,1186,401.712484
220.0,963,407.450708
80.0,450,410.078153
110.0,876,415.236688
175.0,1072,421.710766
150.0,1326,429.58171
100.0,677,433.587371
100.0,738,437.912965
120.0,653,441.832919
190.0,903,447.172174
140.0,707,451.453988
50.0,361,453.547587
205.0,1183,460.690864
400.0,1922,471.958418
420.0,1528,480.991337
175.0,662,484.977629
100.0,769,489.479108
140.0,773,494.099643
60.0,343,496.16415
340.0,1721,506.388613
175.0,894,511.689066
250.0,1171,518.856717
355.0,1717,529.095902
70.0,462,531.800459
540.0,1583,541.223927
310.0,1673,551.308756
70.0,468,554.151396
190.0,1129,560.897197
620.0,1755,571.891727
235.0,1179,578.846225
250.0,1140,585.519949
370.0,1388,593.85124
250.0,1405,602.256801
310.0,1385,610.526734
370.0,1534,619.711479
130.0,766,624.180743
110.0,592,627.951517
235.0,1193,635.03949
90.0,523,638.093019
110.0,1002,644.128628
265.0,1327,651.973261
80.0,480,654.762362
580.0,2295,668.456898
640.0,1925,679.877245
355.0,2490,695.330042
110.0,752,699.871661
235.0,1109,706.415762
220.0,1286,713.953492
90.0,793,718.581395
265.0,1186,725.564213
190.0,1016,731.538004
250.0,1060,737.753537
120.0,1249,745.138723
265.0,1287,752.995591
600.0,1894,764.267168
250.0,1628,773.960203
385.0,1395,782.295739
90.0,467,785.018795
295.0,1611,794.561956
150.0,923,799.961935
100.0,551,803.177292
355.0,1644,812.967137
250.0,1712,823.141621
355.0,2185,836.050795
90.0,627,839.704478
900.0,1989,851.601679
325.0,1753,861.960213
295.0,1423,870.347188
205.0,1177,877.273583
205.0,756,881.693992
540.0,4734,909.967916
2250.0,3279,929.811459
130.0,972,935.599849
520.0,1579,945.066065
280.0,1137,951.825347
800.0,2040,963.971672
400.0,2032,976.285118
880.0,2059,990.134041
325.0,1727,1000.421436
620.0,1768,1010.852495
1200.0,2628,1026.54407
295.0,1123,1033.204855
1280.0,2620,1048.891557
1680.0,3243,1068.514688
130.0,799,1073.246212
340.0,1793,1083.881552
620.0,2356,1097.894375
295.0,1198,1104.960061
370.0,1485,1115.245337
480.0,2184,1128.282108
640.0,3837,1151.079839
370.0,1568,1160.346942
370.0,2136,1173.033141
140.0,746,1177.472003
325.0,2163,1190.582068
880.0,2610,1206.023999
480.0,2643,1221.866203
1220.0,2807,1238.507102
780.0,1797,1249.200285
920.0,2373,1263.256518
175.0,961,1268.920393
1140.0,2181,1281.856711
385.0,1627,1291.422969
100.0,688,1295.472095
1040.0,3213,1314.530835
250.0,1114,1321.113082
220.0,1476,1329.887913
280.0,1872,1341.079413
1420.0,2808,1357.947902
920.0,2326,1371.656189
1560.0,2597,1387.048764
860.0,3598,1408.60965
190.0,1453,1417.522406
280.0,1213,1424.664068
1060.0,2486,1439.383586
2000.0,3051,1457.673798
420.0,2678,1475.076906
150.0,798,1479.863795
620.0,1639,1489.637244
820.0,2433,1504.129488
840.0,1870,1515.231762
340.0,1079,1521.606779
340.0,1326,1529.442448
880.0,2428,1543.75654
2210.0,2767,1560.336218
150.0,864,1565.557673
100.0,679,1569.532692
780.0,1805,1580.346288
2080.0,3204,1599.872855
720.0,2548,1615.116279
1160.0,2262,1628.732661
1880.0,3342,1648.769895
235.0,1061,1655.650295
110.0,877,1660.811803
1120.0,2739,1677.212272
540.0,2063,1689.379044
1600.0,3430,1709.795239
780.0,1994,1721.622195
1340.0,3010,1739.593066
175.0,1022,1745.637304
355.0,1546,1754.83247
3970.0,5277,1786.260143
660.0,3068,1804.31884
175.0,1063,1810.557294
1360.0,2717,1826.762286
1740.0,3525,1848.123336
2440.0,3014,1866.216897
520.0,1770,1876.810372
740.0,2421,1891.191599
1560.0,2825,1908.250674
880.0,2511,1923.133391
340.0,1481,1931.922918
295.0,1036,1938.014255
600.0,1867,1949.139983
1220.0,2670,1964.94214
340.0,1524,1974.065861
2150.0,3676,1996.020094
1360.0,2754,2012.429311
1120.0,2306,2026.825035
2140.0,3473,2047.572004
1780.0,3405,2067.821811
900.0,2369,2082.230036
1120.0,2845,2099.272964
1320.0,2179,2112.580046
2115.0,3430,2132.904723
175.0,894,2138.629715
3455.0,4157,2163.215035
1140.0,2125,2175.857749
3740.0,4642,2204.061818
2120.0,3139,2222.827684
1400.0,2510,2237.776948
720.0,1631,2247.460931
1900.0,2271,2261.435684
1500.0,2402,2275.839356
3565.0,4018,2299.744852
3375.0,4433,2326.469436
1200.0,2227,2339.610791
355.0,1362,2347.730651
4430.0,3386,2368.085172
120.0,778,2372.645463
355.0,1052,2378.855304
420.0,1428,2387.315076
680.0,1977,2399.046217
340.0,1383,2407.346519
1880.0,2396,2421.526597
980.0,1941,2433.228604
1600.0,2707,2449.424047
800.0,1560,2458.621517
1440.0,2301,2472.366867
860.0,2037,2484.493408
1440.0,2969,2502.180756
2810.0,3453,2522.682207
1760.0,2339,2536.742694
310.0,1403,2545.167459
325.0,1154,2552.062027
1660.0,2260,2565.490624
325.0,1365,2573.627923
1480.0,2575,2588.984353
1020.0,1715,2599.319831
500.0,1998,2611.299034
420.0,1343,2619.226885
760.0,1910,2630.570916
1740.0,2417,2644.979716
3955.0,4137,2669.559969
1400.0,2615,2685.368077
5210.0,4103,2709.809051
2410.0,2731,2725.998484
4100.0,3832,2748.905422
340.0,1524,2758.060345
1080.0,1924,2769.618132
1160.0,1731,2779.868776
560.0,2033,2792.057298
2520.0,3741,2814.309813
1000.0,2329,2828.416507
480.0,2039,2840.525384
1340.0,2198,2853.45899
1200.0,2398,2867.646784
1120.0,2215,2881.048775
2880.0,3615,2902.571924
1140.0,2110,2915.11772
1120.0,2616,2930.69869
2290.0,2456,2945.340023
4210.0,4197,2970.356
1880.0,2900,2987.531785
740.0,1997,2999.321372
2020.0,2872,3016.339189
4340.0,3640,3038.066123
2220.0,2555,3053.331886
2545.0,3306,3073.24518
3250.0,4000,3097.496668
760.0,1814,3108.171992
2630.0,3286,3127.737826
