#{"env_id": "GopherNoFrameskip-v4", "t_start": 1537853887.143833}
r,l,t
40.0,695,6.954829
500.0,1199,10.802108
80.0,708,13.076054
180.0,793,15.552542
160.0,663,17.831822
160.0,1171,21.624521
60.0,567,23.417734
80.0,850,26.482188
620.0,1420,31.00849
80.0,594,32.675861
120.0,946,35.262796
580.0,1112,41.172735
300.0,754,46.833921
520.0,1314,56.626776
640.0,1317,66.4696
140.0,980,73.874282
120.0,812,79.986866
240.0,918,86.842515
200.0,959,94.007743
80.0,799,99.991453
0.0,613,104.640335
0.0,517,108.581753
100.0,884,115.195113
200.0,798,121.03009
520.0,1656,133.269103
60.0,713,138.529293
80.0,449,141.801203
600.0,1115,149.995107
80.0,441,153.167179
300.0,754,158.729106
160.0,913,165.388511
400.0,778,171.0872
220.0,744,176.532794
120.0,798,182.313557
540.0,831,188.80484
220.0,805,194.778855
440.0,1123,203.164037
320.0,827,209.387939
100.0,752,214.993217
80.0,611,219.564555
140.0,803,225.72763
280.0,732,231.322712
440.0,1205,240.508726
180.0,811,246.750426
840.0,1491,258.105592
140.0,764,264.251384
340.0,941,271.031632
140.0,874,277.357505
280.0,563,281.380874
560.0,1008,288.701574
440.0,1110,296.809736
0.0,614,301.214283
60.0,700,306.278549
220.0,913,312.844633
260.0,949,319.725741
480.0,1085,327.587449
260.0,1078,335.387388
0.0,614,339.784759
20.0,696,344.812565
80.0,737,350.131655
1080.0,1192,358.696266
660.0,1051,366.297872
160.0,747,371.563278
520.0,1104,379.04342
320.0,1195,388.395752
840.0,1151,396.979353
400.0,802,402.790421
1380.0,2164,419.858512
440.0,973,427.052625
80.0,653,431.922169
160.0,810,437.845474
80.0,618,442.304664
60.0,560,446.221287
440.0,914,452.333603
160.0,714,458.487942
220.0,819,465.124953
280.0,979,472.715933
240.0,718,478.061223
240.0,906,485.393369
800.0,1445,496.686479
680.0,1307,505.294194
400.0,1065,512.52029
180.0,758,517.554583
480.0,1036,525.15073
200.0,624,529.744147
380.0,1149,538.294437
420.0,977,545.469119
80.0,762,551.099234
20.0,741,556.672579
200.0,615,562.643233
200.0,624,567.200149
220.0,692,572.247606
220.0,797,578.063505
160.0,1050,585.843038
220.0,916,592.743902
180.0,792,598.494099
180.0,747,603.942162
340.0,883,610.484651
480.0,1233,619.708251
340.0,915,626.398772
160.0,628,631.504926
280.0,880,638.754386
200.0,695,644.040826
820.0,1528,655.123137
0.0,667,660.059858
220.0,922,666.834318
200.0,644,671.635409
320.0,772,677.587917
580.0,1132,686.049337
160.0,797,692.214884
60.0,595,697.147604
400.0,1204,706.115894
180.0,758,711.38348
480.0,885,717.634217
340.0,932,724.044978
540.0,1053,731.667922
500.0,998,739.993279
400.0,856,747.323568
400.0,1442,757.531707
80.0,604,761.488032
100.0,974,768.206164
420.0,853,777.483433
160.0,755,784.641508
200.0,980,792.388576
680.0,1107,800.671951
460.0,652,806.818586
520.0,808,812.605533
500.0,1273,821.550496
1240.0,1654,834.895308
640.0,1192,844.686185
480.0,1013,852.953393
520.0,950,860.630255
940.0,1321,871.939875
100.0,764,878.108111
320.0,797,884.615007
400.0,803,891.155952
160.0,658,896.488743
620.0,901,903.875402
260.0,809,910.683271
460.0,844,917.699031
760.0,1214,927.925477
680.0,1141,937.159922
280.0,797,943.678794
1260.0,1425,955.79498
460.0,1295,966.68724
920.0,1452,978.441729
60.0,676,983.936703
800.0,985,991.891662
160.0,667,997.195857
660.0,1049,1005.574014
80.0,677,1010.971201
720.0,1336,1021.747315
500.0,891,1028.911648
320.0,839,1035.616518
2000.0,1820,1051.036032
960.0,1132,1060.272243
740.0,1166,1069.985495
700.0,1226,1079.896833
320.0,690,1085.514528
400.0,895,1092.438313
200.0,857,1099.258206
200.0,646,1104.532319
380.0,936,1111.926725
340.0,1030,1120.089946
420.0,1078,1128.184219
500.0,1214,1137.278173
120.0,659,1142.12668
700.0,1209,1151.129885
240.0,1051,1158.901099
1340.0,1639,1170.610918
460.0,1033,1177.992112
220.0,811,1183.618172
720.0,1096,1191.917781
420.0,1017,1199.09647
720.0,1215,1207.214326
520.0,910,1213.279576
700.0,886,1219.215155
180.0,561,1222.877293
240.0,779,1227.967559
900.0,1048,1235.919399
560.0,1018,1243.438286
360.0,681,1248.803706
1140.0,1801,1262.194239
180.0,653,1267.082863
