episodes,% time spent exploring,mean 100 episode reward,steps
100,90,3.3,28681
200,80,3.9,58289
300,70,4.1,88169
400,60,5.7,119962
500,49,6.9,152481
600,38,7.8,185758
700,28,6.1,217016
800,16,8.3,252052
900,6,7.8,284765
1000,1,9.8,320958
1100,1,7.7,352530
1200,1,9.9,388044
1300,1,8.9,422750
1400,1,7.6,455803
1500,1,9.6,492850
1600,1,9.4,528543
1700,1,12.3,566347
1800,1,11.2,601806
1900,1,15.2,644138
2000,1,12.2,681903
2100,1,15.8,724567
2200,1,16.6,767116
2300,1,22.3,813346
2400,1,21.1,859075
2500,1,19.2,904639
2600,1,18.4,947472
2700,1,19.8,990817
2800,1,20.9,1035098
2900,1,19.4,1078351
3000,1,23.5,1125311
3100,1,26.8,1174379
3200,1,25.4,1223315
3300,1,22.5,1271091
3400,1,22.3,1317439
3500,1,24.3,1365525
3600,1,22.9,1411579
3700,1,22.4,1456762
3800,1,25.3,1503877
3900,1,19.1,1544966
4000,1,25.6,1593301
4100,1,21.4,1640738
4200,1,27.3,1691078
4300,1,26.5,1740728
4400,1,26.5,1789430
4500,1,27.2,1840668
4600,1,25.4,1891393
4700,1,20.6,1934092
4800,1,26.9,1984921
4900,1,24.2,2034994
5000,1,24.9,2084860
5100,1,24.9,2131719
5200,1,21.0,2175206
5300,1,24.8,2223595
5400,1,24.3,2271144
5500,1,29.7,2323829
5600,1,22.8,2368614
5700,1,25.2,2416426
5800,1,27.1,2467616
5900,1,22.2,2513781
6000,1,23.6,2561368
6100,1,25.4,2609898
6200,1,23.8,2656354
6300,1,24.4,2705494
6400,1,23.8,2754135
6500,1,28.0,2803895
6600,1,28.8,2856058
6700,1,28.2,2905840
6800,1,24.6,2955010
