% time spent exploring,steps,mean 100 episode reward,episodes
89,31999,4.6,100
79,63086,5.7,200
69,93883,5.6,300
57,129367,7.9,400
45,164412,7.3,500
35,195213,6.0,600
24,229145,6.3,700
14,259935,5.6,800
4,290824,7.1,900
1,327625,10.7,1000
1,368854,13.4,1100
1,404487,12.0,1200
1,446497,17.5,1300
1,492400,20.2,1400
1,534653,18.4,1500
1,578396,18.5,1600
1,621049,17.2,1700
1,661623,17.4,1800
1,706129,20.0,1900
1,755586,24.6,2000
1,802102,22.2,2100
1,848683,22.6,2200
1,890287,17.6,2300
1,937636,23.2,2400
1,982856,20.4,2500
1,1028227,22.0,2600
1,1074989,22.6,2700
1,1122788,23.9,2800
1,1171392,24.0,2900
1,1219875,25.3,3000
1,1265237,21.4,3100
1,1312502,22.8,3200
1,1355664,21.0,3300
1,1401422,21.2,3400
1,1448250,22.4,3500
1,1494557,22.7,3600
1,1539012,22.2,3700
1,1587538,24.2,3800
1,1637782,26.5,3900
1,1679245,19.2,4000
1,1720572,18.1,4100
1,1766588,22.8,4200
1,1817149,28.0,4300
1,1863594,22.8,4400
1,1905987,19.8,4500
1,1946545,18.6,4600
1,1998398,27.9,4700
1,2047480,27.4,4800
1,2097280,25.6,4900
1,2143525,24.6,5000
1,2196928,29.5,5100
1,2246296,26.0,5200
1,2296965,26.6,5300
1,2346531,26.5,5400
1,2393605,24.7,5500
1,2442242,27.5,5600
1,2491711,28.8,5700
1,2542648,28.4,5800
1,2595645,30.4,5900
1,2646026,27.9,6000
1,2696733,28.3,6100
1,2746611,28.4,6200
1,2796365,27.1,6300
1,2845155,28.9,6400
1,2892666,27.9,6500
1,2944240,26.6,6600
1,2990916,23.1,6700
