#{"t_start": 1538177342.6216652, "env_id": "GopherNoFrameskip-v4"}
r,l,t
40.0,943,6.865841
200.0,1046,9.333639
240.0,887,11.430828
380.0,1196,14.246017
220.0,751,16.019608
660.0,962,18.289019
60.0,747,20.035568
100.0,658,21.58483
800.0,1296,24.645542
320.0,681,26.256706
180.0,590,27.644732
600.0,1486,35.651864
100.0,766,40.285737
340.0,981,46.388233
80.0,559,49.771887
520.0,1206,57.198267
280.0,1260,65.003956
560.0,1318,73.087276
540.0,1079,79.730359
540.0,892,85.333916
400.0,1061,91.78052
360.0,945,97.545742
80.0,839,102.632828
160.0,739,107.209255
500.0,1127,114.219867
140.0,638,118.104215
300.0,860,123.316338
520.0,1067,129.887292
400.0,730,134.576368
140.0,718,138.969254
160.0,960,144.885706
0.0,613,148.641543
220.0,831,153.72438
20.0,652,157.727974
440.0,1123,164.720291
180.0,756,169.396195
540.0,1333,177.674752
380.0,1263,185.509166
660.0,1641,195.58294
620.0,1311,203.705773
200.0,1028,209.995006
1580.0,1791,222.449712
400.0,903,228.028158
160.0,623,231.830887
0.0,615,235.599236
80.0,707,240.100055
80.0,1001,246.386148
420.0,934,252.116084
40.0,597,255.782732
0.0,611,259.5785
80.0,572,263.061437
560.0,1017,269.302196
760.0,1527,278.665668
160.0,573,282.23869
660.0,983,288.274656
500.0,1017,294.54574
400.0,959,300.442551
160.0,751,305.021073
580.0,1221,312.71335
160.0,855,317.930966
160.0,948,323.859787
820.0,1047,330.254398
780.0,1031,336.535222
620.0,1129,344.106235
340.0,884,349.529685
420.0,881,355.036336
580.0,1228,362.56766
1040.0,1845,373.960313
680.0,1250,381.552927
1300.0,1258,389.251264
520.0,1042,395.607803
580.0,964,401.554018
460.0,866,408.658505
700.0,1133,415.626314
420.0,1112,422.458906
800.0,1077,429.104901
80.0,546,432.41605
300.0,752,437.061122
1060.0,1714,447.566937
520.0,907,453.16359
120.0,688,457.339508
660.0,913,463.0544
580.0,956,469.43522
820.0,1258,477.150586
240.0,760,481.85523
180.0,779,486.643897
140.0,925,492.27081
380.0,786,497.03636
160.0,664,501.093111
0.0,560,504.491462
1060.0,1541,514.0048
460.0,1007,520.210108
760.0,1112,527.051614
580.0,1069,533.577373
320.0,862,538.810347
720.0,793,543.644662
60.0,677,547.910801
160.0,868,553.255389
280.0,842,558.398245
0.0,609,562.09509
680.0,1537,571.751414
740.0,1093,578.653582
600.0,1215,586.34483
340.0,646,590.31686
0.0,613,594.134153
260.0,593,597.742708
80.0,731,602.346997
180.0,604,606.028365
400.0,917,611.772575
480.0,928,617.588355
300.0,990,623.700889
860.0,1394,632.287002
400.0,1010,638.559042
320.0,871,643.880281
840.0,1030,650.193733
360.0,838,655.330044
1260.0,1764,666.252771
180.0,534,669.509933
760.0,1115,676.337343
340.0,777,681.057797
1180.0,1680,691.35909
840.0,1143,698.426214
1080.0,1786,709.547751
640.0,1294,717.537522
640.0,932,723.356536
1200.0,1593,733.104497
900.0,990,739.190003
80.0,691,743.397861
340.0,893,748.850894
720.0,1006,755.005846
680.0,1186,762.340146
260.0,689,766.624439
1060.0,1259,774.461669
320.0,979,781.165992
1680.0,1537,790.811455
400.0,731,795.302076
1220.0,1639,805.450024
440.0,988,811.545103
260.0,865,816.891265
460.0,884,822.372704
200.0,711,826.847126
660.0,842,832.038643
220.0,688,836.361771
920.0,1301,844.975538
720.0,1408,853.741199
740.0,953,859.63095
740.0,852,864.934623
380.0,666,869.061758
1200.0,1357,877.557789
1560.0,1568,887.449717
1380.0,1365,896.116906
760.0,1037,902.629909
820.0,1140,910.502974
320.0,1029,916.868749
380.0,789,921.783422
1060.0,904,927.503504
1240.0,1479,936.760465
360.0,767,941.500695
520.0,959,947.413798
1400.0,1833,958.767941
760.0,1067,965.438689
1360.0,1387,974.012679
1600.0,1858,985.742469
380.0,839,990.979428
700.0,1035,997.46731
920.0,1549,1007.118767
1960.0,2069,1020.015035
1800.0,1703,1030.750541
420.0,779,1035.931059
1240.0,1494,1045.254078
2440.0,2327,1060.054895
880.0,1298,1068.142218
940.0,1208,1075.645013
800.0,996,1081.953089
180.0,740,1086.581458
500.0,821,1091.636653
220.0,560,1095.091061
600.0,1105,1102.32066
880.0,1210,1109.893302
1240.0,1666,1120.406765
1460.0,1612,1130.486507
1260.0,1249,1138.428631
1720.0,1667,1148.895694
660.0,1037,1155.369952
500.0,1007,1162.237312
420.0,797,1167.178161
900.0,1092,1174.023212
600.0,975,1180.056222
480.0,709,1184.461623
440.0,991,1190.648099
800.0,1134,1197.669081
2140.0,2417,1212.664004
720.0,1074,1219.476094
460.0,896,1225.457162
600.0,800,1230.443887
1880.0,1729,1241.358158
960.0,1150,1248.542997
1020.0,1249,1256.450651
1240.0,1401,1265.285706
300.0,895,1271.05319
740.0,1034,1277.658114
960.0,984,1283.806036
1020.0,1150,1290.944652
820.0,1346,1299.378853
580.0,913,1305.100608
1900.0,1713,1315.986218
1440.0,1503,1325.324514
820.0,881,1330.844648
1120.0,1307,1339.059005
1280.0,1314,1347.341057
840.0,984,1353.831457
180.0,493,1356.861908
480.0,710,1361.223646
820.0,1090,1368.105216
1560.0,1534,1377.740146
180.0,767,1382.535559
780.0,1076,1389.21766
1500.0,1461,1398.395036
1100.0,1336,1406.690619
960.0,1268,1414.76182
1800.0,1440,1423.668993
1300.0,1119,1430.665763
740.0,1159,1437.990924
1660.0,1884,1449.772187
680.0,1093,1456.719241
360.0,684,1460.915015
