steps,episodes,% time spent exploring,mean 100 episode reward
30167,100,90,3.9
62502,200,79,5.3
94942,300,68,6.8
128817,400,57,7.4
165071,500,45,10.2
205727,600,32,13.0
244375,700,19,13.0
287328,800,5,14.7
327611,900,1,14.7
369142,1000,1,14.7
415171,1100,1,18.1
459465,1200,1,17.5
509077,1300,1,22.5
557877,1400,1,22.5
598586,1500,1,18.6
646116,1600,1,22.4
697048,1700,1,28.0
747881,1800,1,26.0
795163,1900,1,23.3
846367,2000,1,26.2
899058,2100,1,27.7
948224,2200,1,25.5
1002871,2300,1,28.8
1050438,2400,1,23.6
1100964,2500,1,24.5
1150963,2600,1,25.9
1197777,2700,1,22.2
1245995,2800,1,25.9
1290859,2900,1,21.3
1341663,3000,1,25.9
1389339,3100,1,23.9
1438369,3200,1,25.4
1485677,3300,1,23.4
1534476,3400,1,24.5
1585256,3500,1,25.4
1633497,3600,1,24.0
1686783,3700,1,28.4
1737505,3800,1,26.9
1791908,3900,1,29.2
1842770,4000,1,27.0
1898442,4100,1,30.4
1952208,4200,1,29.4
2001609,4300,1,25.1
2053088,4400,1,27.0
2103196,4500,1,26.2
2156304,4600,1,27.6
2211389,4700,1,31.2
2265201,4800,1,31.0
2315236,4900,1,26.6
2368849,5000,1,28.8
2424831,5100,1,32.7
2477416,5200,1,29.1
2528888,5300,1,27.8
2583223,5400,1,31.2
2636114,5500,1,28.6
2689049,5600,1,30.0
2744604,5700,1,31.8
2802309,5800,1,35.3
2859810,5900,1,36.0
2913768,6000,1,31.3
2965265,6100,1,29.4
