#{"env_id": "KangarooNoFrameskip-v4", "t_start": 1538215443.4993744}
r,l,t
0.0,548,5.254483
0.0,610,6.692985
200.0,417,7.668752
0.0,589,9.048589
0.0,537,10.303443
0.0,533,11.545717
0.0,506,12.723972
200.0,485,13.863372
0.0,281,14.511591
0.0,449,15.549203
0.0,671,17.117046
0.0,346,17.91485
0.0,534,19.15896
0.0,640,20.658552
0.0,276,21.294481
0.0,566,22.616818
0.0,583,23.974971
200.0,342,24.7756
0.0,476,25.886996
0.0,352,26.703845
0.0,426,27.690409
200.0,542,31.129814
0.0,663,35.192819
0.0,375,37.422986
0.0,462,40.265561
0.0,484,43.150241
0.0,517,46.243885
200.0,554,49.601073
200.0,499,52.614176
0.0,352,54.75715
200.0,485,57.773308
0.0,473,60.599726
0.0,536,63.865658
0.0,474,66.714714
0.0,408,69.142238
0.0,535,72.396266
0.0,479,75.262136
200.0,534,78.471254
0.0,541,81.695103
0.0,541,84.923855
200.0,714,89.534011
0.0,367,91.718096
0.0,335,93.687538
0.0,483,96.638232
0.0,531,99.804548
0.0,475,102.697822
200.0,472,105.538627
0.0,414,107.99157
0.0,550,111.394671
0.0,657,115.368856
0.0,352,117.469409
0.0,621,121.281017
0.0,309,123.09509
0.0,414,125.568233
0.0,351,127.691703
0.0,378,129.926999
0.0,349,132.005134
0.0,495,134.958647
0.0,439,137.581481
0.0,465,140.341427
0.0,555,143.657201
0.0,473,146.473381
0.0,356,148.582054
0.0,383,150.984258
0.0,431,153.590819
0.0,473,156.391182
0.0,421,158.953147
0.0,418,161.450909
200.0,417,163.93505
0.0,413,166.495853
0.0,592,170.093382
0.0,485,172.976871
0.0,496,175.961618
0.0,423,178.511629
0.0,551,181.874273
0.0,365,184.027097
0.0,418,186.533149
200.0,507,189.676272
0.0,425,192.289924
0.0,568,195.753429
0.0,462,198.572925
0.0,483,201.482636
0.0,591,205.016297
0.0,437,207.610661
0.0,415,210.073113
0.0,476,212.909212
0.0,344,214.939295
0.0,367,217.118728
200.0,434,219.764405
0.0,600,223.443149
200.0,360,225.612984
0.0,414,228.100178
0.0,489,231.034092
0.0,551,234.347367
0.0,527,237.493608
0.0,472,240.323012
200.0,581,243.804649
0.0,476,246.634363
200.0,493,249.622107
400.0,631,253.47091
0.0,431,256.032833
0.0,601,259.67921
400.0,598,263.310239
0.0,416,265.78751
0.0,543,269.043034
0.0,479,271.91605
400.0,405,274.37646
0.0,302,276.145567
0.0,432,278.749908
0.0,410,281.193751
200.0,664,285.212799
0.0,408,287.745193
0.0,339,289.755987
0.0,546,293.039334
400.0,670,297.111445
200.0,418,299.643601
0.0,285,301.328832
0.0,538,304.672005
0.0,347,306.73283
0.0,468,309.549102
0.0,534,312.752246
0.0,462,315.596088
200.0,478,318.476499
0.0,289,320.202488
0.0,406,322.645564
0.0,280,324.28695
0.0,478,327.129842
0.0,401,329.541373
200.0,349,331.609271
0.0,505,334.706988
0.0,435,337.361372
