episodes,mean 100 episode reward,% time spent exploring,steps
100,0.1,94,15844
200,0.0,89,31100
300,0.1,84,46606
400,0.1,79,61575
500,0.1,74,78572
600,0.0,68,94049
700,0.0,63,110266
800,0.1,58,127261
900,0.1,51,145586
1000,0.1,46,163102
1100,0.1,40,179442
1200,0.0,35,196928
1300,0.1,28,215204
1400,0.0,23,233257
1500,0.1,17,250394
1600,0.1,11,266837
1700,0.1,6,281924
1800,0.0,2,296549
1900,0.1,1,313588
2000,0.1,1,331490
2100,0.0,1,346968
2200,0.0,1,363017
2300,0.0,1,379860
2400,0.0,1,395482
2500,0.1,1,410444
2600,0.0,1,424685
2700,0.0,1,438888
2800,0.1,1,452160
2900,0.1,1,468216
3000,0.4,1,485705
3100,0.3,1,502796
3200,0.1,1,516402
3300,0.0,1,528367
3400,0.1,1,540597
3500,0.2,1,555432
3600,0.4,1,571361
3700,0.3,1,588041
3800,0.7,1,606705
3900,0.0,1,618454
4000,0.6,1,635795
4100,0.4,1,650606
4200,0.2,1,665555
4300,0.2,1,680284
4400,0.2,1,696138
4500,0.0,1,708940
4600,0.2,1,726283
4700,0.4,1,744948
4800,0.2,1,761143
4900,0.1,1,778110
5000,0.5,1,793849
5100,0.7,1,811350
5200,0.1,1,824399
5300,0.3,1,842602
5400,0.1,1,856435
5500,0.4,1,873942
5600,0.6,1,891815
5700,0.0,1,903218
5800,0.0,1,914046
5900,0.0,1,924257
6000,0.4,1,940847
6100,0.0,1,951401
6200,0.0,1,965981
6300,0.0,1,979435
6400,0.1,1,993045
6500,0.0,1,1005614
6600,0.0,1,1018000
6700,0.1,1,1031503
6800,0.1,1,1046107
6900,0.3,1,1062407
7000,0.1,1,1077986
7100,0.1,1,1093329
7200,0.1,1,1106655
7300,0.4,1,1122491
7400,0.1,1,1138597
7500,0.3,1,1155452
7600,0.4,1,1172021
7700,0.2,1,1185003
7800,0.5,1,1201870
7900,0.0,1,1215954
8000,0.2,1,1232807
8100,0.0,1,1244959
8200,0.2,1,1259430
8300,0.0,1,1271150
8400,0.0,1,1282333
8500,0.0,1,1293962
8600,0.1,1,1305909
8700,0.2,1,1318566
8800,0.0,1,1330102
8900,0.1,1,1341007
9000,0.1,1,1354539
9100,0.0,1,1365025
9200,0.0,1,1378148
9300,0.1,1,1391774
9400,0.1,1,1406721
9500,0.2,1,1421586
9600,0.0,1,1432558
9700,0.0,1,1444228
9800,0.3,1,1458982
9900,0.3,1,1473512
10000,0.0,1,1484102
10100,0.1,1,1496845
10200,0.2,1,1511380
10300,0.0,1,1521453
10400,0.1,1,1532702
10500,0.0,1,1541978
10600,0.2,1,1554335
10700,0.3,1,1567363
10800,0.1,1,1578804
10900,0.0,1,1590337
11000,0.0,1,1601568
11100,0.0,1,1610594
11200,0.0,1,1621131
11300,0.1,1,1633066
11400,0.1,1,1643806
11500,0.5,1,1658095
11600,0.2,1,1668538
11700,0.1,1,1678848
11800,0.4,1,1690796
11900,0.0,1,1701202
12000,0.0,1,1712285
12100,0.3,1,1724838
12200,0.3,1,1736618
12300,0.1,1,1746959
12400,0.2,1,1758297
12500,0.7,1,1773527
12600,0.6,1,1788103
12700,0.2,1,1799608
12800,0.2,1,1810018
12900,0.2,1,1820490
13000,0.4,1,1832229
13100,0.5,1,1847186
13200,0.4,1,1860208
13300,0.5,1,1873971
13400,0.2,1,1885032
13500,0.3,1,1897235
13600,0.5,1,1912606
13700,0.6,1,1925785
13800,0.7,1,1941257
13900,0.8,1,1957814
14000,0.4,1,1972691
14100,0.0,1,1982403
14200,0.5,1,1994574
14300,0.6,1,2007608
14400,0.4,1,2020898
14500,0.2,1,2031076
14600,0.0,1,2040668
14700,0.3,1,2054642
14800,0.0,1,2066461
14900,0.0,1,2078532
15000,0.0,1,2090419
15100,0.0,1,2100269
15200,0.1,1,2112476
15300,0.3,1,2126544
15400,0.2,1,2140325
15500,0.0,1,2152586
15600,0.0,1,2164963
15700,0.4,1,2179234
15800,0.7,1,2196087
15900,0.2,1,2208077
16000,0.0,1,2220481
16100,0.0,1,2232150
16200,0.2,1,2245653
16300,0.3,1,2259995
16400,0.0,1,2272019
16500,0.5,1,2288175
16600,0.0,1,2302017
16700,0.5,1,2318256
16800,0.0,1,2331528
16900,0.5,1,2347149
17000,0.5,1,2365275
17100,0.0,1,2375610
17200,0.0,1,2387374
17300,0.3,1,2401966
17400,0.4,1,2418298
17500,0.3,1,2433434
17600,0.0,1,2443629
17700,0.0,1,2454598
17800,0.1,1,2467482
17900,0.0,1,2480587
18000,0.0,1,2493570
18100,0.3,1,2509493
18200,0.1,1,2523915
18300,0.2,1,2539377
18400,0.2,1,2557710
18500,0.1,1,2573353
18600,0.2,1,2587235
18700,0.0,1,2600111
18800,0.0,1,2613317
18900,0.0,1,2624932
19000,0.1,1,2637813
19100,0.1,1,2648583
19200,0.0,1,2658750
19300,0.1,1,2669703
19400,0.1,1,2680605
19500,0.1,1,2691864
19600,0.0,1,2701346
19700,0.0,1,2711583
19800,0.1,1,2724018
19900,0.1,1,2737765
20000,0.0,1,2751303
20100,0.0,1,2762103
20200,0.0,1,2772618
20300,0.3,1,2788777
20400,0.2,1,2802033
20500,0.1,1,2814597
20600,0.0,1,2825818
20700,0.0,1,2835916
20800,0.3,1,2848075
20900,0.4,1,2863588
21000,0.0,1,2876335
21100,0.3,1,2890773
21200,0.1,1,2905015
21300,0.0,1,2915767
21400,0.0,1,2927350
21500,0.0,1,2938612
21600,0.1,1,2951104
21700,0.1,1,2961382
21800,0.0,1,2971233
21900,0.0,1,2982835
22000,0.1,1,2995639
