#{"t_start": 1538233874.1546109, "env_id": "KangarooNoFrameskip-v4"}
r,l,t
0.0,491,3.247589
0.0,483,4.383267
200.0,543,5.674664
0.0,428,6.683787
0.0,461,7.780171
0.0,413,8.752568
0.0,490,9.912841
200.0,595,11.343168
0.0,468,12.450207
200.0,426,13.456003
200.0,602,14.891299
0.0,478,16.026046
200.0,673,17.628511
0.0,622,19.104633
0.0,288,19.777589
0.0,671,21.376823
0.0,733,23.130268
0.0,629,24.63337
0.0,478,25.768825
0.0,474,28.104905
0.0,542,31.402901
0.0,382,33.762265
0.0,587,37.343308
0.0,314,39.271067
0.0,722,43.692565
0.0,528,46.888471
0.0,627,50.717628
0.0,404,53.146327
0.0,539,56.407064
0.0,544,59.734345
200.0,543,63.009648
0.0,288,64.74832
0.0,559,68.147167
0.0,472,71.002468
0.0,368,73.220994
0.0,408,75.70401
0.0,344,77.823752
200.0,529,81.069492
0.0,474,83.931192
0.0,722,88.709594
0.0,484,91.63757
0.0,673,95.763227
0.0,364,97.962673
0.0,688,102.169143
200.0,416,104.726162
0.0,361,106.908571
0.0,428,109.498366
0.0,546,112.803599
0.0,458,115.615726
0.0,477,118.560566
0.0,425,121.180137
0.0,608,124.919848
0.0,655,128.901423
0.0,478,131.795515
0.0,594,135.430649
0.0,589,139.093768
0.0,537,142.350219
0.0,525,145.6012
200.0,660,149.64136
0.0,612,153.361898
0.0,412,155.930153
0.0,358,158.105327
0.0,493,161.118165
0.0,442,163.996407
200.0,409,166.616199
0.0,389,169.008254
0.0,342,171.100671
0.0,359,173.337129
0.0,342,175.525826
200.0,471,178.409741
0.0,452,181.143828
0.0,280,182.867689
0.0,728,187.410267
200.0,592,191.08943
200.0,608,194.876482
0.0,550,198.326594
0.0,408,200.779644
0.0,420,203.346617
0.0,510,206.431096
0.0,353,208.593612
200.0,338,210.621323
0.0,551,214.010321
0.0,477,216.886998
200.0,339,218.958135
200.0,475,221.837421
0.0,349,223.92671
0.0,407,226.381022
0.0,561,229.907629
0.0,593,233.556057
0.0,481,236.471604
0.0,471,239.322387
200.0,417,241.846091
0.0,410,244.386679
0.0,484,247.338167
0.0,416,249.86693
200.0,422,252.479963
0.0,411,254.949765
0.0,400,257.35149
200.0,402,259.777374
0.0,369,261.984002
0.0,361,264.178277
0.0,763,268.866296
600.0,596,272.486824
0.0,600,276.197737
0.0,342,278.263449
200.0,556,281.638859
0.0,283,283.352278
0.0,476,286.247577
0.0,406,288.767642
200.0,494,291.853773
0.0,492,294.871029
0.0,410,297.36752
0.0,533,300.657679
0.0,480,303.556944
0.0,535,306.840909
0.0,544,310.228132
200.0,495,313.285109
0.0,421,315.897657
200.0,604,319.590301
0.0,446,322.38441
0.0,353,324.516298
0.0,594,328.218699
0.0,542,331.669836
0.0,417,334.202404
200.0,628,338.01275
0.0,280,339.720726
200.0,473,342.596175
0.0,594,346.354702
0.0,283,348.071839
200.0,430,350.692645
0.0,298,352.480611
0.0,467,355.374838
0.0,597,359.16416
0.0,492,362.194925
200.0,557,365.575219
0.0,418,368.151304
0.0,284,369.851406
0.0,445,372.538705
0.0,607,376.319704
0.0,487,379.373801
200.0,568,383.081976
0.0,499,386.119034
0.0,551,389.513336
0.0,442,392.267852
0.0,489,395.316135
0.0,281,397.038485
0.0,408,399.594266
0.0,550,403.008279
0.0,475,405.926614
200.0,611,409.696806
0.0,282,411.419545
200.0,537,414.70849
0.0,605,418.389092
200.0,474,421.258182
0.0,355,423.397149
0.0,342,425.464683
0.0,496,428.487268
0.0,272,430.195609
0.0,557,433.669287
0.0,410,436.147818
0.0,532,439.43276
0.0,337,441.47478
0.0,436,444.113517
0.0,282,445.839062
0.0,352,447.958233
0.0,538,451.265923
0.0,420,453.870202
0.0,346,455.933559
200.0,407,458.389366
0.0,401,460.812349
0.0,553,464.21655
0.0,543,467.50608
0.0,562,471.00908
200.0,545,474.307018
200.0,611,478.218007
0.0,407,480.73098
0.0,517,483.890208
400.0,469,486.749563
0.0,370,489.069096
0.0,422,491.660014
0.0,622,495.599786
0.0,486,498.567689
0.0,361,500.767249
0.0,592,504.382267
0.0,286,506.130541
0.0,547,509.584613
0.0,363,511.763256
0.0,475,514.637837
0.0,484,517.578005
0.0,844,522.765308
200.0,541,526.099747
0.0,545,529.608088
0.0,601,533.364045
0.0,359,535.562185
0.0,533,538.782426
0.0,625,542.704257
0.0,548,546.026164
200.0,536,549.273576
0.0,292,551.020818
0.0,371,553.273867
200.0,617,557.096313
200.0,634,560.959442
0.0,352,563.168704
200.0,564,566.617005
0.0,484,569.550239
0.0,289,571.333046
200.0,730,575.788762
0.0,342,577.85455
0.0,541,581.188965
600.0,737,585.727047
400.0,669,589.925757
0.0,367,592.190025
0.0,279,593.888262
0.0,547,597.312268
0.0,409,599.774113
0.0,341,601.877107
0.0,546,605.277589
0.0,611,609.062598
200.0,467,611.871145
200.0,408,614.34329
0.0,545,617.710482
0.0,496,620.707646
0.0,469,623.550537
0.0,277,625.241873
0.0,403,627.682729
400.0,540,630.963889
0.0,356,633.12855
0.0,280,634.834159
0.0,547,638.219054
200.0,472,641.15342
0.0,362,643.343756
0.0,680,647.507662
200.0,420,650.092893
0.0,410,652.825395
0.0,334,654.811341
0.0,539,658.089473
0.0,289,659.811455
200.0,464,662.616139
0.0,274,664.323425
200.0,409,666.826363
0.0,346,668.900135
0.0,285,670.680679
200.0,463,673.50506
0.0,338,675.57956
200.0,480,678.533053
