% time spent exploring,steps,episodes,mean 100 episode reward
94,16760,100,0.1
89,33050,200,0.0
84,47690,300,0.1
79,63339,400,0.1
74,78263,500,0.0
68,94302,600,0.1
63,109875,700,0.2
59,122997,800,0.1
54,136383,900,0.1
50,151206,1000,0.2
45,166613,1100,0.2
39,182081,1200,0.2
35,194718,1300,0.0
30,210846,1400,0.2
24,227330,1500,0.2
19,243545,1600,0.2
14,258969,1700,0.2
9,275246,1800,0.3
3,291472,1900,0.7
1,310369,2000,1.0
1,327750,2100,0.9
1,340820,2200,0.6
1,356947,2300,1.1
1,372842,2400,1.1
1,390648,2500,1.4
1,410979,2600,2.0
1,430891,2700,2.1
1,452217,2800,2.0
1,472455,2900,2.0
1,491627,3000,2.0
1,512725,3100,2.4
1,535441,3200,2.8
1,556630,3300,2.3
1,575773,3400,2.0
1,598905,3500,2.9
1,622961,3600,3.0
1,646148,3700,2.8
1,671110,3800,3.2
1,692497,3900,2.6
1,716180,4000,2.8
1,738353,4100,2.6
1,761426,4200,2.7
1,787832,4300,3.3
1,815584,4400,3.6
1,843163,4500,3.4
1,871838,4600,3.8
1,899141,4700,3.6
1,923878,4800,3.0
1,950153,4900,3.4
1,978407,5000,3.6
1,1006404,5100,3.6
1,1030811,5200,3.0
1,1058766,5300,3.6
1,1087135,5400,3.8
1,1114644,5500,3.3
1,1149041,5600,4.3
1,1183055,5700,4.4
1,1210850,5800,3.0
1,1237832,5900,3.3
1,1273955,6000,4.8
1,1310552,6100,4.7
1,1349382,6200,5.1
1,1379164,6300,3.7
1,1416112,6400,4.4
1,1457575,6500,5.7
1,1498806,6600,5.4
1,1532406,6700,4.1
1,1570553,6800,5.0
1,1615566,6900,5.9
1,1654821,7000,4.9
1,1688523,7100,4.4
1,1730859,7200,5.8
1,1771575,7300,5.4
1,1812095,7400,5.0
1,1848816,7500,4.6
1,1890482,7600,5.8
1,1933359,7700,5.7
1,1974974,7800,5.7
1,2019452,7900,6.2
1,2060432,8000,5.7
1,2103962,8100,5.8
1,2142395,8200,5.1
1,2180153,8300,5.0
1,2216961,8400,4.5
1,2255729,8500,5.1
1,2301841,8600,6.2
1,2341026,8700,5.5
1,2376560,8800,4.3
1,2419660,8900,5.9
1,2455488,9000,4.7
1,2495785,9100,5.6
1,2537084,9200,5.5
1,2580515,9300,6.0
1,2624804,9400,6.4
1,2664893,9500,5.6
1,2702514,9600,5.0
1,2741994,9700,5.3
1,2782356,9800,5.3
1,2826982,9900,6.2
1,2872670,10000,6.5
1,2918115,10100,6.3
1,2958772,10200,5.4
