steps,episodes,mean 100 episode reward,% time spent exploring
15542,100,0.2,94
30913,200,0.1,89
47419,300,0.1,84
64412,400,0.1,78
83042,500,0.1,72
99436,600,0.1,67
113215,700,0.1,62
129498,800,0.1,57
149416,900,0.0,50
168010,1000,0.1,44
185863,1100,0.1,38
203286,1200,0.1,32
220840,1300,0.2,27
239147,1400,0.2,21
257515,1500,0.2,15
275778,1600,0.4,8
294171,1700,0.5,2
313714,1800,0.3,1
334164,1900,0.7,1
352816,2000,0.8,1
371696,2100,1.0,1
388835,2200,0.7,1
408068,2300,1.3,1
428438,2400,1.2,1
449144,2500,1.6,1
470300,2600,1.8,1
491705,2700,2.2,1
513002,2800,2.3,1
535460,2900,2.6,1
558185,3000,2.8,1
579862,3100,2.3,1
599995,3200,2.0,1
623275,3300,2.8,1
647841,3400,3.0,1
673623,3500,3.3,1
699822,3600,3.3,1
724176,3700,2.8,1
749009,3800,3.0,1
775674,3900,3.4,1
803195,4000,3.4,1
829262,4100,3.2,1
857210,4200,3.6,1
885300,4300,3.6,1
913697,4400,3.7,1
941898,4500,3.6,1
973417,4600,4.2,1
1007839,4700,4.5,1
1041009,4800,4.3,1
1075653,4900,4.6,1
1114279,5000,4.9,1
1152497,5100,5.1,1
1193277,5200,5.5,1
1232842,5300,5.1,1
1269331,5400,4.5,1
1306178,5500,4.8,1
1346183,5600,5.4,1
1384872,5700,5.0,1
1425108,5800,5.4,1
1461946,5900,4.8,1
1501391,6000,5.3,1
1541458,6100,5.4,1
1579287,6200,5.0,1
1621004,6300,5.6,1
1662466,6400,5.5,1
1702692,6500,5.6,1
1747336,6600,6.1,1
1793979,6700,6.6,1
1837052,6800,5.8,1
1880909,6900,6.6,1
1927849,7000,6.9,1
1971359,7100,6.1,1
2015817,7200,6.0,1
2063280,7300,6.9,1
2100109,7400,4.6,1
2146460,7500,7.0,1
2191425,7600,6.5,1
2232468,7700,5.9,1
2276955,7800,6.6,1
2328601,7900,8.2,1
2379563,8000,8.0,1
2432984,8100,8.6,1
2468912,8200,4.9,1
2504776,8300,4.9,1
2550712,8400,6.8,1
2590978,8500,5.4,1
2635578,8600,6.5,1
2683622,8700,7.0,1
2733239,8800,7.3,1
2785873,8900,8.0,1
2841029,9000,8.8,1
2884905,9100,6.4,1
2932895,9200,7.2,1
2983481,9300,7.5,1
