#{"env_id": "KungFuMasterNoFrameskip-v4", "t_start": 1538327134.4498365}
r,l,t
700.0,1047,4.626811
600.0,1103,7.246128
600.0,863,9.292644
200.0,867,11.35551
0.0,850,13.377208
200.0,934,15.606124
0.0,738,17.395017
200.0,676,19.022544
1200.0,1261,22.076598
1300.0,860,24.1461
1300.0,1014,27.366907
800.0,832,32.40154
100.0,699,36.639774
500.0,912,42.20473
600.0,1197,49.500679
200.0,1316,57.479263
200.0,825,62.572066
500.0,977,68.565732
100.0,868,73.795815
700.0,905,79.272332
1000.0,896,84.72579
300.0,857,89.992536
700.0,812,94.896113
400.0,820,99.920784
1000.0,1185,107.111156
400.0,736,111.544975
400.0,761,116.144779
500.0,702,120.436069
300.0,869,125.764225
900.0,940,131.464489
900.0,936,137.196666
0.0,852,142.385473
300.0,865,147.610945
0.0,813,152.833854
600.0,916,158.35057
600.0,1020,164.608701
1100.0,959,170.43747
700.0,806,175.328734
600.0,782,180.062477
200.0,789,184.889982
700.0,846,190.093458
900.0,891,195.532995
1000.0,968,201.452016
0.0,797,206.354307
200.0,931,212.017187
0.0,882,217.315305
0.0,673,221.431715
1300.0,1123,228.304118
0.0,768,232.966009
500.0,955,238.781282
1100.0,1204,246.132274
900.0,826,251.141396
1100.0,880,256.450579
300.0,874,261.812692
1000.0,910,267.344913
1000.0,1003,273.524031
800.0,944,279.310993
400.0,983,285.319749
400.0,907,290.897295
1500.0,956,296.697125
700.0,1037,302.966757
600.0,895,308.425091
500.0,1081,315.095589
1800.0,1204,322.561642
1200.0,932,328.304913
400.0,1015,334.787456
300.0,1008,340.927038
1000.0,1154,347.999135
200.0,1079,354.499587
600.0,755,359.085617
1000.0,1136,366.013662
400.0,617,369.791473
500.0,710,374.085232
900.0,945,379.829967
1200.0,986,385.808139
600.0,775,390.509161
500.0,1043,396.910939
500.0,995,403.024489
500.0,843,408.268309
900.0,858,413.598316
1800.0,1269,421.344806
400.0,1006,427.499314
1300.0,1259,435.226589
200.0,542,438.54034
1400.0,1133,445.406555
1300.0,1005,451.526697
300.0,970,457.802237
1600.0,972,463.657558
1500.0,1180,470.874005
1800.0,1413,479.611788
1000.0,1240,487.154933
1400.0,1157,494.289219
0.0,731,498.782358
500.0,1017,504.961132
100.0,801,509.93545
900.0,1044,516.234112
100.0,689,520.670898
1100.0,1278,528.551095
1000.0,1017,534.7527
1100.0,990,540.808949
1600.0,1055,547.411774
700.0,1105,554.08441
400.0,859,559.288715
1100.0,1137,566.234856
500.0,629,570.128747
200.0,766,574.810291
1800.0,1474,583.728395
400.0,1168,590.821418
1200.0,986,596.903479
600.0,879,602.255131
1200.0,984,608.382038
2300.0,979,614.295519
1600.0,932,619.94445
1500.0,1031,626.202475
1300.0,875,631.529692
500.0,915,637.084825
700.0,936,642.826647
1400.0,928,648.537288
1600.0,1006,654.812857
400.0,860,660.071442
800.0,942,665.846518
