steps,episodes,% time spent exploring,mean 100 episode reward
22937,100,92,0.8
44622,200,85,0.8
68490,300,77,1.2
93575,400,69,1.3
118077,500,61,1.5
144072,600,52,2.2
169998,700,43,2.4
199906,800,34,4.2
232472,900,23,5.7
262379,1000,13,5.0
297124,1100,1,8.8
335685,1200,1,12.0
370445,1300,1,9.3
412803,1400,1,13.5
452069,1500,1,12.0
491636,1600,1,11.4
524769,1700,1,8.4
568712,1800,1,15.0
608416,1900,1,11.8
652854,2000,1,14.9
694765,2100,1,15.0
737334,2200,1,12.9
778305,2300,1,12.0
828258,2400,1,16.6
871641,2500,1,13.7
918682,2600,1,16.3
955843,2700,1,11.1
989933,2800,1,8.9
1040053,2900,1,18.1
1088839,3000,1,16.5
1134672,3100,1,15.1
1181625,3200,1,15.8
1226007,3300,1,15.8
1269082,3400,1,14.7
1313094,3500,1,13.9
1361753,3600,1,17.1
1406802,3700,1,14.7
1453266,3800,1,17.1
1500225,3900,1,17.6
1552528,4000,1,20.5
1599251,4100,1,16.4
1650241,4200,1,19.8
1709330,4300,1,22.3
1758685,4400,1,17.8
1805140,4500,1,16.9
1855349,4600,1,18.9
1905298,4700,1,17.8
1957275,4800,1,18.7
2008813,4900,1,17.9
2055128,5000,1,16.8
2115614,5100,1,23.3
2173638,5200,1,22.7
2219440,5300,1,15.7
2265841,5400,1,16.4
2321775,5500,1,21.4
2375669,5600,1,19.8
2430676,5700,1,19.8
2480104,5800,1,16.0
2525684,5900,1,14.5
2578615,6000,1,18.3
2635701,6100,1,21.7
2692722,6200,1,21.3
2745984,6300,1,20.8
2811806,6400,1,26.2
2871023,6500,1,22.8
2929887,6600,1,23.5
2985872,6700,1,21.6
