#{"t_start": 1538345546.663297, "env_id": "KungFuMasterNoFrameskip-v4"}
r,l,t
300.0,725,3.841197
300.0,725,5.607041
400.0,978,7.981076
0.0,739,9.773068
600.0,992,12.172378
300.0,746,13.988212
400.0,834,16.010046
200.0,997,18.416966
400.0,880,20.538775
600.0,726,22.295449
300.0,932,24.551181
300.0,962,27.81801
200.0,737,32.470756
300.0,886,37.953507
200.0,867,43.328205
600.0,942,49.076925
700.0,1222,56.621904
800.0,796,61.530471
700.0,1025,67.867499
0.0,703,72.236786
600.0,943,78.027197
600.0,834,83.192239
700.0,915,88.998903
300.0,839,94.245338
700.0,862,99.555884
300.0,748,104.182254
1000.0,943,109.991081
700.0,954,115.931137
400.0,793,120.779806
1100.0,1247,128.517199
900.0,1103,135.281761
800.0,943,141.080767
600.0,1082,147.847393
1300.0,1278,156.003935
200.0,805,161.000355
400.0,749,165.637369
600.0,878,171.034173
400.0,825,176.235721
800.0,990,182.498002
1200.0,1215,189.999227
400.0,993,196.144257
600.0,1008,202.363914
800.0,952,208.313651
600.0,921,214.484662
100.0,641,218.412125
1000.0,1037,224.810662
600.0,898,230.309211
300.0,978,236.464065
500.0,989,242.54751
1200.0,1196,249.973841
1100.0,1241,257.699897
300.0,1318,265.957898
100.0,805,270.995451
700.0,907,276.880496
900.0,889,282.344321
600.0,1010,288.552678
800.0,933,294.344117
800.0,1029,300.709773
200.0,756,305.409562
1100.0,901,311.00494
1400.0,1060,317.615906
400.0,1017,324.027929
0.0,756,328.780452
400.0,1176,336.081498
1500.0,1170,343.340887
1000.0,1037,349.774857
600.0,868,355.194978
900.0,988,361.311106
600.0,929,367.077926
900.0,1250,374.815518
500.0,878,380.263716
100.0,665,384.384916
300.0,788,389.227344
1100.0,1207,396.618832
900.0,1131,403.588891
900.0,990,409.827788
600.0,952,415.672449
2400.0,1494,424.866724
500.0,872,430.198203
1300.0,1090,436.889463
100.0,727,441.386646
1300.0,1007,447.581387
700.0,866,452.953086
500.0,664,457.061794
300.0,760,461.762959
1600.0,1130,469.032875
500.0,987,475.141718
1100.0,1029,481.485979
200.0,693,485.706423
300.0,877,491.114072
200.0,963,497.158224
1300.0,1171,504.404429
1200.0,887,509.995684
1400.0,1152,517.146232
1600.0,998,523.338294
1300.0,1396,532.497092
500.0,1143,539.531698
1000.0,962,545.505394
1800.0,1064,552.118224
1800.0,1094,558.885181
1100.0,1058,565.475101
3100.0,1686,576.027442
1000.0,762,580.723073
2600.0,1310,589.319029
700.0,1118,596.21584
1100.0,683,600.501701
500.0,812,605.536558
300.0,963,611.529347
1600.0,985,617.572977
1300.0,1032,623.916964
900.0,1126,631.086613
600.0,888,636.553148
1300.0,995,642.669024
2000.0,1108,649.652896
2100.0,1089,657.946584
900.0,903,663.664121
2600.0,1141,670.690164
1100.0,791,675.671342
1900.0,1412,684.460733
2500.0,1304,692.62009
1400.0,1257,700.398028
1200.0,865,705.713357
2400.0,1076,712.313127
1600.0,1363,721.213408
900.0,1079,727.906047
600.0,844,733.131856
900.0,976,739.210353
800.0,1060,745.781973
1500.0,990,751.876984
900.0,797,756.849267
3000.0,1472,765.944614
2500.0,1120,773.038572
4000.0,1461,782.039942
200.0,1088,788.749998
1100.0,1004,795.012902
2200.0,1065,801.580372
1500.0,1063,808.152449
1700.0,1189,815.498049
1400.0,1041,821.998744
4200.0,1453,831.11902
3400.0,1290,839.196462
1200.0,721,844.184184
500.0,1095,850.93592
100.0,700,855.298079
700.0,791,860.171908
4000.0,1494,869.420649
1500.0,1031,875.949421
2600.0,1140,883.120568
2300.0,1278,891.030575
1300.0,1176,898.350687
1500.0,929,904.217281
1200.0,722,908.740373
1200.0,985,914.830627
5600.0,1544,924.329076
3000.0,1408,933.136793
3000.0,1266,941.268335
1100.0,1077,947.935968
2600.0,1550,957.567192
900.0,906,963.190422
2400.0,1245,972.355925
1800.0,1087,979.054895
3000.0,1124,986.070379
2000.0,1127,993.030096
1300.0,1095,999.81217
2800.0,1133,1006.779974
2500.0,1307,1015.029681
1800.0,1036,1021.506987
1400.0,1069,1028.163955
2000.0,1278,1037.795771
2000.0,1106,1044.670556
2200.0,1165,1051.970603
1200.0,1106,1058.939912
2100.0,1255,1066.691576
1600.0,913,1072.46028
2400.0,1355,1080.926061
800.0,1002,1087.144536
2100.0,1007,1093.633662
2300.0,1062,1100.182912
3900.0,1180,1107.457862
2200.0,1132,1114.42494
1500.0,1241,1122.149228
2000.0,1073,1128.905544
4100.0,1456,1137.956959
1700.0,1112,1145.008549
2300.0,1048,1151.46661
4000.0,1333,1160.244661
4200.0,1315,1168.462593
4600.0,1451,1177.451483
2000.0,1093,1184.51917
2400.0,1112,1191.478121
3200.0,1152,1198.604736
2100.0,1348,1206.986381
3500.0,1313,1215.183819
3000.0,1227,1223.357839
1700.0,1149,1230.404191
1700.0,1099,1237.210189
2000.0,1153,1244.411798
3900.0,1462,1253.490709
2200.0,1240,1261.131072
3000.0,1236,1268.740474
3500.0,1270,1276.641633
900.0,1082,1284.836238
2900.0,1229,1292.512334
2500.0,1300,1300.639835
3900.0,1441,1309.58806
2000.0,1278,1317.66103
3700.0,1383,1326.185571
4200.0,1356,1334.644589
1100.0,686,1338.855115
2800.0,1300,1347.516289
4200.0,1373,1356.113544
6200.0,1514,1365.513865
2900.0,1009,1371.757822
4200.0,1683,1382.253033
2200.0,1266,1390.088936
2500.0,1281,1398.253986
600.0,760,1402.98505
4500.0,1263,1411.430329
3000.0,1335,1419.647775
4600.0,1435,1428.519448
2300.0,1180,1435.875681
1100.0,797,1440.82058
3100.0,1131,1447.845742
6100.0,1606,1457.828155
3200.0,1175,1465.147598
4100.0,1553,1475.35645
1500.0,903,1480.975522
3800.0,1141,1488.0286
6000.0,1717,1498.671079
3900.0,1443,1507.819943
3200.0,1620,1517.878219
2600.0,1298,1525.916878
2000.0,1165,1533.183189
3800.0,1263,1541.617495
3600.0,1042,1548.043576
5400.0,1436,1556.890427
5900.0,1769,1567.916801
4500.0,1425,1576.801898
5400.0,1503,1586.097229
5200.0,1550,1595.836962
4600.0,1417,1605.199418
3700.0,1343,1613.495714
5500.0,1762,1624.46291
2400.0,1125,1631.469802
3500.0,1180,1638.773506
6100.0,1718,1649.357479
6000.0,1606,1659.260956
5100.0,1437,1668.745762
5500.0,1548,1678.271402
7000.0,2077,1691.176808
6200.0,1483,1700.439761
3600.0,1084,1707.211487
7300.0,1611,1717.261565
9500.0,1690,1728.114182
1000.0,1044,1734.509865
5100.0,1198,1741.918867
9800.0,2024,1754.749183
5000.0,1244,1762.422559
8700.0,1659,1772.769065
12100.0,2041,1786.152248
6200.0,1529,1795.718552
15300.0,2360,1810.429643
6100.0,1565,1820.16749
7500.0,2015,1832.814346
8100.0,1712,1843.500293
7700.0,1613,1854.500462
7800.0,1761,1865.535084
13900.0,2102,1878.631459
11800.0,2273,1892.725448
8000.0,2063,1905.615453
9000.0,1719,1916.861972
6800.0,1683,1927.394642
5700.0,1638,1937.531901
5700.0,1575,1947.427908
10100.0,1855,1958.936303
10100.0,2129,1972.153562
9900.0,1989,1984.892513
12100.0,2378,1999.76443
24700.0,3801,2023.478687
9700.0,1856,2035.197628
14000.0,2250,2049.63665
13000.0,2382,2064.453989
8900.0,2087,2077.551788
23300.0,2834,2095.117033
14100.0,2687,2112.555825
17400.0,2903,2130.741349
5400.0,1690,2141.183617
20400.0,2948,2159.436215
6100.0,1274,2167.757835
10600.0,2045,2180.474025
7500.0,1783,2191.459367
11300.0,2458,2206.712821
7500.0,1821,2218.138235
9100.0,2104,2231.759184
6100.0,1619,2241.770166
12100.0,2118,2255.006384
14100.0,2661,2271.801521
7700.0,1875,2283.409307
7000.0,1938,2295.969461
8400.0,1947,2308.110779
6800.0,1865,2319.68819
16500.0,3407,2340.784329
8300.0,2017,2353.796918
12400.0,2390,2368.625659
8200.0,1900,2380.430583
11900.0,2493,2396.052237
13800.0,2830,2413.603738
7400.0,2060,2426.427104
13900.0,2630,2442.868529
18900.0,3650,2465.584852
14800.0,3084,2485.193617
14200.0,2792,2502.64146
15700.0,2910,2520.699817
13400.0,2724,2537.618629
18800.0,3555,2560.102658
15300.0,3095,2579.401691
15000.0,2584,2595.621609
9500.0,2362,2610.934649
14300.0,2946,2629.146023
6200.0,1872,2640.984392
14400.0,2453,2656.311324
7200.0,1788,2668.133187
10500.0,2579,2684.161376
5200.0,1415,2692.891814
19500.0,3553,2715.095775
10800.0,2514,2731.295836
10500.0,2383,2746.017717
9600.0,2262,2760.129843
6800.0,1956,2772.207267
13400.0,2537,2788.13309
16200.0,3156,2807.895374
12100.0,2472,2823.354875
12900.0,2593,2839.442166
17300.0,2775,2857.338645
13000.0,2653,2873.862545
6100.0,1685,2884.454982
16600.0,3106,2903.801868
10000.0,2079,2916.573441
10800.0,2395,2931.511567
16400.0,2808,2948.984476
18500.0,3469,2970.770283
13700.0,2720,2987.971956
8100.0,1862,2999.571201
6300.0,1695,3010.137957
9800.0,2229,3024.098531
14100.0,2711,3040.954772
15900.0,3161,3060.658633
11800.0,2567,3076.61392
7100.0,1860,3088.218648
12200.0,2514,3103.758363
9600.0,1881,3115.648895
6000.0,1696,3126.188356
6000.0,1811,3137.37063
3500.0,1284,3145.404998
5100.0,1624,3155.493699
7900.0,1992,3167.846826
9700.0,2340,3182.380519
8200.0,2307,3196.638109
8100.0,1965,3208.8666
11500.0,2550,3224.814715
12500.0,2673,3241.41935
4800.0,1466,3250.550792
13400.0,2771,3267.946509
10600.0,2524,3283.689006
11100.0,2655,3300.268049
12400.0,2250,3314.180877
8300.0,2395,3329.069854
11400.0,2458,3344.427502
6900.0,2074,3357.29652
10700.0,2152,3370.822233
15300.0,3015,3389.394106
15800.0,2947,3407.522424
8700.0,2154,3421.098418
9000.0,2298,3435.265896
8000.0,1911,3447.162696
6600.0,1804,3458.399942
8500.0,2341,3473.114133
8800.0,2019,3485.608721
8000.0,1955,3497.7127
16400.0,3288,3518.358822
8100.0,2061,3531.124387
6400.0,1868,3542.686099
3000.0,1437,3551.565575
7300.0,2139,3565.002595
11100.0,2497,3580.538063
11800.0,2612,3596.849863
5200.0,1445,3605.761557
7600.0,1912,3617.662062
9100.0,2122,3631.021735
14100.0,2587,3647.307765
14300.0,2656,3663.86196
13500.0,2595,3680.040198
13400.0,2560,3695.869639
10900.0,1897,3707.706782
11300.0,2516,3723.353934
15600.0,2183,3736.872914
16700.0,2941,3755.198735
11100.0,1880,3766.842058
8500.0,1512,3776.244699
13000.0,2290,3790.447411
19600.0,2958,3808.826734
11100.0,2391,3823.686238
12500.0,2508,3839.360077
12400.0,2829,3856.86862
17100.0,3330,3877.597653
7000.0,1789,3888.665638
5500.0,1623,3898.74617
7200.0,2068,3911.516881
12100.0,2911,3929.551623
11200.0,2470,3944.946011
14000.0,2907,3963.218745
6700.0,1912,3975.259287
16000.0,2804,3992.663832
12300.0,2950,4010.918216
14800.0,2788,4028.470339
9000.0,2389,4043.356422
14800.0,2641,4059.812213
9500.0,1872,4071.464756
9800.0,2104,4084.431097
6900.0,2094,4097.528526
14800.0,2794,4114.912415
6800.0,1899,4126.655486
9400.0,1843,4138.299586
9700.0,2029,4150.987524
7500.0,2039,4163.701046
10600.0,2075,4176.498035
19800.0,2835,4194.1032
18500.0,3390,4215.150697
10900.0,2195,4228.876486
6400.0,1876,4240.579418
7900.0,1822,4251.810136
4600.0,1368,4260.26673
5000.0,1469,4269.277597
13900.0,2783,4286.655521
15900.0,2734,4303.739784
19900.0,3499,4325.436173
23900.0,3595,4347.758219
25000.0,4309,4374.382418
18100.0,2967,4392.928548
23000.0,3880,4417.109742
18400.0,3357,4438.01395
14200.0,2492,4453.504887
16600.0,3366,4474.375663
26100.0,4297,4501.222184
15100.0,3068,4520.265937
13700.0,3158,4540.484568
13600.0,3099,4559.619891
15600.0,3151,4579.307503
10400.0,2195,4592.943874
5500.0,1565,4603.263602
6100.0,1669,4613.643854
7700.0,1913,4625.490411
6900.0,1760,4636.384251
8400.0,1859,4647.942133
