steps,% time spent exploring,episodes,mean 100 episode reward
21500,92,100,0.7
45564,84,200,1.1
70164,76,300,1.1
95171,68,400,1.5
121878,59,500,2.4
149101,50,600,2.8
177784,41,700,3.3
207680,31,800,4.5
238779,21,900,5.4
274651,9,1000,7.7
317126,1,1100,13.4
372594,1,1200,19.7
436614,1,1300,25.3
499485,1,1400,25.0
554373,1,1500,20.8
609637,1,1600,21.0
669409,1,1700,22.4
740203,1,1800,30.2
794137,1,1900,19.6
851296,1,2000,20.3
906118,1,2100,19.4
963631,1,2200,22.0
1023549,1,2300,23.4
1090416,1,2400,26.9
1152525,1,2500,24.9
1218062,1,2600,26.4
1279083,1,2700,23.9
1328861,1,2800,17.0
1387879,1,2900,23.3
1447228,1,3000,22.5
1510458,1,3100,25.0
1571290,1,3200,23.3
1626829,1,3300,20.8
1684897,1,3400,22.0
1745521,1,3500,23.2
1806964,1,3600,24.2
1868036,1,3700,23.6
1929280,1,3800,25.4
1997532,1,3900,26.8
2066304,1,4000,26.5
2137908,1,4100,30.6
2205785,1,4200,28.0
2280199,1,4300,31.3
2344843,1,4400,26.4
2408995,1,4500,26.5
2477112,1,4600,28.3
2547972,1,4700,30.2
2619726,1,4800,29.6
2685390,1,4900,26.6
2750225,1,5000,26.2
2815992,1,5100,26.6
2880686,1,5200,25.9
2952113,1,5300,31.3
