episodes,% time spent exploring,steps,mean 100 episode reward
100,92,23664,0.9
200,84,47865,1.0
300,75,73463,1.6
400,67,98823,1.8
500,58,125256,2.2
600,49,153636,3.1
700,39,183341,4.0
800,28,216215,5.9
900,17,251378,7.0
1000,4,289823,9.7
1100,1,331321,13.3
1200,1,374455,13.3
1300,1,426829,17.8
1400,1,477466,17.7
1500,1,529046,18.8
1600,1,581893,18.6
1700,1,634060,18.2
1800,1,686041,17.6
1900,1,734187,16.6
2000,1,782788,17.3
2100,1,834624,19.1
2200,1,889504,20.9
2300,1,943241,20.5
2400,1,994451,19.1
2500,1,1047358,20.8
2600,1,1094440,16.5
2700,1,1145442,19.6
2800,1,1200132,21.0
2900,1,1253219,20.0
3000,1,1305295,20.1
3100,1,1358408,19.6
3200,1,1409741,18.6
3300,1,1461355,19.1
3400,1,1515109,20.8
3500,1,1567644,20.0
3600,1,1619594,19.4
3700,1,1673827,20.8
3800,1,1727349,20.5
3900,1,1774772,17.8
4000,1,1826743,20.7
4100,1,1880192,21.3
4200,1,1937833,23.0
4300,1,1991545,21.4
4400,1,2052830,24.4
4500,1,2113470,24.1
4600,1,2179546,27.6
4700,1,2243827,26.5
4800,1,2315885,30.0
4900,1,2381197,25.1
5000,1,2454806,28.8
5100,1,2519069,26.1
5200,1,2590796,29.9
5300,1,2663154,30.4
5400,1,2732940,28.6
5500,1,2799434,27.2
5600,1,2863467,26.2
5700,1,2927413,26.2
5800,1,2995966,28.2
