#{"t_start": 1539898853.9491456, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,841,4.130103
-21.0,810,6.015696
-20.0,1052,8.473403
-21.0,910,10.674495
-21.0,894,12.77526
-21.0,787,14.623372
-20.0,1012,17.734039
-21.0,821,20.178512
-21.0,820,22.493993
-21.0,807,24.725854
-19.0,935,27.36625
-20.0,919,32.339108
-19.0,976,39.59165
-20.0,838,45.754084
-21.0,849,51.498183
-21.0,871,57.401942
-21.0,843,63.083255
-21.0,878,69.021134
-18.0,1223,77.236546
-21.0,818,82.823479
-20.0,1033,89.789729
-21.0,758,94.856437
-20.0,901,100.831403
-21.0,785,106.109369
-20.0,961,113.195165
-21.0,926,119.329605
-21.0,867,125.048669
-21.0,971,131.447873
-20.0,921,137.498066
-21.0,841,143.024205
-20.0,1086,150.13845
-20.0,940,156.293301
-20.0,871,162.076403
-21.0,928,168.215178
-21.0,837,173.727885
-19.0,1030,180.51111
-21.0,881,186.236712
-21.0,820,191.598964
-21.0,914,197.576173
-19.0,1099,204.860476
-20.0,1077,211.931788
-21.0,868,217.598494
-20.0,959,223.877914
-21.0,841,229.410045
-20.0,879,235.179511
-20.0,838,240.95922
-19.0,1100,248.57289
-20.0,1244,256.681621
-19.0,1069,263.792828
-21.0,820,269.315632
-20.0,1053,276.138556
-21.0,824,281.527208
-21.0,940,287.712123
-20.0,965,294.028584
-20.0,1029,300.721501
-21.0,841,306.172643
-20.0,916,312.144323
-21.0,848,317.734243
-21.0,962,324.13234
-21.0,897,330.088523
-21.0,894,335.955891
-18.0,1020,342.657042
-19.0,1262,350.942015
-21.0,929,357.023011
-20.0,962,363.341242
-21.0,778,368.431954
-21.0,907,374.371753
-20.0,919,380.38354
-19.0,1042,387.211808
-19.0,934,393.329094
-17.0,1381,402.373842
-21.0,912,408.28902
-20.0,1065,415.291151
-21.0,791,420.464631
-21.0,1083,427.627391
-18.0,1054,434.597134
-18.0,1250,442.853611
-21.0,866,448.593942
-20.0,855,454.223783
-20.0,888,460.112767
-18.0,1091,467.276253
-18.0,1293,475.813041
-19.0,1093,482.992357
-19.0,1172,490.711005
-19.0,1108,498.014682
-19.0,1125,505.440403
-19.0,1421,514.794144
-19.0,1082,521.879839
-20.0,1025,528.611757
-21.0,911,534.63125
