mean 100 episode reward,% time spent exploring,episodes,steps
0.0,97,100,6900
0.0,95,200,12612
0.0,93,300,18189
0.1,92,400,23447
0.0,90,500,28752
0.0,88,600,34260
0.1,86,700,40566
0.0,84,800,47000
0.1,82,900,53203
0.1,79,1000,60914
0.0,77,1100,67231
0.2,75,1200,75552
0.1,72,1300,82835
0.3,69,1400,91678
0.2,67,1500,98963
0.3,64,1600,108342
0.4,60,1700,118824
0.5,57,1800,129936
0.5,53,1900,139954
0.4,50,2000,151429
0.2,47,2100,159889
0.9,42,2200,173022
0.9,38,2300,186646
0.8,33,2400,201836
0.7,29,2500,213408
1.2,24,2600,230014
1.3,18,2700,247632
2.3,11,2800,267560
1.0,6,2900,282135
3.0,1,3000,305979
1.8,1,3100,321244
5.9,1,3200,347732
5.5,1,3300,369465
5.4,1,3400,389090
8.0,1,3500,412656
9.9,1,3600,438930
6.5,1,3700,457914
8.3,1,3800,484067
8.7,1,3900,504434
13.5,1,4000,531508
12.2,1,4100,559321
13.4,1,4200,588386
16.4,1,4300,615384
19.1,1,4400,644719
22.7,1,4500,675598
16.8,1,4600,704301
19.6,1,4700,735175
20.0,1,4800,765998
19.4,1,4900,796334
18.8,1,5000,825936
19.0,1,5100,856096
22.6,1,5200,885163
21.0,1,5300,919346
19.3,1,5400,949211
18.4,1,5500,979079
18.3,1,5600,1006164
18.5,1,5700,1034071
22.3,1,5800,1064012
17.7,1,5900,1095593
16.0,1,6000,1121225
22.7,1,6100,1151305
21.1,1,6200,1180150
19.0,1,6300,1209119
18.2,1,6400,1237921
20.8,1,6500,1267898
22.4,1,6600,1298573
21.3,1,6700,1329416
22.7,1,6800,1360057
22.3,1,6900,1392988
20.4,1,7000,1424634
21.1,1,7100,1453617
17.9,1,7200,1480971
21.6,1,7300,1512229
20.4,1,7400,1541466
19.7,1,7500,1568680
20.7,1,7600,1598928
25.9,1,7700,1626938
22.7,1,7800,1657195
22.0,1,7900,1689388
21.3,1,8000,1718764
21.4,1,8100,1748963
24.7,1,8200,1779414
22.2,1,8300,1810541
22.1,1,8400,1842038
26.3,1,8500,1872186
23.6,1,8600,1903927
23.1,1,8700,1936415
20.9,1,8800,1968941
23.1,1,8900,1998519
22.2,1,9000,2028958
21.6,1,9100,2059607
23.2,1,9200,2090452
25.7,1,9300,2119516
22.9,1,9400,2149098
24.7,1,9500,2179488
20.9,1,9600,2210004
18.8,1,9700,2240142
22.6,1,9800,2269104
25.2,1,9900,2300721
23.4,1,10000,2331219
23.3,1,10100,2362253
27.9,1,10200,2393649
25.4,1,10300,2425955
25.6,1,10400,2456401
27.5,1,10500,2487612
26.9,1,10600,2519604
27.2,1,10700,2552160
26.0,1,10800,2585538
28.5,1,10900,2616643
25.7,1,11000,2648322
28.7,1,11100,2681575
25.0,1,11200,2715066
24.4,1,11300,2747226
25.8,1,11400,2779750
23.7,1,11500,2810111
24.4,1,11600,2841087
24.6,1,11700,2870909
25.4,1,11800,2901059
26.6,1,11900,2931233
23.3,1,12000,2960950
28.1,1,12100,2992325
