#{"t_start": 1537997160.2840357, "env_id": "RoadRunnerNoFrameskip-v4"}
r,l,t
0.0,172,3.085869
0.0,80,3.362831
0.0,242,4.077564
0.0,99,4.327746
0.0,150,4.69995
0.0,247,5.319861
0.0,155,5.708085
0.0,144,6.084477
0.0,112,6.376015
0.0,174,6.832258
0.0,204,7.343699
0.0,129,7.665606
0.0,103,7.924909
0.0,94,8.156243
0.0,189,8.637075
0.0,108,8.909216
0.0,208,9.432239
0.0,244,10.045851
0.0,136,10.384085
0.0,89,10.60806
0.0,112,10.889193
0.0,170,11.314672
0.0,195,11.806353
0.0,172,12.239324
100.0,299,12.996501
0.0,109,13.268389
0.0,140,13.618139
0.0,167,14.044611
0.0,126,14.357265
0.0,374,15.293956
0.0,155,15.679667
0.0,228,16.250042
0.0,176,16.682119
0.0,78,16.876868
0.0,356,17.77196
0.0,412,18.804656
0.0,107,19.066847
0.0,152,19.448597
0.0,193,19.931147
0.0,154,20.314164
100.0,274,20.999639
0.0,131,21.3265
0.0,85,21.537299
0.0,194,22.025263
0.0,130,22.344177
0.0,106,22.603767
0.0,171,23.03155
0.0,167,23.445636
0.0,213,23.974653
0.0,81,24.178106
0.0,178,24.625022
0.0,262,25.279554
0.0,75,25.469363
0.0,197,25.954667
0.0,298,26.70201
0.0,129,27.072822
0.0,154,27.457994
100.0,335,28.287099
0.0,98,28.524376
0.0,169,28.946048
0.0,144,29.662126
0.0,169,30.679709
100.0,283,32.384146
0.0,216,33.723114
0.0,128,34.479166
0.0,196,35.649462
0.0,197,36.843642
0.0,152,37.748265
0.0,143,38.586346
100.0,274,40.263533
0.0,111,40.93503
0.0,297,42.729631
0.0,135,43.532073
0.0,193,44.69309
0.0,93,45.262208
0.0,163,46.240914
0.0,100,46.825781
0.0,138,47.641266
0.0,111,48.296939
0.0,183,49.401625
0.0,152,50.311588
0.0,112,50.973469
0.0,115,51.654197
0.0,165,52.637166
0.0,145,53.520585
0.0,176,54.579962
0.0,80,55.041377
0.0,149,55.925513
0.0,163,56.908506
0.0,74,57.343073
0.0,115,58.009727
700.0,440,60.701496
0.0,123,61.445106
0.0,113,62.109383
0.0,80,62.577385
0.0,370,64.846465
0.0,200,66.058126
0.0,267,67.682261
0.0,83,68.15063
0.0,125,68.904764
0.0,93,69.455442
0.0,109,70.095082
0.0,96,70.670987
0.0,216,71.982872
0.0,100,72.564421
0.0,78,73.022543
0.0,196,74.207551
0.0,179,75.269527
0.0,116,75.951682
0.0,158,76.904526
0.0,125,77.64317
0.0,196,78.828899
100.0,384,81.263192
0.0,134,82.094384
0.0,85,82.609503
0.0,117,83.312453
0.0,154,84.240953
0.0,282,85.942927
0.0,83,86.427966
0.0,160,87.388639
0.0,123,88.120762
0.0,222,89.453824
0.0,156,90.38701
0.0,239,91.834375
0.0,237,93.584206
0.0,134,94.393499
0.0,162,95.358383
0.0,153,96.270633
0.0,300,98.10106
0.0,170,99.138222
0.0,204,100.376878
0.0,104,100.993745
0.0,134,101.791266
0.0,148,102.686116
0.0,112,103.350561
0.0,160,104.316421
0.0,86,104.82532
0.0,218,106.1433
0.0,215,107.447991
100.0,389,109.83511
0.0,154,110.776783
0.0,89,111.294093
100.0,222,112.660885
0.0,120,113.377409
0.0,139,114.204389
0.0,78,114.664471
0.0,79,115.13044
0.0,142,115.982545
0.0,117,116.714813
0.0,219,118.0448
0.0,85,118.533452
0.0,204,119.828175
0.0,173,120.885475
0.0,89,121.401537
0.0,110,122.052094
100.0,391,124.460174
0.0,204,125.693875
0.0,325,127.677869
0.0,188,128.818403
0.0,258,130.398822
0.0,202,131.617106
0.0,128,132.388069
0.0,134,133.202704
0.0,116,133.892104
0.0,255,135.459767
0.0,76,135.897086
100.0,250,137.414559
0.0,165,138.402626
100.0,479,141.352137
0.0,265,142.96451
0.0,272,144.622391
0.0,275,146.309448
0.0,131,147.100072
0.0,90,147.616435
0.0,156,148.557424
0.0,189,149.710301
0.0,105,150.326374
0.0,244,151.817549
0.0,218,153.130815
200.0,283,154.896372
0.0,152,155.814506
0.0,177,156.896384
0.0,223,158.268157
100.0,381,160.594834
0.0,175,161.659703
0.0,298,163.489588
300.0,341,165.585968
0.0,75,166.023077
0.0,234,167.484056
0.0,172,168.523396
0.0,120,169.240827
0.0,84,169.72766
1200.0,393,172.168606
0.0,94,172.723291
0.0,172,173.761647
0.0,256,175.324997
100.0,294,177.117351
0.0,134,177.926744
0.0,296,179.803216
1100.0,312,181.718397
0.0,91,182.256097
0.0,91,182.77697
0.0,111,183.449976
0.0,99,184.069442
100.0,368,186.33636
100.0,503,189.435136
100.0,272,191.115773
100.0,440,193.825124
0.0,129,194.59389
100.0,256,196.156909
0.0,123,196.890031
0.0,200,198.099728
0.0,105,198.727471
100.0,451,201.504686
200.0,351,203.646149
0.0,129,204.424167
100.0,381,206.757887
0.0,114,207.42705
0.0,307,209.320054
0.0,213,210.609878
0.0,141,211.467046
