% time spent exploring,episodes,steps,mean 100 episode reward
98,100,5237,0.0
96,200,11045,0.0
94,300,16245,0.1
92,400,21408,0.0
91,500,26801,0.0
88,600,33969,0.2
86,700,41287,0.1
83,800,49591,0.2
81,900,56988,0.1
78,1000,65368,0.2
75,1100,73048,0.2
72,1200,82131,0.3
70,1300,90390,0.3
67,1400,99485,0.1
64,1500,106270,0.0
62,1600,114437,0.1
58,1700,124686,0.4
56,1800,133200,0.1
52,1900,144303,0.4
48,2000,156365,0.6
43,2100,171284,0.9
39,2200,184509,0.7
33,2300,200649,1.0
28,2400,216728,1.1
21,2500,237826,1.5
17,2600,251172,0.9
7,2700,280182,3.7
1,2800,312167,5.2
1,2900,342553,6.8
1,3000,377764,10.1
1,3100,414546,11.5
1,3200,443212,7.3
1,3300,474885,11.1
1,3400,508607,12.9
1,3500,543671,15.7
1,3600,578521,19.3
1,3700,611566,19.6
1,3800,646257,22.7
1,3900,681153,24.4
1,4000,714665,22.6
1,4100,751025,23.3
1,4200,785674,22.7
1,4300,819526,22.6
1,4400,855619,24.1
1,4500,889742,22.6
1,4600,928844,23.9
1,4700,967887,25.1
1,4800,1007345,24.8
1,4900,1047386,25.0
1,5000,1083479,28.1
1,5100,1121731,24.9
1,5200,1157532,27.7
1,5300,1191348,27.0
1,5400,1225875,28.9
1,5500,1264953,27.2
1,5600,1302498,27.3
1,5700,1342823,26.8
1,5800,1380212,26.0
1,5900,1413121,21.9
1,6000,1445509,26.6
1,6100,1480886,26.7
1,6200,1515701,28.1
1,6300,1550257,30.3
1,6400,1583831,29.9
1,6500,1620205,27.3
1,6600,1655843,27.4
1,6700,1692539,28.3
1,6800,1730894,30.7
1,6900,1767230,30.6
1,7000,1798951,28.2
1,7100,1830317,29.2
1,7200,1864411,31.2
1,7300,1896581,31.7
1,7400,1929031,29.9
1,7500,1961183,31.8
1,7600,1992913,30.4
1,7700,2025162,31.1
1,7800,2057222,31.4
1,7900,2089665,31.5
1,8000,2121692,28.6
1,8100,2155250,31.7
1,8200,2188600,32.5
1,8300,2221143,31.5
1,8400,2253893,32.5
1,8500,2285959,35.7
1,8600,2319087,32.4
1,8700,2351633,32.9
1,8800,2382707,33.0
1,8900,2415464,31.8
1,9000,2448438,33.2
1,9100,2481176,32.5
1,9200,2513752,35.9
1,9300,2547089,34.9
1,9400,2579858,35.8
1,9500,2613304,36.0
1,9600,2646949,34.5
1,9700,2679827,37.9
1,9800,2712810,37.2
1,9900,2746767,37.8
1,10000,2780757,32.2
1,10100,2814353,37.9
1,10200,2846877,33.6
1,10300,2879000,34.3
1,10400,2912280,37.0
1,10500,2943102,32.2
1,10600,2977972,35.4
