% time spent exploring,steps,mean 100 episode reward,episodes
98,5236,0.0,100
96,10673,0.0,200
94,16245,0.0,300
92,21404,0.0,400
91,27131,0.0,500
88,33380,0.1,600
86,40120,0.1,700
84,47249,0.1,800
81,55756,0.3,900
78,65291,0.3,1000
75,74338,0.2,1100
72,83425,0.3,1200
68,95209,0.4,1300
65,105538,0.4,1400
61,117388,0.6,1500
57,128087,0.4,1600
54,138753,0.3,1700
49,151593,0.4,1800
46,161104,0.2,1900
42,174654,0.7,2000
37,189879,0.7,2100
31,208693,1.4,2200
26,222922,0.6,2300
21,238931,0.9,2400
17,250194,0.3,2500
13,263131,0.8,2600
6,282506,1.2,2700
1,306393,1.6,2800
1,336280,3.9,2900
1,357892,2.4,3000
1,381756,2.0,3100
1,413389,4.8,3200
1,439455,4.0,3300
1,473435,10.6,3400
1,505968,11.5,3500
1,542347,16.9,3600
1,575193,19.4,3700
1,611917,25.3,3800
1,649264,25.6,3900
1,685961,26.4,4000
1,722015,31.3,4100
1,761297,29.1,4200
1,799202,28.2,4300
1,843155,32.1,4400
1,885795,33.0,4500
1,929447,33.6,4600
1,973714,34.9,4700
1,1019665,34.3,4800
1,1064039,33.2,4900
1,1108842,32.8,5000
1,1161759,36.3,5100
1,1201500,31.0,5200
1,1247421,34.9,5300
1,1288933,33.2,5400
1,1332712,34.4,5500
1,1376632,36.0,5600
1,1420916,35.0,5700
1,1462674,33.6,5800
1,1507985,34.7,5900
1,1550716,35.6,6000
1,1594710,36.0,6100
1,1635186,37.8,6200
1,1675515,36.4,6300
1,1715913,35.8,6400
1,1759845,37.6,6500
1,1804028,38.9,6600
1,1843697,34.3,6700
1,1882994,37.6,6800
1,1925908,36.6,6900
1,1968449,38.6,7000
1,2012015,39.1,7100
1,2056280,38.3,7200
1,2100353,36.7,7300
1,2142969,38.3,7400
1,2182604,35.3,7500
1,2227721,35.6,7600
1,2271424,38.7,7700
1,2312861,37.1,7800
1,2355782,37.9,7900
1,2398959,37.6,8000
1,2435171,34.0,8100
1,2475713,39.8,8200
1,2520691,41.3,8300
1,2562342,39.4,8400
1,2604363,40.3,8500
1,2644422,41.8,8600
1,2685149,39.7,8700
1,2730178,38.8,8800
1,2770875,39.4,8900
1,2809900,41.2,9000
1,2849541,40.3,9100
1,2886928,37.7,9200
1,2926437,38.6,9300
1,2963534,41.4,9400
