#{"env_id": "SpaceInvadersNoFrameskip-v4", "t_start": 1537618158.831688}
r,l,t
75.0,431,3.208006
105.0,365,4.082875
180.0,371,5.116235
105.0,511,6.529709
80.0,370,7.535851
30.0,293,8.218861
140.0,518,9.407595
30.0,305,10.117032
150.0,517,11.317352
45.0,329,12.081717
120.0,430,13.086292
180.0,491,14.21817
395.0,621,15.652097
65.0,392,16.569997
110.0,323,17.318328
155.0,538,18.569419
80.0,525,19.788042
355.0,755,21.52617
120.0,561,23.027574
75.0,284,23.829184
370.0,579,25.52191
155.0,573,27.396706
340.0,890,34.242929
80.0,339,36.33068
120.0,454,39.050055
80.0,396,41.457834
215.0,984,47.513585
195.0,627,51.425433
45.0,301,53.206979
300.0,905,58.742447
135.0,528,61.95004
55.0,374,64.170643
100.0,286,65.861469
180.0,723,70.159601
110.0,511,73.185929
115.0,481,76.108226
120.0,482,79.117142
55.0,261,80.66308
140.0,508,83.719229
440.0,690,87.836316
110.0,379,90.241271
205.0,687,94.630551
105.0,283,96.298228
225.0,676,100.486425
75.0,373,102.692523
270.0,852,107.799047
80.0,374,110.019083
210.0,614,113.766533
70.0,353,116.043719
110.0,455,118.948302
335.0,546,122.508087
75.0,302,124.255685
80.0,503,127.285717
105.0,501,130.390093
105.0,485,133.261743
100.0,424,135.737715
250.0,707,139.891197
240.0,658,144.078336
210.0,788,149.613188
375.0,856,155.332165
240.0,527,158.617388
120.0,480,161.548504
345.0,906,168.050208
75.0,302,170.472318
180.0,584,174.2024
245.0,702,178.884199
90.0,359,181.23638
255.0,797,186.23108
180.0,608,189.903323
210.0,556,193.212142
75.0,282,194.844036
50.0,294,196.568723
195.0,692,200.657596
535.0,873,205.956354
110.0,561,209.267192
45.0,304,211.171681
75.0,422,213.782901
275.0,806,219.458221
210.0,669,223.542212
165.0,682,227.921033
30.0,283,230.008951
190.0,545,233.593802
500.0,996,239.86674
60.0,270,241.470924
180.0,546,244.854452
150.0,567,249.061698
105.0,467,251.92006
215.0,600,255.670996
135.0,468,258.731515
95.0,376,261.027606
90.0,458,264.063946
425.0,720,268.813752
30.0,370,271.180342
80.0,368,273.754612
210.0,647,277.623721
235.0,671,281.722325
355.0,893,287.026385
185.0,547,290.25123
470.0,754,294.722443
80.0,492,297.611104
120.0,405,299.978139
65.0,429,302.498754
135.0,422,304.964098
355.0,591,308.444067
210.0,571,311.887554
65.0,328,314.028725
195.0,672,318.332547
140.0,495,322.189289
185.0,648,326.673353
115.0,510,329.814619
80.0,432,332.412685
125.0,527,335.570115
50.0,280,337.193616
70.0,358,339.274766
315.0,746,343.64234
330.0,822,348.521081
140.0,480,351.528664
105.0,367,353.874754
140.0,449,356.638561
45.0,375,358.958007
255.0,649,362.805994
410.0,715,367.084957
180.0,502,370.097887
145.0,483,372.974769
135.0,481,375.791028
135.0,495,378.720906
80.0,409,381.109156
50.0,381,383.713422
120.0,476,387.492759
150.0,544,390.796546
340.0,1002,396.762295
170.0,566,400.070451
110.0,453,402.845923
45.0,368,405.120823
105.0,297,406.84288
275.0,767,411.511402
150.0,563,414.83619
160.0,644,418.782273
140.0,511,421.824713
165.0,479,424.623279
115.0,498,427.59423
135.0,390,429.872869
105.0,388,432.13587
225.0,607,435.842168
20.0,462,438.546402
75.0,291,440.300282
80.0,464,443.144479
540.0,792,447.962959
75.0,277,449.562723
95.0,483,452.380284
120.0,479,455.228711
65.0,472,458.019717
65.0,476,460.887755
255.0,718,465.756235
180.0,519,468.921276
160.0,498,471.848754
105.0,411,474.268199
50.0,305,476.040154
75.0,295,477.761772
140.0,471,480.529807
225.0,637,484.256728
445.0,871,489.352522
245.0,720,493.562118
70.0,493,496.440139
75.0,503,499.378817
45.0,288,501.046844
90.0,665,504.943258
105.0,474,507.721495
155.0,583,511.100937
75.0,377,513.310072
480.0,694,517.529608
90.0,448,520.230311
80.0,374,522.468078
115.0,471,525.342284
210.0,611,529.430467
140.0,520,532.509431
140.0,423,535.0808
185.0,498,538.124836
120.0,477,540.997023
210.0,603,544.563953
200.0,849,549.938105
105.0,447,552.709116
80.0,369,555.003052
285.0,877,560.782463
120.0,597,564.852124
340.0,910,570.525899
335.0,655,574.470019
60.0,281,576.127347
140.0,486,578.963897
345.0,848,584.119353
65.0,440,586.99284
180.0,460,589.910011
265.0,511,593.101851
90.0,410,595.800361
120.0,512,598.865346
65.0,369,601.176392
85.0,423,604.037176
110.0,412,606.454558
80.0,311,608.276986
125.0,399,610.618712
300.0,715,614.819072
50.0,316,616.763388
125.0,599,620.352779
55.0,282,622.000158
110.0,319,623.867959
105.0,379,626.080895
180.0,434,628.885101
35.0,403,631.627521
80.0,291,633.368961
110.0,577,637.179262
125.0,435,640.147602
185.0,473,643.328645
230.0,750,648.187111
65.0,408,650.783722
305.0,785,655.53862
120.0,526,658.918717
10.0,250,660.600935
125.0,461,663.737592
115.0,378,666.256665
90.0,476,669.235862
60.0,335,671.283372
295.0,693,675.622216
365.0,872,680.986115
110.0,443,683.702716
35.0,389,686.239841
305.0,778,691.022132
160.0,528,694.317874
275.0,778,699.175631
75.0,261,700.714561
155.0,521,704.289279
295.0,674,708.457557
100.0,300,710.265133
110.0,562,713.687551
260.0,685,718.366579
55.0,370,720.792693
90.0,371,723.090479
265.0,625,726.801494
110.0,348,729.121585
135.0,478,732.100083
105.0,469,735.125485
385.0,640,739.311179
45.0,294,741.191837
45.0,418,743.664368
60.0,287,745.424519
80.0,480,748.904797
35.0,362,751.076721
290.0,738,755.852508
100.0,387,758.477083
105.0,452,761.204107
300.0,727,766.46619
155.0,523,769.860921
185.0,773,774.948449
590.0,1104,782.20693
225.0,684,786.726473
210.0,700,791.74633
105.0,294,793.711049
250.0,857,799.326258
150.0,480,802.42582
120.0,493,805.61315
210.0,690,810.105977
60.0,379,812.581424
800.0,1372,821.74457
410.0,710,826.429153
80.0,491,829.637021
105.0,398,832.268483
210.0,641,836.693372
265.0,795,842.103111
50.0,286,844.124193
170.0,462,847.395375
105.0,369,849.824652
185.0,516,853.201237
105.0,502,856.543796
55.0,378,859.174078
105.0,307,861.201701
155.0,602,865.403504
755.0,1183,873.255775
170.0,699,877.914116
60.0,255,879.579446
80.0,367,881.994175
75.0,439,884.952341
140.0,480,888.195427
55.0,282,890.049902
235.0,753,895.149316
45.0,377,897.61694
105.0,401,900.21219
150.0,612,904.164909
180.0,454,907.109304
90.0,277,908.925365
375.0,876,914.6277
65.0,330,916.73695
235.0,853,922.257443
105.0,419,925.016586
105.0,477,928.143164
65.0,363,930.546727
110.0,374,933.014661
75.0,372,935.427057
70.0,445,938.301358
165.0,714,943.160799
150.0,565,947.035667
20.0,414,949.923695
110.0,495,953.190973
165.0,654,957.547628
140.0,671,962.035743
75.0,287,963.934925
50.0,291,965.897847
230.0,835,971.359061
525.0,712,976.046265
140.0,620,980.109771
125.0,488,983.40199
145.0,399,986.043523
90.0,551,989.780491
350.0,592,993.675003
90.0,470,996.752527
135.0,545,1000.35235
55.0,285,1002.227884
130.0,442,1005.112542
165.0,542,1008.700539
590.0,810,1014.03264
410.0,498,1017.618579
400.0,625,1021.96411
100.0,552,1026.549997
210.0,609,1031.372698
35.0,281,1033.646864
185.0,561,1037.927078
135.0,478,1041.780997
460.0,1011,1048.852449
210.0,706,1053.786433
45.0,359,1056.210378
60.0,397,1058.904919
35.0,371,1061.492005
150.0,534,1065.257505
105.0,454,1068.290212
115.0,478,1071.556722
105.0,404,1074.284485
80.0,375,1076.8495
195.0,689,1081.781419
280.0,939,1088.48737
215.0,602,1092.481966
365.0,632,1096.764026
80.0,480,1100.082561
210.0,635,1104.336545
215.0,640,1108.791516
135.0,372,1111.210129
35.0,328,1113.302938
95.0,332,1115.578559
210.0,697,1120.545045
120.0,630,1124.711681
310.0,576,1128.614749
240.0,677,1133.090976
50.0,461,1136.066239
65.0,447,1139.043122
155.0,473,1142.411127
110.0,491,1145.684128
280.0,502,1149.324268
170.0,502,1152.591833
340.0,621,1156.601848
260.0,664,1161.040909
180.0,460,1164.010927
310.0,630,1168.209334
320.0,482,1171.434884
50.0,331,1173.59351
215.0,658,1177.90956
30.0,322,1179.979186
155.0,485,1183.395492
290.0,511,1186.713352
160.0,882,1192.591345
115.0,448,1195.628893
140.0,513,1198.9988
195.0,609,1202.940903
125.0,522,1206.434963
130.0,518,1209.874943
425.0,791,1215.156417
230.0,665,1219.511932
80.0,466,1222.618737
310.0,746,1227.652583
135.0,523,1231.154505
75.0,300,1233.1324
460.0,861,1238.974343
195.0,588,1242.852215
165.0,438,1245.773313
80.0,387,1248.426516
465.0,771,1253.56813
110.0,372,1256.007981
250.0,644,1260.350664
110.0,364,1262.733392
80.0,352,1265.028393
90.0,386,1267.886115
125.0,363,1270.348958
65.0,480,1273.504198
