episodes,steps,% time spent exploring,mean 100 episode reward
100,15901,94,2.9
200,33722,88,3.4
300,52468,82,3.8
400,69449,77,3.3
500,86070,71,3.3
600,103208,65,3.3
700,119718,60,3.5
800,138361,54,3.7
900,154573,48,3.2
1000,171992,43,3.4
1100,190386,37,3.7
1200,207019,31,3.6
1300,224944,25,4.0
1400,241371,20,3.8
1500,257931,14,3.8
1600,274614,9,3.5
1700,293596,3,4.4
1800,311646,1,3.8
1900,332675,1,5.1
2000,350275,1,3.6
2100,370232,1,4.1
2200,392091,1,4.4
2300,411659,1,4.0
2400,431964,1,3.2
2500,455397,1,4.2
2600,477077,1,3.7
2700,498686,1,4.1
2800,523695,1,4.7
2900,543600,1,3.5
3000,563777,1,3.5
3100,586650,1,4.2
3200,607638,1,3.7
3300,626811,1,4.1
3400,645392,1,4.4
3500,668123,1,3.7
3600,688314,1,4.2
3700,708197,1,3.8
3800,730442,1,4.1
3900,751402,1,4.0
4000,774611,1,4.1
4100,798949,1,4.6
4200,823017,1,4.7
4300,845268,1,4.3
4400,865080,1,3.6
4500,886316,1,4.4
4600,907424,1,4.5
4700,928750,1,4.3
4800,948203,1,4.2
4900,971883,1,4.8
5000,988588,1,4.2
5100,1006954,1,4.5
5200,1026052,1,4.5
5300,1043910,1,4.5
5400,1062148,1,4.1
5500,1083992,1,5.2
5600,1102685,1,4.5
5700,1121558,1,5.1
5800,1141802,1,5.2
5900,1161997,1,5.0
6000,1179353,1,4.0
6100,1198331,1,4.7
6200,1216205,1,4.8
6300,1236334,1,4.7
6400,1256891,1,5.3
6500,1278295,1,6.1
6600,1298513,1,5.9
6700,1319770,1,5.4
6800,1338998,1,4.7
6900,1361313,1,6.3
7000,1383715,1,6.3
7100,1402092,1,4.7
7200,1420308,1,5.0
7300,1439760,1,5.7
7400,1460894,1,5.4
7500,1479028,1,5.0
7600,1501099,1,5.6
7700,1522077,1,5.2
7800,1543998,1,6.0
7900,1566109,1,5.9
8000,1587468,1,6.5
8100,1608630,1,6.0
8200,1630072,1,5.5
8300,1652115,1,6.1
8400,1674134,1,6.4
8500,1693166,1,5.5
8600,1713304,1,6.2
8700,1732761,1,5.8
8800,1755277,1,6.7
8900,1777692,1,6.7
9000,1798034,1,5.6
9100,1820060,1,6.0
9200,1843540,1,6.1
9300,1866931,1,6.8
9400,1888417,1,6.0
9500,1909196,1,5.4
9600,1931791,1,6.6
9700,1953460,1,6.5
9800,1973765,1,6.0
9900,1995022,1,6.7
10000,2014622,1,6.0
10100,2036278,1,6.5
10200,2058718,1,6.7
10300,2080295,1,6.2
10400,2101527,1,6.2
10500,2123426,1,7.1
10600,2143264,1,5.9
10700,2165807,1,7.0
10800,2187375,1,6.4
10900,2209771,1,6.8
11000,2231351,1,6.8
11100,2253340,1,6.6
11200,2273956,1,6.6
11300,2295126,1,6.9
11400,2317438,1,7.1
11500,2340013,1,7.1
11600,2365366,1,7.9
11700,2388688,1,7.6
11800,2409695,1,6.8
11900,2434053,1,8.0
12000,2457111,1,7.9
12100,2478364,1,7.2
12200,2499396,1,6.6
12300,2523300,1,7.9
12400,2548628,1,7.7
12500,2574317,1,7.9
12600,2595488,1,7.2
12700,2615203,1,6.3
12800,2636436,1,6.8
12900,2658864,1,7.7
13000,2682531,1,8.2
13100,2703698,1,7.6
13200,2726044,1,7.6
13300,2747416,1,7.4
13400,2769598,1,7.6
13500,2792706,1,7.5
13600,2814982,1,7.2
13700,2837300,1,7.0
13800,2859298,1,7.4
13900,2880584,1,7.5
14000,2902297,1,7.4
14100,2922678,1,7.1
14200,2943617,1,7.2
14300,2964941,1,7.5
14400,2985700,1,6.5
