episodes,mean 100 episode reward,% time spent exploring,steps
100,2.8,94,17020
200,3.2,88,34397
300,3.3,83,49715
400,3.8,77,67564
500,3.8,71,85935
600,3.8,65,103518
700,3.8,60,120911
800,4.4,53,140039
900,4.4,47,159722
1000,4.3,41,178610
1100,5.2,34,199024
1200,4.9,27,219116
1300,5.9,20,240897
1400,5.5,13,262943
1500,5.4,6,284440
1600,5.4,1,306813
1700,6.0,1,329246
1800,7.0,1,352336
1900,6.5,1,373779
2000,6.7,1,396125
2100,6.4,1,417685
2200,7.0,1,440631
2300,6.8,1,463006
2400,6.6,1,485501
2500,7.0,1,508941
2600,6.6,1,531197
2700,6.5,1,552819
2800,7.6,1,577703
2900,6.8,1,601037
3000,7.1,1,624058
3100,7.4,1,647366
3200,7.3,1,670595
3300,6.5,1,693222
3400,6.7,1,716233
3500,7.4,1,741812
3600,7.4,1,765557
3700,7.3,1,788851
3800,8.3,1,814532
3900,7.8,1,838260
4000,8.2,1,865511
4100,7.8,1,889705
4200,8.8,1,915895
4300,9.2,1,942741
4400,8.1,1,966461
4500,7.8,1,991521
4600,8.6,1,1015776
4700,9.1,1,1042999
4800,8.0,1,1068098
4900,7.7,1,1091746
5000,7.9,1,1117729
5100,8.5,1,1144752
5200,9.2,1,1171569
5300,9.3,1,1199082
5400,10.0,1,1227525
5500,9.1,1,1253465
5600,10.3,1,1281950
5700,9.3,1,1308357
5800,9.4,1,1335041
5900,10.6,1,1364699
6000,9.9,1,1392755
6100,9.7,1,1421629
6200,9.4,1,1448724
6300,9.3,1,1474755
6400,9.6,1,1502033
6500,9.1,1,1527971
6600,9.6,1,1556432
6700,10.4,1,1586450
6800,10.0,1,1616043
6900,10.3,1,1646964
7000,9.2,1,1675159
7100,9.9,1,1704757
7200,10.6,1,1733164
7300,10.8,1,1763001
7400,10.0,1,1791125
7500,10.5,1,1820610
7600,9.9,1,1848178
7700,10.5,1,1877078
7800,10.0,1,1905168
7900,10.1,1,1932890
8000,11.3,1,1964202
8100,10.6,1,1995094
8200,11.6,1,2026596
8300,10.5,1,2055662
8400,10.0,1,2084009
8500,10.3,1,2113733
8600,11.5,1,2145193
8700,11.4,1,2177512
8800,10.1,1,2206212
8900,10.7,1,2236867
9000,11.1,1,2267055
9100,11.5,1,2298661
9200,10.0,1,2326304
9300,11.6,1,2357187
9400,11.2,1,2387741
9500,11.3,1,2419287
9600,13.3,1,2455821
9700,11.3,1,2485968
9800,11.0,1,2515028
9900,10.5,1,2543543
10000,11.2,1,2575192
10100,11.8,1,2607587
10200,12.4,1,2643662
10300,12.3,1,2679826
10400,11.5,1,2713282
10500,10.9,1,2744548
10600,12.1,1,2778711
10700,12.0,1,2811219
10800,11.4,1,2844016
10900,12.9,1,2879646
11000,11.3,1,2912581
11100,11.1,1,2941492
11200,12.2,1,2976090
