% time spent exploring,steps,mean 100 episode reward,episodes
94,17157,3.0,100
88,34134,3.2,200
83,49596,3.4,300
77,67464,3.7,400
71,85632,3.8,500
65,105601,4.5,600
58,124430,4.3,700
51,147557,5.0,800
43,170480,5.2,900
36,193604,4.6,1000
25,224343,6.4,1100
15,256234,7.1,1200
5,285088,7.3,1300
1,314353,7.4,1400
1,346987,8.6,1500
1,378361,8.3,1600
1,410573,9.3,1700
1,442304,9.1,1800
1,469596,8.4,1900
1,497572,8.2,2000
1,526182,9.0,2100
1,553960,8.2,2200
1,587366,10.3,2300
1,616102,8.6,2400
1,647157,10.1,2500
1,675616,9.4,2600
1,704348,8.8,2700
1,736003,10.0,2800
1,763484,8.1,2900
1,795326,10.0,3000
1,824453,9.2,3100
1,854934,9.5,3200
1,888129,10.4,3300
1,920416,9.9,3400
1,949175,9.0,3500
1,981529,10.3,3600
1,1012048,9.9,3700
1,1044140,10.2,3800
1,1076111,10.0,3900
1,1109987,10.7,4000
1,1144978,11.2,4100
1,1182221,12.2,4200
1,1218807,11.7,4300
1,1254054,11.1,4400
1,1287478,10.4,4500
1,1321280,11.0,4600
1,1356654,11.4,4700
1,1390948,11.0,4800
1,1425789,11.5,4900
1,1464858,12.4,5000
1,1500118,11.6,5100
1,1536147,12.0,5200
1,1571615,11.2,5300
1,1607962,12.0,5400
1,1644696,11.6,5500
1,1679075,11.4,5600
1,1711440,11.0,5700
1,1742871,10.5,5800
1,1779078,11.7,5900
1,1815238,11.7,6000
1,1849274,10.9,6100
1,1886200,12.1,6200
1,1921570,12.1,6300
1,1955997,11.8,6400
1,1989384,11.9,6500
1,2029515,14.2,6600
1,2069783,13.3,6700
1,2104386,11.8,6800
1,2139581,12.3,6900
1,2174317,11.3,7000
1,2211224,12.6,7100
1,2249745,12.4,7200
1,2288184,13.4,7300
1,2326138,12.8,7400
1,2362522,11.9,7500
1,2394280,11.2,7600
1,2435818,13.5,7700
1,2479805,14.2,7800
1,2515737,11.4,7900
1,2555914,12.8,8000
1,2591407,11.8,8100
1,2628119,12.0,8200
1,2663909,11.8,8300
1,2699636,11.9,8400
1,2733785,11.4,8500
1,2773519,13.4,8600
1,2811434,13.2,8700
1,2852965,14.1,8800
1,2886248,11.4,8900
1,2923341,13.4,9000
1,2965903,14.8,9100
