#{"env_id": "StarGunnerNoFrameskip-v4", "t_start": 1537566071.9029086}
r,l,t
800.0,1267,5.921158
500.0,1226,9.414736
1000.0,2568,16.074488
400.0,988,18.556134
900.0,736,20.399273
1000.0,890,22.629141
1200.0,1266,25.815414
1600.0,2379,36.779513
1100.0,1050,43.484071
700.0,1021,50.033653
1000.0,1485,59.52072
400.0,1041,66.114027
300.0,755,71.011231
1800.0,1316,79.347643
800.0,444,82.232648
200.0,2074,94.274421
300.0,830,98.992983
1200.0,2273,112.557935
1000.0,1085,118.935688
200.0,506,121.896989
1000.0,844,126.853095
700.0,760,131.171043
700.0,2060,143.270817
700.0,855,148.299
800.0,618,151.785546
700.0,1596,161.252304
400.0,1067,167.928333
600.0,827,172.76719
1000.0,1201,180.151358
200.0,618,184.488385
700.0,1027,190.552129
400.0,1082,196.867934
1100.0,1826,207.453589
1000.0,902,212.704297
1000.0,1446,221.162845
800.0,1085,227.373622
1300.0,1477,235.9512
400.0,1825,246.978395
500.0,1043,253.066848
800.0,1085,259.340506
800.0,1507,267.992756
700.0,1087,274.221067
1000.0,1457,282.556462
400.0,849,287.391851
200.0,462,290.010624
100.0,685,293.934985
700.0,720,298.360169
1100.0,1237,306.167606
800.0,1390,314.201322
700.0,1411,322.355548
1000.0,1171,329.118
500.0,1040,335.151077
600.0,1455,343.501151
1100.0,1533,352.424037
1000.0,1674,362.216606
600.0,1349,369.975147
800.0,911,375.226703
1200.0,1684,384.944961
2000.0,2911,401.993762
100.0,923,407.322112
500.0,950,412.731115
600.0,901,417.863183
600.0,813,422.733685
700.0,941,428.120256
900.0,1529,436.946483
500.0,1187,443.77152
600.0,829,448.536004
1000.0,1281,455.971131
600.0,875,461.049526
900.0,1250,468.790534
400.0,659,472.539562
600.0,908,478.369651
900.0,1060,484.744727
700.0,1098,491.039542
400.0,1121,497.493541
500.0,817,502.168639
700.0,619,505.954618
600.0,1371,515.506649
1000.0,1523,526.743299
1200.0,953,533.281096
300.0,850,538.776505
700.0,960,545.581294
600.0,490,548.901541
300.0,1303,557.577914
900.0,629,561.59197
1100.0,1945,574.350938
800.0,1205,582.09002
500.0,1151,589.435373
700.0,1090,596.364174
1200.0,831,601.874746
300.0,811,607.42672
900.0,777,612.525796
900.0,1451,622.134431
600.0,1598,632.372947
1000.0,2153,645.058802
600.0,1016,651.378065
400.0,1232,658.650466
600.0,1668,668.274261
1100.0,2327,681.742102
500.0,1029,687.637528
900.0,887,692.900773
700.0,734,697.373567
400.0,524,700.44946
600.0,1322,708.311426
1500.0,1320,716.074446
1200.0,1143,724.435521
500.0,1820,736.267246
300.0,1037,743.2244
200.0,539,746.722001
200.0,544,750.16503
600.0,514,753.432198
800.0,1231,761.807601
1000.0,1048,768.438196
1000.0,1248,775.708369
1600.0,1034,781.820944
800.0,728,786.010856
600.0,1372,794.020705
700.0,828,798.786592
500.0,715,802.941197
700.0,815,807.640393
500.0,792,812.204465
600.0,526,815.200697
200.0,582,818.516613
800.0,1530,827.398107
300.0,1093,833.739701
500.0,1054,839.865874
400.0,712,844.001555
700.0,1325,851.674941
900.0,1382,859.789879
1100.0,1367,868.862406
1600.0,961,874.986971
800.0,1522,883.843396
1200.0,1194,890.775699
500.0,707,894.816386
700.0,973,900.440875
1400.0,1468,908.971194
800.0,1294,916.459088
600.0,1080,922.717693
900.0,733,926.933219
400.0,647,930.658108
800.0,1100,937.018953
900.0,714,941.129268
700.0,977,946.798723
600.0,955,952.30508
500.0,961,957.849623
1000.0,794,962.444344
500.0,1163,969.202343
300.0,1088,975.499725
1100.0,1331,983.276505
500.0,951,988.776616
100.0,533,991.814823
200.0,765,996.198459
1000.0,1778,1006.610144
200.0,672,1010.500429
1300.0,1209,1017.515316
600.0,1082,1025.050535
700.0,749,1029.833801
1200.0,1551,1039.813102
1100.0,1332,1048.428388
600.0,994,1054.983428
700.0,1362,1062.967177
600.0,1047,1069.035287
700.0,894,1074.203887
400.0,1716,1084.216573
1200.0,1318,1091.842018
700.0,1055,1097.945522
400.0,445,1100.795128
400.0,1196,1108.631584
200.0,1188,1116.297014
1200.0,2113,1129.971459
700.0,1140,1137.263829
900.0,1497,1146.973217
100.0,1554,1157.079371
200.0,473,1160.047188
1000.0,1120,1167.211712
700.0,1179,1174.9509
800.0,1028,1181.56448
1100.0,782,1186.594935
1000.0,469,1189.570366
500.0,725,1194.198422
400.0,1319,1202.814024
1100.0,1672,1213.694104
700.0,856,1219.198413
600.0,649,1223.366812
1200.0,1489,1232.968818
500.0,1451,1242.249705
700.0,1099,1249.254395
0.0,512,1252.465245
800.0,1579,1262.762387
1200.0,1198,1270.466809
600.0,989,1276.835918
600.0,590,1280.610382
1300.0,1074,1288.136034
300.0,853,1293.713524
700.0,1005,1300.207849
900.0,1539,1310.214704
800.0,1085,1317.210555
500.0,1107,1324.444851
300.0,940,1330.566458
600.0,505,1333.780782
1300.0,1724,1345.087437
600.0,413,1347.729695
400.0,1345,1356.362237
600.0,648,1360.483949
700.0,1063,1367.312855
700.0,1726,1378.583732
800.0,1485,1388.253367
200.0,409,1390.834411
1200.0,1108,1398.763035
700.0,1495,1409.474204
1400.0,790,1414.54904
700.0,786,1419.619661
700.0,1719,1430.814669
300.0,557,1434.289524
400.0,1309,1442.843439
900.0,1128,1450.235032
900.0,1533,1460.209558
900.0,742,1464.965546
600.0,922,1470.920852
900.0,565,1474.563607
400.0,974,1480.836106
1100.0,2053,1494.019305
500.0,982,1500.234862
1300.0,1749,1511.586508
300.0,525,1514.925973
1300.0,1869,1526.929663
700.0,1103,1534.050051
700.0,645,1538.197058
900.0,951,1544.298519
200.0,1004,1550.805223
600.0,1527,1560.80802
400.0,924,1566.789262
200.0,815,1572.026848
400.0,787,1577.019785
1300.0,1435,1586.290352
500.0,791,1591.343602
500.0,1203,1599.013785
600.0,562,1602.801057
1000.0,3498,1626.068119
800.0,921,1631.987167
200.0,742,1636.716825
300.0,1406,1645.744031
600.0,720,1650.283838
200.0,1355,1659.052855
400.0,1605,1670.203683
1300.0,1498,1680.283687
800.0,1221,1688.21867
600.0,470,1691.186938
600.0,953,1697.377024
900.0,1379,1705.397224
700.0,1486,1714.128171
200.0,1083,1720.364285
900.0,744,1724.833639
600.0,688,1728.792596
200.0,546,1731.876835
500.0,892,1736.971534
400.0,574,1740.302362
200.0,555,1743.445725
600.0,1290,1750.860844
600.0,753,1755.157833
700.0,1197,1762.006077
700.0,1594,1771.212329
400.0,597,1774.603048
400.0,802,1779.188693
1500.0,1926,1790.339947
500.0,1026,1796.206405
600.0,633,1799.84464
1000.0,982,1805.526309
200.0,550,1808.646798
200.0,715,1812.722306
900.0,823,1817.425745
800.0,845,1822.246021
400.0,1005,1828.005516
800.0,307,1829.695345
500.0,633,1833.294817
700.0,2103,1845.436863
300.0,813,1850.074462
800.0,1007,1855.832807
1200.0,1409,1864.015943
600.0,1052,1870.041084
600.0,1052,1876.0786
200.0,947,1881.487669
400.0,612,1884.976479
200.0,843,1889.982857
100.0,702,1894.250015
400.0,981,1900.171212
1000.0,1735,1910.734721
300.0,752,1915.091499
700.0,1149,1921.861305
800.0,865,1926.922143
800.0,922,1932.276198
1100.0,1218,1939.410185
400.0,758,1943.82074
800.0,2441,1958.202088
100.0,704,1962.25567
700.0,864,1967.304068
700.0,1040,1973.356396
500.0,1043,1979.544305
500.0,1199,1986.574731
1000.0,943,1992.075122
800.0,780,1996.642213
900.0,925,2001.943751
1000.0,621,2005.461204
900.0,516,2008.375584
1100.0,1310,2015.902186
800.0,1252,2023.122131
800.0,736,2027.307119
800.0,1030,2033.215456
700.0,1013,2039.060008
600.0,1056,2045.146845
600.0,857,2050.025374
800.0,1002,2055.771688
600.0,571,2059.012033
700.0,749,2063.278199
400.0,892,2068.385144
500.0,771,2072.778795
600.0,807,2077.40861
900.0,987,2083.066272
700.0,920,2088.328215
800.0,1287,2095.734525
0.0,1112,2102.186715
400.0,862,2107.121113
700.0,1559,2116.118504
800.0,1535,2124.993802
800.0,1015,2130.820925
600.0,1063,2136.916926
1300.0,1482,2145.448835
900.0,1247,2152.622633
400.0,621,2156.147737
700.0,886,2161.257903
600.0,886,2166.354974
600.0,693,2170.299801
700.0,1116,2176.712402
900.0,1158,2183.35482
500.0,957,2188.819196
900.0,623,2192.349693
600.0,1105,2198.729485
500.0,1025,2204.632582
800.0,971,2210.294049
400.0,870,2215.289377
700.0,1057,2221.4441
900.0,1154,2228.081512
1100.0,1197,2234.951998
100.0,924,2240.252537
800.0,775,2244.686184
900.0,948,2250.115282
700.0,764,2254.479138
400.0,916,2259.743302
1100.0,1153,2266.336598
600.0,534,2269.352405
200.0,383,2271.502753
1000.0,799,2276.067937
500.0,987,2281.760967
700.0,1102,2288.094865
1000.0,1282,2295.468697
300.0,959,2300.937859
500.0,1153,2307.565207
800.0,1452,2315.950245
500.0,1533,2324.786038
700.0,1490,2333.371198
300.0,1221,2340.452717
1000.0,1047,2346.448042
600.0,869,2351.422067
1000.0,1118,2357.837979
100.0,614,2361.31232
600.0,921,2366.589392
600.0,845,2371.42095
500.0,1031,2377.33566
1000.0,1074,2383.489285
600.0,1104,2389.818066
400.0,842,2394.609454
300.0,837,2399.408593
600.0,1168,2406.161488
900.0,1140,2412.691724
600.0,1037,2418.617153
800.0,878,2423.61796
1000.0,1104,2429.943853
400.0,821,2434.629727
900.0,1318,2442.219088
1000.0,657,2445.961315
700.0,891,2451.042051
900.0,1169,2457.749406
600.0,953,2463.25701
900.0,1141,2469.789891
600.0,1660,2479.353264
300.0,490,2482.117288
900.0,951,2487.564909
700.0,858,2492.465253
1000.0,1309,2499.967132
600.0,554,2503.095339
1000.0,773,2507.539355
1000.0,700,2511.503331
800.0,387,2513.65764
500.0,713,2517.722315
1000.0,842,2522.570694
500.0,918,2527.850049
600.0,382,2529.976189
900.0,1330,2537.635936
800.0,1069,2543.776212
800.0,1087,2550.00408
900.0,1144,2556.570761
600.0,1029,2562.542694
400.0,726,2566.671549
300.0,855,2571.578738
500.0,889,2576.65226
1000.0,1170,2583.449028
500.0,1022,2589.2927
600.0,1459,2597.718548
300.0,834,2602.474828
500.0,822,2607.170406
500.0,1080,2613.348945
600.0,1170,2620.069327
600.0,1201,2626.967828
800.0,1666,2636.581495
500.0,1559,2645.629021
200.0,771,2650.020998
800.0,843,2654.860487
1000.0,2023,2666.563376
1000.0,1719,2676.489967
1100.0,1315,2684.051506
700.0,1012,2689.842933
400.0,645,2693.51693
900.0,1569,2702.615049
1100.0,1204,2709.538033
700.0,1004,2715.279069
500.0,1051,2721.304021
700.0,736,2725.477423
1100.0,953,2730.944292
400.0,738,2735.137136
900.0,870,2740.117371
400.0,1068,2746.231403
1200.0,1113,2752.61146
1100.0,982,2758.224746
700.0,1110,2764.641254
200.0,543,2767.710462
500.0,753,2771.997511
400.0,1202,2778.907676
900.0,1267,2786.191075
1000.0,932,2791.52066
700.0,896,2796.645417
600.0,362,2798.656795
700.0,1203,2805.639965
1200.0,1255,2812.828079
300.0,936,2818.164519
900.0,905,2823.421215
800.0,824,2828.119128
600.0,836,2832.883748
1000.0,1128,2839.366881
1100.0,1110,2845.735154
700.0,924,2851.001057
0.0,668,2854.809913
700.0,1237,2861.920823
1000.0,632,2865.516339
500.0,967,2871.042915
400.0,725,2875.172186
300.0,821,2879.903044
400.0,862,2884.836771
1000.0,839,2889.646577
1100.0,1248,2896.806479
500.0,839,2901.604326
1000.0,924,2906.8822
500.0,714,2910.951928
100.0,786,2915.425622
1000.0,915,2920.659343
600.0,880,2925.720276
400.0,568,2928.926192
600.0,1571,2938.048111
700.0,1061,2944.301278
500.0,1019,2950.154545
1200.0,1165,2956.832144
300.0,846,2961.658074
700.0,891,2966.763389
800.0,1175,2973.508215
700.0,1339,2981.211733
400.0,652,2984.91896
200.0,739,2989.136243
800.0,860,2994.056706
700.0,1052,3000.120911
1300.0,1580,3009.231296
1300.0,1218,3016.259801
300.0,819,3020.93269
700.0,654,3024.654715
500.0,867,3029.600059
200.0,608,3033.022728
1200.0,1374,3040.904026
400.0,594,3044.249473
900.0,1033,3050.151518
900.0,799,3054.704949
900.0,1450,3063.103154
400.0,632,3066.696666
500.0,660,3070.433914
700.0,823,3075.140281
900.0,1004,3080.873529
200.0,904,3086.051126
600.0,815,3090.697592
800.0,1010,3096.474276
600.0,883,3101.517466
0.0,915,3106.822503
300.0,936,3112.172724
600.0,798,3116.721046
600.0,833,3121.494592
900.0,962,3127.08134
900.0,964,3132.910803
500.0,974,3138.571474
800.0,1033,3144.618775
1000.0,1290,3152.039575
800.0,649,3155.717976
1000.0,856,3160.607915
900.0,920,3165.879794
700.0,673,3169.692464
1000.0,889,3174.776035
400.0,488,3177.535073
800.0,574,3180.878662
1200.0,775,3185.294538
700.0,1224,3192.330365
500.0,1200,3199.226143
800.0,701,3203.215175
600.0,910,3208.414429
700.0,968,3213.951639
800.0,943,3219.350292
200.0,610,3222.804643
1000.0,981,3228.443953
600.0,788,3232.929203
800.0,768,3237.314794
400.0,807,3241.958904
400.0,908,3247.183822
600.0,703,3251.182362
1100.0,1306,3258.703497
