% time spent exploring,episodes,steps,mean 100 episode reward
91,100,24844,1.3
84,200,47732,1.1
75,300,72802,1.2
69,400,92884,1.0
61,500,117608,1.1
54,600,136746,1.0
48,700,157198,1.0
41,800,177856,1.1
34,900,199888,0.9
27,1000,220999,1.0
20,1100,242283,1.0
12,1200,266266,0.9
5,1300,285919,0.7
1,1400,305470,0.9
1,1500,326153,0.7
1,1600,343881,0.9
1,1700,364454,0.8
1,1800,384583,0.9
1,1900,404189,0.8
1,2000,421857,1.0
1,2100,444879,0.8
1,2200,464377,0.9
1,2300,482423,0.9
1,2400,502084,0.8
1,2500,519281,0.7
1,2600,536742,0.9
1,2700,554156,0.6
1,2800,572605,0.9
1,2900,591761,0.8
1,3000,608578,1.2
1,3100,626194,0.9
1,3200,644292,1.0
1,3300,662216,1.1
1,3400,679364,1.1
1,3500,698141,1.2
1,3600,715905,0.8
1,3700,733023,0.8
1,3800,749142,1.1
1,3900,764254,1.5
1,4000,779186,1.8
1,4100,795766,1.9
1,4200,811694,2.0
1,4300,826523,2.1
1,4400,842618,2.2
1,4500,859416,2.1
1,4600,875276,2.4
1,4700,891897,2.2
1,4800,910411,2.5
1,4900,926439,2.2
1,5000,941144,2.0
1,5100,958017,2.6
1,5200,975114,2.6
1,5300,992050,2.5
1,5400,1006491,2.0
1,5500,1022550,2.4
1,5600,1037726,2.1
1,5700,1052713,2.2
1,5800,1068720,2.2
1,5900,1083393,2.1
1,6000,1098979,2.3
1,6100,1114426,2.3
1,6200,1132153,2.4
1,6300,1148242,2.4
1,6400,1164764,2.4
1,6500,1181308,2.6
1,6600,1199493,2.4
1,6700,1216836,2.3
1,6800,1234454,2.6
1,6900,1251064,2.6
1,7000,1266806,2.5
1,7100,1284390,2.8
1,7200,1300957,2.4
1,7300,1318150,2.4
1,7400,1335259,2.4
1,7500,1349069,2.1
1,7600,1363826,2.2
1,7700,1381521,2.4
1,7800,1398401,2.4
1,7900,1413044,2.3
1,8000,1430179,2.6
1,8100,1445377,2.6
1,8200,1462070,2.6
1,8300,1476322,2.3
1,8400,1492176,2.6
1,8500,1506744,2.2
1,8600,1521948,2.3
1,8700,1536949,2.3
1,8800,1553145,2.7
1,8900,1568589,2.6
1,9000,1584309,2.4
1,9100,1600946,2.7
1,9200,1618062,2.6
1,9300,1634203,2.6
1,9400,1649784,2.7
1,9500,1664673,2.5
1,9600,1680278,2.6
1,9700,1696212,2.6
1,9800,1711499,2.6
1,9900,1727621,2.8
1,10000,1744484,2.6
1,10100,1760557,2.4
1,10200,1776742,2.4
1,10300,1793194,2.6
1,10400,1809596,2.6
1,10500,1826131,2.7
1,10600,1843465,2.8
1,10700,1858908,2.4
1,10800,1876066,2.9
1,10900,1891561,2.8
1,11000,1909764,2.9
1,11100,1924926,2.4
1,11200,1940365,2.5
1,11300,1956126,2.8
1,11400,1970466,2.4
1,11500,1986999,3.1
1,11600,2002224,2.8
1,11700,2019975,2.7
1,11800,2036569,2.8
1,11900,2052821,2.9
1,12000,2068530,2.8
1,12100,2084659,3.1
1,12200,2101628,3.5
1,12300,2117291,2.7
1,12400,2133972,2.8
1,12500,2150442,2.7
1,12600,2166746,2.9
1,12700,2182773,2.8
1,12800,2197446,3.0
1,12900,2214178,2.7
1,13000,2230839,2.9
1,13100,2248507,2.9
1,13200,2265741,2.8
1,13300,2284081,3.0
1,13400,2297986,2.6
1,13500,2313603,2.9
1,13600,2329263,2.9
1,13700,2344946,2.8
1,13800,2360708,3.0
1,13900,2376641,2.8
1,14000,2390457,2.6
1,14100,2405944,3.0
1,14200,2420531,2.8
1,14300,2436834,3.0
1,14400,2451478,3.0
1,14500,2466301,2.9
1,14600,2482227,3.1
1,14700,2497437,2.8
1,14800,2513459,2.7
1,14900,2529376,2.9
1,15000,2545458,3.0
1,15100,2562856,3.1
1,15200,2580026,2.7
1,15300,2595484,2.8
1,15400,2612055,2.8
1,15500,2629391,3.2
1,15600,2645522,2.9
1,15700,2660458,2.9
1,15800,2676781,3.0
1,15900,2692225,3.2
1,16000,2705844,2.8
1,16100,2722060,3.1
1,16200,2739012,3.5
1,16300,2755088,2.9
1,16400,2771134,2.8
1,16500,2786853,2.6
1,16600,2802165,2.8
1,16700,2815553,2.6
1,16800,2830282,2.9
1,16900,2844819,2.8
1,17000,2860016,2.9
1,17100,2876628,3.2
1,17200,2890397,2.6
1,17300,2905174,2.8
1,17400,2920815,2.7
1,17500,2935551,2.5
1,17600,2949955,2.4
1,17700,2964756,2.8
1,17800,2980456,2.7
1,17900,2996246,2.4
