#{"t_start": 1537541946.1151726, "env_id": "StarGunnerNoFrameskip-v4"}
r,l,t
1200.0,856,6.775211
300.0,1198,9.499561
800.0,739,11.118903
600.0,664,12.575307
600.0,599,13.954517
1000.0,1703,17.646666
600.0,954,20.051445
600.0,855,22.298201
1000.0,1539,26.343247
700.0,663,28.055503
1000.0,1763,38.549181
300.0,865,44.281506
300.0,340,46.448188
600.0,925,52.578779
800.0,968,58.992354
800.0,831,64.503244
600.0,1158,72.245517
700.0,1187,80.454103
800.0,1328,89.490794
500.0,1247,97.749851
400.0,881,103.500165
400.0,1611,114.219636
400.0,1279,122.638219
300.0,900,128.57506
1400.0,1433,138.126336
500.0,748,143.06649
600.0,1072,150.065937
800.0,2254,165.426365
800.0,1151,172.981432
700.0,637,177.220933
900.0,1259,185.521587
300.0,1169,193.189719
800.0,1802,205.33568
400.0,965,211.682411
700.0,1661,224.755544
500.0,816,229.927083
800.0,774,235.370899
900.0,1250,243.962759
200.0,1197,252.051993
100.0,1135,259.72963
700.0,764,264.872325
700.0,1477,274.889838
900.0,905,281.134426
1500.0,2061,294.443364
1000.0,1863,306.531536
500.0,735,311.430064
900.0,812,316.669291
1100.0,1152,324.134869
200.0,775,329.308285
700.0,1337,337.862159
400.0,778,342.964713
900.0,1316,352.547501
300.0,1074,360.054939
1200.0,1019,366.980185
600.0,1042,374.302015
800.0,1066,380.918944
500.0,520,384.197382
200.0,934,390.060513
0.0,823,395.291365
700.0,869,400.916394
700.0,1048,406.990403
300.0,831,412.20746
600.0,827,417.365393
900.0,1199,424.481472
1200.0,1409,432.986733
800.0,1146,439.904604
1100.0,1461,448.238553
900.0,1305,456.083343
300.0,674,460.341518
700.0,796,465.768417
500.0,842,471.128695
100.0,1773,482.665402
800.0,1161,490.166493
1100.0,1309,498.63662
700.0,1448,507.991889
600.0,603,511.881401
1200.0,1318,520.55098
400.0,648,524.735003
600.0,918,530.706775
700.0,1313,539.28359
700.0,670,543.587343
600.0,1279,551.857288
300.0,856,557.430598
900.0,681,561.732083
300.0,647,565.950277
400.0,1052,572.657295
1200.0,1007,579.068243
500.0,986,585.332956
100.0,666,589.557512
800.0,1420,598.750131
700.0,1039,605.491443
300.0,994,611.865267
700.0,1561,621.887782
500.0,1296,630.249777
500.0,654,634.48099
200.0,1088,641.504024
1400.0,1028,648.095744
800.0,1253,656.196653
200.0,546,659.657894
900.0,916,665.561779
200.0,1289,673.8441
300.0,877,679.418492
900.0,1414,688.495551
1100.0,1110,695.634778
200.0,1040,702.312912
1200.0,888,707.809887
100.0,1093,714.10902
500.0,857,719.009557
1100.0,1693,728.793856
800.0,2013,740.442605
500.0,1004,746.193974
900.0,1158,752.820579
700.0,1305,760.293465
1100.0,1853,770.928012
600.0,812,775.5506
1100.0,1143,782.075463
1000.0,1049,788.076958
600.0,853,792.919385
900.0,1119,799.333213
600.0,583,802.62544
800.0,1370,810.479226
1100.0,1103,816.788357
500.0,945,822.194221
1000.0,665,825.968212
300.0,806,830.600337
400.0,2245,845.747589
1000.0,415,848.51183
400.0,691,853.130548
1400.0,1431,862.645019
900.0,1518,872.784909
1400.0,1641,883.733634
400.0,1091,890.920478
600.0,974,897.331515
800.0,1074,904.437706
600.0,1283,912.869299
1000.0,1124,920.233108
800.0,665,924.578617
500.0,1044,931.325648
500.0,1341,940.601127
1100.0,1217,948.675909
1200.0,1474,957.991997
700.0,929,964.231875
700.0,1284,972.711578
800.0,959,978.736866
600.0,662,982.858528
400.0,903,988.708937
1000.0,1471,998.562896
600.0,1104,1005.97184
300.0,1153,1013.328863
900.0,1480,1023.043351
700.0,1906,1035.688403
400.0,1317,1044.680135
500.0,791,1049.526063
200.0,1055,1056.10282
1300.0,1459,1065.733941
0.0,585,1069.441772
600.0,567,1073.103595
800.0,858,1078.641569
1100.0,1391,1087.711787
300.0,895,1093.459867
600.0,526,1096.805175
1000.0,1853,1108.744409
200.0,794,1113.787892
600.0,609,1117.685204
600.0,973,1123.897406
1100.0,1616,1134.395902
600.0,1173,1141.989735
1400.0,2613,1158.83058
800.0,1255,1166.336723
600.0,694,1170.30336
1000.0,772,1174.709636
600.0,629,1178.287591
500.0,363,1180.305866
800.0,1167,1187.013296
600.0,616,1190.49134
700.0,977,1196.089056
400.0,503,1198.909379
800.0,1138,1205.526257
200.0,678,1209.385906
600.0,1360,1217.311321
500.0,1293,1224.742653
600.0,532,1227.745179
1000.0,1124,1234.189135
1100.0,1174,1240.939544
800.0,1257,1248.154528
100.0,893,1253.272997
500.0,1070,1259.40304
800.0,1066,1265.512708
200.0,989,1271.178735
0.0,806,1275.771785
1000.0,1309,1283.276897
100.0,953,1288.723416
600.0,778,1293.156397
1000.0,1426,1301.364583
300.0,803,1305.92378
500.0,852,1310.802521
400.0,994,1316.488735
300.0,926,1321.771066
100.0,929,1327.095058
900.0,1310,1334.654121
600.0,1372,1342.52519
500.0,2147,1354.914211
1000.0,1486,1363.490737
500.0,1096,1369.784465
300.0,924,1375.060911
400.0,673,1378.890977
500.0,1017,1384.706109
700.0,587,1388.016001
600.0,1236,1395.100718
600.0,809,1399.706042
1100.0,1443,1408.003765
400.0,1347,1415.714688
500.0,1212,1422.659895
600.0,1401,1430.755201
700.0,2052,1442.604471
400.0,1387,1450.599042
700.0,1152,1457.191188
800.0,1899,1468.138433
300.0,887,1473.212081
800.0,987,1478.85853
500.0,985,1484.503967
200.0,823,1489.184857
600.0,717,1493.258368
700.0,1432,1501.506701
600.0,1375,1509.418507
1200.0,1467,1518.204988
600.0,1871,1530.290775
600.0,1838,1542.097058
400.0,1195,1549.76733
700.0,698,1554.191185
0.0,723,1558.747264
500.0,737,1563.457778
400.0,1014,1570.001436
600.0,1180,1577.577535
800.0,805,1582.68392
400.0,774,1587.580637
400.0,503,1590.743072
700.0,1424,1600.956336
200.0,682,1605.934192
600.0,1406,1615.757138
800.0,1433,1625.561698
700.0,1142,1633.196918
1100.0,1172,1640.543074
800.0,1174,1647.954669
700.0,1237,1656.21611
700.0,1949,1669.285369
600.0,1650,1680.536187
1200.0,2098,1694.233076
600.0,1581,1704.557862
1300.0,1997,1717.598031
500.0,794,1722.792591
700.0,1013,1729.351044
500.0,812,1734.605028
700.0,1360,1743.321509
100.0,925,1749.301701
1300.0,1203,1757.028353
900.0,1457,1766.427305
600.0,900,1772.306377
700.0,1156,1779.743097
900.0,1182,1787.376138
800.0,796,1792.476382
1000.0,1143,1799.850242
400.0,954,1806.050966
600.0,614,1809.978793
1200.0,1630,1820.601228
700.0,1255,1828.760433
700.0,1213,1836.617887
600.0,842,1841.990242
500.0,621,1845.917576
700.0,1566,1855.993173
500.0,1079,1863.692782
600.0,1199,1872.028051
500.0,813,1878.38601
500.0,1029,1885.748213
600.0,1627,1896.509596
1000.0,1344,1905.434024
100.0,1049,1912.35236
800.0,1096,1919.632886
200.0,759,1924.705415
600.0,922,1931.271902
500.0,755,1936.592032
1000.0,1454,1947.50596
300.0,1176,1956.430866
200.0,1121,1963.953578
500.0,1067,1971.130967
700.0,899,1977.301883
400.0,1054,1984.247694
700.0,1164,1991.903605
800.0,1947,2004.868376
700.0,1395,2014.090648
400.0,728,2018.94893
500.0,1216,2027.317617
400.0,929,2033.868454
1100.0,1676,2046.481334
1000.0,1215,2055.917343
400.0,1876,2072.10806
200.0,857,2078.190148
1000.0,2553,2095.573493
400.0,1782,2108.32003
500.0,1436,2120.499913
300.0,983,2127.880014
200.0,1133,2136.076234
600.0,1536,2147.278398
500.0,1393,2157.349023
300.0,1043,2164.858134
1200.0,2019,2179.554214
800.0,1218,2188.365299
700.0,694,2193.320259
500.0,1248,2202.376261
1600.0,1580,2213.757879
1100.0,1187,2222.316318
300.0,756,2227.723333
800.0,1255,2236.811108
400.0,929,2243.509388
800.0,1079,2251.232894
800.0,1290,2260.536077
600.0,1096,2268.400048
2000.0,2013,2283.030352
500.0,1111,2291.091792
700.0,1300,2300.561366
700.0,1121,2308.582876
1200.0,1865,2322.093801
100.0,1051,2329.611001
300.0,480,2332.996057
400.0,762,2338.39477
400.0,1184,2346.872592
200.0,885,2353.194372
400.0,545,2357.084206
900.0,1021,2364.479267
1200.0,1502,2375.446055
900.0,1145,2383.682946
800.0,1205,2392.333015
700.0,986,2399.409806
1000.0,1407,2409.616906
900.0,1360,2419.523379
900.0,1152,2427.828294
600.0,1067,2435.519133
500.0,1343,2445.064579
900.0,1058,2452.692993
400.0,727,2457.861765
1100.0,785,2463.481515
700.0,777,2469.019186
900.0,1358,2478.920839
900.0,1117,2486.862195
800.0,857,2492.9694
400.0,1152,2501.184116
600.0,987,2508.233848
600.0,742,2513.516205
300.0,1008,2520.766343
600.0,871,2526.677409
1400.0,1945,2537.988718
500.0,744,2542.24471
800.0,837,2547.041136
300.0,846,2551.87795
800.0,1110,2558.265245
500.0,1060,2564.356081
600.0,900,2569.507615
300.0,792,2574.030271
1000.0,1073,2580.488801
500.0,1360,2589.148259
500.0,952,2595.274406
400.0,666,2599.651507
800.0,1613,2612.110276
700.0,888,2617.912455
1500.0,1638,2628.054063
800.0,1371,2636.581579
700.0,957,2642.393438
800.0,646,2646.343654
400.0,1272,2654.174077
600.0,1181,2661.399416
800.0,1085,2668.082354
300.0,1272,2675.878632
600.0,1892,2687.533927
800.0,1095,2694.184686
700.0,1228,2702.443221
1700.0,1920,2715.68127
900.0,1340,2724.446746
1100.0,786,2729.72737
900.0,1008,2736.242536
900.0,1055,2743.304381
600.0,1308,2751.412788
900.0,1487,2760.614046
100.0,1061,2767.172
900.0,1103,2773.983162
800.0,1336,2782.283034
300.0,1295,2790.272122
800.0,1742,2801.068385
1400.0,1630,2811.168298
800.0,929,2816.910897
1200.0,1190,2824.281045
1200.0,1067,2830.88835
1200.0,1120,2837.810443
600.0,1170,2845.050079
1100.0,1747,2856.093459
900.0,1361,2864.475335
700.0,1094,2871.222282
400.0,816,2876.223229
1300.0,1842,2887.711001
700.0,1007,2893.957469
200.0,1135,2900.978387
600.0,1704,2911.531768
100.0,657,2915.540543
1100.0,1233,2923.12129
700.0,790,2927.962223
1300.0,1469,2937.139023
200.0,945,2942.957369
1000.0,1376,2951.475663
200.0,698,2955.729598
1000.0,1163,2963.490002
1100.0,1207,2971.31828
700.0,1511,2981.471257
400.0,860,2987.155874
600.0,1444,2996.312134
1200.0,1343,3004.65718
1000.0,1314,3012.807858
500.0,942,3018.592803
800.0,983,3024.627352
400.0,709,3028.964257
700.0,1303,3037.040267
100.0,1038,3043.441092
300.0,767,3048.156739
500.0,1101,3054.971023
800.0,714,3059.310638
700.0,909,3064.921815
500.0,858,3070.179146
400.0,1054,3076.648931
400.0,952,3082.523841
1100.0,1288,3090.624475
0.0,580,3094.207011
500.0,1093,3101.001383
300.0,943,3106.836273
1300.0,2334,3121.413666
300.0,1373,3130.000875
600.0,1296,3138.024573
800.0,1267,3145.871392
600.0,1461,3154.906466
600.0,1049,3161.412295
100.0,959,3167.268697
500.0,716,3171.616878
0.0,599,3175.246628
700.0,921,3180.906262
200.0,898,3186.525993
1200.0,1545,3196.450157
600.0,980,3202.979631
700.0,898,3209.031112
1300.0,1833,3220.614185
700.0,1147,3227.700244
200.0,1093,3234.355009
900.0,1201,3241.634153
400.0,935,3247.485677
400.0,888,3252.917889
200.0,920,3258.570318
400.0,1204,3266.240981
900.0,1661,3276.665075
0.0,898,3282.543411
400.0,1354,3291.455068
800.0,1374,3300.429701
600.0,1075,3307.494034
200.0,732,3312.373595
1000.0,815,3317.670166
500.0,1418,3326.42003
200.0,1081,3333.032096
900.0,1868,3344.794125
600.0,1046,3351.577372
200.0,481,3354.549146
200.0,958,3360.603805
400.0,1507,3370.275014
200.0,741,3375.198704
900.0,1728,3386.051413
600.0,1046,3392.444896
600.0,971,3398.338477
800.0,1720,3408.861362
800.0,855,3414.081218
800.0,1468,3423.063493
800.0,1685,3433.377539
700.0,1296,3441.277673
0.0,560,3444.646167
500.0,1049,3451.023144
800.0,1017,3457.187698
900.0,1087,3463.815922
600.0,1054,3470.261056
200.0,864,3475.50291
1100.0,1113,3482.308091
200.0,1244,3489.948476
800.0,1618,3499.855808
1100.0,1416,3508.520958
800.0,1518,3517.797498
300.0,1300,3525.724194
400.0,1664,3536.002583
800.0,2351,3550.653952
700.0,1502,3560.459523
600.0,1321,3569.172228
700.0,1254,3577.312635
500.0,1265,3585.555953
400.0,799,3590.647643
800.0,703,3595.150166
700.0,1304,3603.61986
1300.0,1880,3615.857886
700.0,803,3621.00476
1000.0,1741,3632.24157
400.0,1008,3638.742393
1300.0,1532,3648.588634
700.0,1702,3659.592322
800.0,1512,3669.356855
500.0,1161,3677.745563
400.0,799,3683.105413
800.0,2046,3696.288856
600.0,1118,3703.107229
1000.0,1522,3711.934342
1000.0,1601,3721.189394
500.0,915,3726.47324
100.0,968,3732.03848
1000.0,1510,3740.758075
200.0,749,3745.040976
700.0,1262,3752.310266
600.0,802,3756.890899
300.0,1078,3763.102289
400.0,1211,3770.073361
700.0,1188,3776.927289
600.0,1083,3783.16678
600.0,1402,3791.262314
100.0,849,3796.131199
700.0,1270,3803.442844
1300.0,1279,3810.817212
900.0,1071,3816.981308
600.0,1274,3824.321724
800.0,1643,3833.975021
700.0,1373,3841.959262
1000.0,1841,3852.672075
800.0,1934,3863.883062
900.0,937,3869.299229
600.0,1012,3875.088895
400.0,1132,3881.617411
1100.0,1487,3890.188652
600.0,1042,3896.178862
1000.0,1055,3902.240934
2300.0,1471,3910.719644
700.0,1062,3916.810106
100.0,833,3921.582075
1000.0,1705,3931.460275
900.0,1852,3942.195342
500.0,1087,3948.457251
300.0,933,3953.802199
600.0,1177,3961.732791
1400.0,2134,3975.003237
700.0,967,3981.074529
300.0,963,3987.275516
700.0,1070,3993.49077
100.0,523,3996.454906
900.0,1304,4003.999114
900.0,1707,4013.910718
200.0,1165,4020.635664
300.0,1037,4026.630591
700.0,1568,4035.998185
600.0,949,4042.087012
500.0,1521,4051.677967
700.0,1038,4057.9974
1000.0,1537,4067.586385
500.0,1471,4076.711727
500.0,1100,4083.535525
500.0,1513,4093.002762
900.0,1305,4101.500866
1200.0,1255,4109.916598
1400.0,1534,4118.942413
1400.0,1440,4127.864006
2600.0,2088,4140.437383
900.0,992,4146.186386
900.0,1557,4155.293523
700.0,1108,4162.016642
400.0,1068,4168.172518
500.0,1446,4176.843492
800.0,1303,4184.473207
500.0,819,4189.192789
200.0,1119,4195.651982
400.0,636,4199.279372
300.0,842,4204.144267
600.0,937,4209.562808
500.0,676,4213.434636
200.0,1102,4219.791224
600.0,827,4224.625751
500.0,782,4229.098579
900.0,1734,4239.154482
300.0,1201,4246.113132
700.0,984,4251.760925
300.0,785,4256.270524
300.0,972,4261.879852
1300.0,1667,4271.535269
900.0,1668,4281.248091
900.0,1734,4291.362922
500.0,748,4295.646623
600.0,598,4299.054931
600.0,1168,4305.813654
