steps,mean 100 episode reward,episodes,% time spent exploring
19731,1.0,100,93
43714,0.9,200,85
64763,1.0,300,78
86535,1.1,400,71
105636,0.9,500,65
128783,1.0,600,57
150703,1.1,700,50
173069,1.0,800,42
192837,1.0,900,36
213116,0.8,1000,29
238069,0.9,1100,21
258634,0.7,1200,14
285248,1.1,1300,5
306670,0.9,1400,1
332120,0.8,1500,1
357185,1.1,1600,1
378919,1.0,1700,1
398977,1.0,1800,1
422444,1.2,1900,1
447738,1.1,2000,1
469863,1.0,2100,1
491097,0.7,2200,1
513250,0.8,2300,1
536518,0.8,2400,1
562457,0.9,2500,1
587312,0.9,2600,1
612640,1.2,2700,1
637678,0.9,2800,1
660891,1.1,2900,1
683379,1.0,3000,1
709046,1.2,3100,1
734151,1.2,3200,1
763776,1.3,3300,1
788252,0.9,3400,1
817495,1.6,3500,1
842754,1.1,3600,1
869719,1.5,3700,1
895243,1.4,3800,1
916190,1.4,3900,1
937850,1.5,4000,1
958222,1.6,4100,1
973759,1.5,4200,1
993400,2.2,4300,1
1014352,2.4,4400,1
1034167,2.3,4500,1
1052057,2.2,4600,1
1070934,2.3,4700,1
1090976,2.2,4800,1
1112763,2.6,4900,1
1133971,2.5,5000,1
1154665,2.7,5100,1
1174623,2.5,5200,1
1192352,2.3,5300,1
1211275,2.4,5400,1
1228107,2.3,5500,1
1247849,2.7,5600,1
1264830,2.4,5700,1
1282359,2.5,5800,1
1302588,2.7,5900,1
1322054,2.5,6000,1
1340850,2.4,6100,1
1359517,2.8,6200,1
1379894,2.7,6300,1
1400696,3.0,6400,1
1421755,2.8,6500,1
1443678,3.5,6600,1
1464269,2.6,6700,1
1483989,2.8,6800,1
1504630,2.9,6900,1
1524015,2.8,7000,1
1544313,2.8,7100,1
1563336,2.6,7200,1
1584343,2.6,7300,1
1603272,2.5,7400,1
1621931,2.6,7500,1
1638273,2.3,7600,1
1655174,2.6,7700,1
1672075,2.5,7800,1
1692264,3.0,7900,1
1711374,2.9,8000,1
1732419,3.3,8100,1
1749628,2.8,8200,1
1768512,2.6,8300,1
1787255,2.9,8400,1
1805019,2.8,8500,1
1827511,3.6,8600,1
1846929,3.0,8700,1
1865927,3.1,8800,1
1885635,3.2,8900,1
1904113,2.9,9000,1
1922593,3.0,9100,1
1939815,2.8,9200,1
1958943,3.1,9300,1
1977918,2.9,9400,1
1997000,2.6,9500,1
2019496,3.3,9600,1
2041015,3.4,9700,1
2062017,3.2,9800,1
2082535,3.1,9900,1
2101811,2.6,10000,1
2123344,2.9,10100,1
2143335,2.8,10200,1
2161556,2.4,10300,1
2183732,3.0,10400,1
2204598,3.0,10500,1
2222612,2.7,10600,1
2240913,2.9,10700,1
2257401,2.8,10800,1
2273868,2.4,10900,1
2289409,2.4,11000,1
2305302,2.8,11100,1
2320274,2.3,11200,1
2341825,2.8,11300,1
2362739,2.7,11400,1
2387534,2.7,11500,1
2413190,3.2,11600,1
2432398,2.3,11700,1
2449693,2.1,11800,1
2465827,2.0,11900,1
2482902,1.8,12000,1
2500538,2.0,12100,1
2518301,2.1,12200,1
2538179,2.8,12300,1
2554801,2.4,12400,1
2577073,2.8,12500,1
2596578,2.2,12600,1
2615624,2.5,12700,1
2636131,2.3,12800,1
2653915,1.9,12900,1
2673616,2.4,13000,1
2691434,2.3,13100,1
2710033,2.3,13200,1
2724764,2.0,13300,1
2743587,2.8,13400,1
2762641,3.0,13500,1
2780459,2.7,13600,1
2798369,2.6,13700,1
2815448,2.4,13800,1
2833107,2.9,13900,1
2851901,2.6,14000,1
2873855,2.9,14100,1
2894497,2.9,14200,1
2916610,2.9,14300,1
2938905,2.7,14400,1
2957941,2.2,14500,1
2976882,2.3,14600,1
2998836,2.7,14700,1
