#{"env_id": "VideoPinballNoFrameskip-v4", "t_start": 1537726528.151531}
r,l,t
12118.0,1753,9.524925
13320.0,1466,13.731236
20739.0,3402,24.372981
15232.0,2826,32.576859
8424.0,1492,42.254564
15611.0,2275,61.084114
25915.0,1925,74.655711
12616.0,1843,89.040508
17138.0,3242,116.05303
35761.0,4508,153.229531
31379.0,6171,203.005878
100395.0,6769,257.568655
15318.0,2028,274.258037
21032.0,3100,299.526649
29534.0,2833,322.580726
28726.0,2639,343.748605
12111.0,1746,358.05288
19133.0,2888,381.5173
4020.0,1467,393.692861
13321.0,2429,413.717805
41942.0,4360,449.295477
9119.0,1361,460.331146
33541.0,3903,492.23418
8608.0,1294,502.901994
8910.0,1179,512.874285
10217.0,1516,525.383048
13815.0,1570,538.340819
11017.0,2158,556.342035
9828.0,2076,573.375654
11915.0,1575,586.103754
2715.0,1229,596.510046
30525.0,3288,624.499989
14016.0,1333,635.590887
34837.0,3641,664.826641
11121.0,1810,677.447443
17734.0,3025,699.856442
12825.0,2284,716.805435
20235.0,2266,733.718487
1505.0,472,737.223154
9716.0,1389,747.667195
6220.0,1446,758.435222
5611.0,1062,766.340787
51249.0,5388,806.581802
41332.0,3316,833.893934
15128.0,1777,848.725067
45263.0,4983,890.013889
3112.0,917,897.516665
42842.0,3883,929.20774
9611.0,1284,938.962458
51651.0,5290,975.854668
49621.0,3145,998.115265
14937.0,3574,1026.566142
20318.0,2580,1047.0632
31635.0,3211,1072.876605
8821.0,2055,1089.267237
19725.0,2942,1112.797302
1907.0,572,1117.554478
6909.0,1539,1130.185743
6326.0,1582,1142.967029
39144.0,4636,1180.588179
37339.0,2903,1204.328273
9122.0,1897,1219.683754
47468.0,6182,1270.457295
11525.0,2144,1285.350194
27521.0,2434,1302.354619
6510.0,1352,1313.126146
18020.0,2693,1334.38744
5106.0,830,1340.90421
20621.0,1878,1355.795252
13330.0,2500,1375.4111
29152.0,4563,1411.250161
10624.0,2743,1432.57573
34942.0,3937,1463.421123
6109.0,1451,1474.821696
1003.0,696,1480.285637
50957.0,5288,1523.396667
14522.0,2127,1540.703362
34154.0,4499,1577.503962
9026.0,2549,1598.555682
4321.0,1513,1610.714229
3909.0,2021,1627.162466
17417.0,2200,1645.022241
9123.0,1757,1659.344504
8919.0,2322,1678.096406
5107.0,1189,1687.711145
9909.0,1957,1703.61421
17018.0,2108,1720.781811
9707.0,1875,1736.062424
8027.0,2045,1752.478611
17620.0,2617,1774.0906
3505.0,778,1780.41242
27637.0,4525,1817.128107
705.0,679,1822.680389
2511.0,1323,1833.591655
18613.0,2127,1850.948226
21337.0,4622,1888.511877
11315.0,2452,1908.282367
2505.0,686,1913.811702
37731.0,4776,1952.95393
10015.0,1522,1965.380969
4420.0,1588,1978.373355
9223.0,2237,1996.5693
5913.0,1983,2012.294547
2105.0,664,2017.59835
15840.0,3300,2042.021958
63525.0,5004,2077.528538
12218.0,1573,2089.558861
2204.0,616,2094.412895
9013.0,1969,2109.454541
5104.0,1154,2118.298072
1714.0,999,2125.988693
2707.0,940,2133.291418
3701.0,856,2139.521456
20236.0,3164,2162.670034
24624.0,2758,2184.06694
12010.0,2504,2203.90202
2707.0,2407,2223.849862
8813.0,1917,2239.741894
15222.0,3783,2269.796461
15321.0,3414,2294.313992
1208.0,925,2301.081117
1718.0,1288,2310.776031
11307.0,2547,2329.35234
43118.0,2315,2346.303301
6713.0,1586,2358.280039
10221.0,7647,2417.407841
1805.0,535,2421.760713
8713.0,3483,2450.157028
4809.0,4096,2483.490127
1906.0,1002,2491.610901
4919.0,1498,2503.70397
8729.0,4024,2536.15429
4105.0,1983,2552.674415
20227.0,2969,2576.552897
1903.0,960,2584.165678
19428.0,3962,2616.233898
11527.0,2629,2637.689825
1810.0,3031,2661.129384
4421.0,1751,2673.551951
4103.0,5875,2717.902924
8713.0,6688,2766.775694
2106.0,3436,2791.443478
11818.0,19647,2939.305942
4102.0,3592,2967.317542
21318.0,5456,3009.882097
15635.0,8499,3076.729206
32319.0,9632,3151.299509
5919.0,5215,3191.71085
16822.0,4069,3222.801663
5613.0,4930,3260.297343
12311.0,5788,3305.992015
12922.0,5454,3347.902567
4406.0,4109,3381.290018
6103.0,1576,3394.037337
6405.0,1396,3405.274826
6610.0,2711,3427.090267
17009.0,2303,3445.698351
5919.0,3031,3470.026113
5216.0,1448,3481.819411
53947.0,5620,3527.606823
41544.0,6689,3581.586458
8227.0,2978,3605.54712
706.0,2551,3626.231716
5411.0,2904,3650.210864
8709.0,6959,3706.947647
18619.0,19589,3867.257626
17620.0,5845,3916.088301
21331.0,4648,3954.536745
19944.0,4086,3988.164441
7003.0,4533,4025.710872
4212.0,1817,4040.805813
10307.0,1184,4050.456638
4511.0,1108,4059.651931
3104.0,1294,4070.392108
5818.0,2032,4087.179717
15321.0,4485,4124.321742
37641.0,4182,4158.883575
32160.0,8084,4226.134845
3709.0,1279,4236.87072
7411.0,2235,4255.50206
4511.0,3081,4280.705692
5006.0,4254,4315.464944
12913.0,2299,4334.465696
13034.0,2698,4355.97883
14119.0,3985,4388.656103
10217.0,1796,4403.089492
26545.0,5450,4447.585871
6603.0,852,4454.552886
3007.0,99999,5267.211197
9315.0,2693,5289.073628
14830.0,10756,5376.769451
2607.0,1826,5391.517336
5017.0,5686,5438.004082
803.0,3023,5462.699184
2904.0,3474,5491.061603
8110.0,1113,5500.07772
7408.0,5284,5537.858462
4415.0,1768,5552.338082
22651.0,6127,5603.934437
33748.0,8264,5672.723334
3708.0,5350,5717.415204
9211.0,2627,5739.42205
502.0,3257,5766.529153
102.0,1643,5780.193972
11810.0,1444,5792.299009
57148.0,7121,5851.540126
14730.0,6185,5903.037119
5406.0,3223,5930.019321
13614.0,2124,5947.641182
14521.0,2333,5967.023463
6614.0,1845,5982.435632
12518.0,6402,6036.051095
7123.0,6135,6086.950253
3505.0,4395,6123.670228
8208.0,2870,6147.536186
12024.0,2583,6168.949083
18138.0,9173,6245.503414
17551.0,9289,6322.890101
9020.0,5310,6367.018914
39434.0,4535,6405.23923
53556.0,8298,6474.865598
3218.0,2355,6494.578477
8715.0,1663,6508.523833
57747.0,4432,6545.505379
18553.0,5602,6592.351595
11216.0,4632,6631.382024
1810.0,1934,6647.682918
4211.0,788,6654.258203
6307.0,1747,6668.835622
24629.0,3759,6697.144052
9028.0,3144,6720.198825
8012.0,6352,6766.051925
1512.0,2871,6786.724409
2605.0,1270,6795.832936
13920.0,4964,6831.599735
4203.0,1373,6841.502271
903.0,1766,6854.218652
3404.0,580,6858.367338
9120.0,99993,7576.94308
5515.0,6035,7620.796729
302.0,489,7624.348478
0.0,1268,7633.622897
22330.0,8903,7698.476693
1605.0,7938,7756.45242
1800.0,4195,7787.126172
5914.0,6246,7832.71297
5713.0,2428,7850.122612
6006.0,3652,7876.074893
4114.0,3235,7899.215705
301.0,1049,7906.638169
5011.0,5092,7943.083935
63976.0,12344,8031.987277
9518.0,5213,8070.302973
2304.0,99995,8786.6235
100.0,733,8791.861008
1801.0,3247,8815.210392
1504.0,1177,8823.631142
203.0,733,8828.924412
9107.0,1107,8836.899916
10721.0,6033,8880.318003
4605.0,5498,8919.505782
6915.0,3055,8941.047306
8619.0,3381,8964.981104
10423.0,2003,8979.108508
7313.0,4998,9014.912935
4812.0,3362,9039.132866
9316.0,1562,9050.370709
806.0,808,9056.247772
8011.0,1580,9067.606229
11118.0,5044,9103.446376
12707.0,1857,9116.711162
13517.0,1618,9128.37443
16132.0,5457,9167.648273
2608.0,798,9173.264767
10021.0,1933,9187.114343
6012.0,3289,9210.756229
3604.0,1198,9219.439518
5707.0,1529,9230.328513
20744.0,3491,9255.448309
8722.0,5802,9297.296522
33437.0,6064,9340.711065
13418.0,4999,9376.770567
1810.0,3708,9403.54235
5719.0,3538,9429.016968
21733.0,6149,9473.18782
18631.0,3640,9499.233159
19819.0,2013,9513.73786
4308.0,3929,9541.654687
4805.0,1454,9552.150671
9407.0,1649,9564.009634
6307.0,1635,9575.73716
4022.0,4619,9609.169544
56033.0,5222,9647.069017
5622.0,3268,9670.625901
6220.0,3018,9692.179832
3501.0,2174,9707.770097
801.0,1288,9717.045939
202.0,513,9720.672426
20333.0,5284,9758.685395
7312.0,2656,9777.677099
2811.0,2711,9796.899995
3004.0,2551,9814.870948
5403.0,1154,9822.933555
6808.0,2453,9840.651931
18822.0,5715,9881.523804
22740.0,4021,9910.320566
5914.0,3683,9936.473993
12333.0,2571,9954.730052
8109.0,1192,9963.20568
21130.0,3984,9991.73999
57048.0,5257,10029.540277
30427.0,4046,10058.529111
14312.0,3113,10080.759874
10026.0,3631,10106.78635
5421.0,2097,10121.789794
6451.0,5533,10161.388968
17621.0,2520,10179.318745
4505.0,2429,10196.73031
3001.0,1301,10206.020307
19633.0,3014,10227.878423
5608.0,665,10232.718599
17638.0,5211,10270.001747
12610.0,1356,10279.690403
47141.0,3773,10306.604257
9425.0,3038,10328.175381
7118.0,2083,10343.554462
20649.0,5809,10385.621633
4112.0,3568,10411.224677
1302.0,782,10416.892421
5923.0,1610,10428.360274
5804.0,1074,10436.023902
10526.0,2247,10452.062494
10512.0,1468,10462.589472
1205.0,1100,10470.505305
37846.0,6849,10519.043067
26038.0,4785,10553.357346
7610.0,1875,10566.69513
25919.0,3152,10588.763932
6022.0,6945,10637.527353
28136.0,3613,10663.263101
10015.0,1494,10674.074813
6111.0,2378,10691.274002
0.0,143,10692.362985
2406.0,819,10698.248988
7516.0,1373,10708.176288
14112.0,1580,10719.716785
11818.0,1623,10731.390691
39734.0,3291,10755.085528
7023.0,5128,10791.973306
14226.0,1956,10805.947451
902.0,401,10808.76386
28642.0,3216,10831.678471
10851.0,6135,10875.27261
31643.0,5994,10918.926727
16737.0,3437,10943.771698
23730.0,3892,10972.12334
3807.0,579,10976.29747
7016.0,1179,10984.8362
37330.0,4461,11017.075435
20321.0,1389,11027.207205
7726.0,3528,11052.496606
37940.0,2782,11072.709196
29542.0,4500,11104.680298
17225.0,2641,11123.412271
4206.0,3309,11146.867673
5708.0,2410,11164.550433
37834.0,4115,11194.415389
7420.0,1849,11207.66828
0.0,148,11208.69182
11420.0,2090,11223.488654
9518.0,1441,11233.691346
12313.0,1494,11244.3452
61254.0,5522,11283.848822
14220.0,1428,11294.039165
26951.0,4615,11327.319109
23537.0,2627,11346.53763
3904.0,99998,12059.11964
2815.0,2835,12079.513848
24327.0,7477,12133.128255
21218.0,2274,12149.508785
6504.0,1345,12159.199283
8118.0,2980,12180.428158
12538.0,9140,12246.149453
8318.0,5501,12285.737571
8012.0,1779,12298.648448
12611.0,2958,12320.157011
4409.0,1246,12329.1961
0.0,1219,12338.065049
22133.0,3402,12362.603374
5913.0,1449,12373.057404
5118.0,1516,12384.005349
39848.0,4492,12416.319336
22242.0,3618,12442.154306
22166.0,5800,12483.889524
2307.0,1992,12498.194755
1806.0,2722,12517.693892
101.0,343,12520.162708
13227.0,2375,12537.224373
6210.0,980,12544.205145
4408.0,687,12549.079515
2509.0,877,12555.26916
3108.0,1060,12562.841998
29639.0,4300,12593.74494
21228.0,2095,12608.50181
44849.0,4676,12641.911637
23426.0,3444,12666.673114
31132.0,3151,12689.308686
18027.0,1866,12702.696792
2811.0,869,12708.751523
16730.0,2314,12725.412662
19017.0,1608,12736.992335
9016.0,1696,12749.307415
3009.0,608,12753.683001
22227.0,2759,12773.572488
19446.0,2859,12794.087468
5422.0,1660,12805.944743
802.0,433,12809.00949
902.0,818,12814.889363
11113.0,1314,12824.327055
3806.0,1057,12831.776819
10027.0,2172,12847.293671
1402.0,383,12849.988621
