steps,% time spent exploring,episodes,mean 100 episode reward
77982,74,100,39.5
156639,48,200,38.8
233909,22,300,33.1
301201,1,400,26.6
443868,1,500,23.0
671067,1,600,31.7
813271,1,700,31.5
1127847,1,800,21.7
1228361,1,900,23.4
1327779,1,1000,28.2
1418052,1,1100,31.2
1619502,1,1200,34.9
1688943,1,1300,30.3
1764189,1,1400,29.6
1852349,1,1500,40.6
1930147,1,1600,35.4
1998904,1,1700,27.9
2088695,1,1800,45.6
2177858,1,1900,42.2
2265473,1,2000,45.0
2350489,1,2100,41.0
2425224,1,2200,37.7
2495487,1,2300,31.6
2583207,1,2400,45.5
2664901,1,2500,45.2
2751128,1,2600,46.2
2840940,1,2700,50.8
