#{"t_start": 1537749201.0680091, "env_id": "VideoPinballNoFrameskip-v4"}
r,l,t
20844.0,3299,12.732507
19750.0,4017,27.872184
15415.0,1501,34.723245
8419.0,1694,44.128028
25827.0,2519,64.715732
11014.0,2065,79.338586
35353.0,3422,104.646574
14527.0,2005,119.565958
10424.0,2788,138.952879
24232.0,2850,160.625281
6517.0,1217,169.386217
9518.0,1489,180.413797
16823.0,2165,196.226895
13220.0,1739,207.39627
7321.0,1973,220.07185
9023.0,1554,230.064509
70782.0,7325,277.451795
5216.0,1492,287.0223
20044.0,4635,316.891392
11826.0,2543,333.243627
35636.0,2982,352.409332
35234.0,3547,375.186777
18739.0,3148,395.524689
7011.0,1372,404.600839
15837.0,2355,421.275311
22530.0,3256,443.860791
19339.0,3183,465.7179
10415.0,1303,474.798376
5008.0,1194,483.053797
10917.0,1548,493.762403
25126.0,2458,510.895153
23041.0,3725,537.007685
18525.0,2345,553.305099
23156.0,4023,581.333876
24228.0,2841,601.36851
77253.0,4860,634.88497
22945.0,2776,653.945973
3304.0,698,658.686636
18034.0,3151,680.590844
3907.0,753,685.702911
60985.0,8106,741.479693
8016.0,1191,749.769301
3214.0,923,756.159737
29341.0,3512,780.122898
1903.0,352,782.57547
4308.0,701,787.334177
54167.0,5398,824.294948
29024.0,3154,845.893218
23060.0,4782,878.833377
20224.0,3010,899.771983
2208.0,989,906.617759
15537.0,2827,926.200493
23826.0,3507,950.254181
2807.0,956,956.800814
13008.0,1344,966.088235
6310.0,1306,975.181732
8826.0,1610,986.337311
22435.0,2993,1007.32498
4107.0,877,1013.353285
19733.0,2119,1027.982203
15224.0,2662,1046.509538
13535.0,2719,1065.395591
1406.0,682,1070.228797
18910.0,1782,1082.526114
6209.0,1254,1091.173422
17223.0,2023,1105.147082
9324.0,2981,1125.833059
15830.0,2111,1140.46609
1604.0,617,1144.753969
6912.0,1339,1153.935429
8732.0,2684,1172.463022
8339.0,2966,1193.095332
44361.0,4201,1222.160448
18022.0,1892,1235.283319
9920.0,2581,1253.019553
15118.0,1697,1264.721554
2304.0,806,1270.258531
9524.0,1924,1283.401252
17129.0,2236,1298.653026
70386.0,7077,1347.477256
2008.0,755,1352.766121
13318.0,2172,1367.909208
4302.0,1169,1375.949832
6610.0,1776,1388.216283
8521.0,1435,1398.170769
3002.0,1036,1405.283373
21824.0,2499,1422.542166
1605.0,549,1426.301669
13811.0,1514,1436.710139
22921.0,2846,1456.498713
11015.0,1971,1470.171143
7719.0,1604,1481.259969
13104.0,1046,1488.393993
2103.0,646,1492.834296
3204.0,664,1497.419006
10726.0,2420,1514.140404
4317.0,1290,1523.143183
3714.0,1280,1532.030327
12116.0,2290,1547.864974
7110.0,1034,1555.111995
2608.0,1447,1565.136425
3410.0,1212,1573.512409
4512.0,1217,1581.917095
7920.0,1413,1591.811172
11325.0,1873,1604.914574
2006.0,770,1610.221931
3703.0,585,1614.250284
7214.0,1384,1623.826709
10319.0,1507,1634.360062
4011.0,834,1640.102406
9306.0,2102,1654.590893
7109.0,1523,1665.118948
12736.0,2775,1684.134423
11831.0,2892,1704.034892
200.0,694,1708.807819
6417.0,1503,1719.151172
605.0,477,1722.372857
3511.0,1246,1730.874299
14024.0,1847,1744.590363
4708.0,1854,1758.21341
6423.0,2163,1774.16355
3111.0,1230,1783.221267
16624.0,1986,1797.786134
5610.0,1329,1807.523656
1411.0,892,1813.993859
6515.0,1379,1824.113892
1002.0,766,1829.783495
10219.0,1448,1840.439344
6711.0,2741,1860.453489
1103.0,744,1865.938245
7516.0,1455,1876.517843
30345.0,4279,1907.912292
50428.0,4262,1939.090776
24346.0,4027,1968.536805
14609.0,1520,1979.695452
4208.0,612,1984.195745
7513.0,1813,1997.402337
1401.0,1419,2007.659359
7614.0,2044,2022.576789
6516.0,1435,2033.087045
6109.0,1472,2043.842977
1403.0,870,2050.248956
17924.0,2478,2068.345475
27834.0,5967,2111.954651
15626.0,2908,2133.213083
17031.0,4113,2163.243349
4908.0,1092,2171.26956
13417.0,3509,2196.99103
11844.0,4765,2231.751778
30042.0,5073,2268.839226
13220.0,2141,2284.400449
5414.0,1551,2295.638598
32224.0,3166,2318.741471
23621.0,2768,2338.686117
2304.0,961,2345.605927
12814.0,3271,2369.472512
20937.0,3180,2392.731371
1400.0,1766,2405.654058
25028.0,3510,2431.402002
11021.0,2231,2447.696743
17625.0,3570,2473.920992
4007.0,2111,2489.211419
3004.0,1523,2500.441992
2006.0,1411,2510.581164
41554.0,5260,2548.612909
9108.0,1333,2558.20104
4917.0,1755,2571.03632
10717.0,1978,2585.475298
1507.0,1793,2598.47432
15818.0,2710,2619.036182
12313.0,1874,2633.018215
5608.0,1257,2642.31039
34726.0,3974,2671.482211
5912.0,2252,2688.263114
11711.0,1939,2702.656089
10908.0,1830,2716.128321
10609.0,1595,2727.893258
19521.0,2557,2746.873643
12008.0,1619,2758.835827
12920.0,3766,2786.607189
2702.0,1104,2794.789531
4824.0,1882,2808.802593
7412.0,1614,2820.659958
3411.0,2541,2839.62962
12519.0,2470,2857.87151
17821.0,2414,2875.767665
2615.0,1136,2884.175023
12616.0,1388,2894.478357
9412.0,1319,2904.196233
5315.0,1519,2915.48863
9712.0,1659,2927.819622
20430.0,3221,2951.647259
3805.0,1697,2964.116806
8724.0,2414,2982.060952
2016.0,1355,2992.092667
4412.0,1486,3003.100408
2004.0,953,3010.088036
2105.0,1128,3018.375389
1204.0,498,3022.02109
14417.0,2137,3037.850648
24917.0,2876,3058.960723
7812.0,2033,3073.963742
14617.0,2648,3093.291905
1204.0,1607,3105.182491
18615.0,2648,3124.606217
809.0,734,3130.012065
32733.0,5181,3167.904002
32554.0,4924,3204.176877
8913.0,2562,3222.917667
4408.0,1496,3233.875526
16118.0,2283,3250.664345
20929.0,3133,3273.679467
4621.0,2676,3293.464679
17622.0,1858,3307.046519
8307.0,1216,3315.970173
19132.0,3133,3338.90847
1.0,494,3342.534347
