mean 100 episode reward,episodes,% time spent exploring,steps
41.3,100,73,79195
39.3,200,47,158802
28.9,300,26,221717
18.6,400,11,268316
31.1,500,1,349618
26.3,600,1,418625
25.3,700,1,588881
30.2,800,1,763894
31.2,900,1,841210
36.6,1000,1,921240
39.1,1100,1,1005995
32.2,1200,1,1082157
35.7,1300,1,1161175
33.0,1400,1,1339498
41.8,1500,1,1429637
44.5,1600,1,1520857
52.9,1700,1,1620725
33.2,1800,1,1688326
42.6,1900,1,1775294
51.3,2000,1,1873946
31.1,2100,1,1936031
31.7,2200,1,2001082
38.7,2300,1,2072914
41.3,2400,1,2148332
45.4,2500,1,2231088
42.0,2600,1,2308053
48.9,2700,1,2395070
39.2,2800,1,2466374
43.6,2900,1,2561494
29.7,3000,1,2722708
42.2,3100,1,2800730
38.6,3200,1,2890037
47.9,3300,1,2990546
