% time spent exploring,mean 100 episode reward,steps,episodes
73,42.6,81154,100
49,35.0,152284,200
29,29.1,213755,300
10,22.8,270139,400
1,22.8,332187,500
1,27.5,400491,600
1,24.6,459684,700
1,29.7,531789,800
1,28.1,598270,900
1,21.6,770673,1000
1,28.3,840490,1100
1,33.1,921241,1200
1,29.9,1096450,1300
1,31.7,1170080,1400
1,24.8,1234266,1500
1,25.0,1302239,1600
1,27.5,1386241,1700
1,27.1,1450224,1800
1,31.4,1525986,1900
1,27.7,1607457,2000
1,28.4,1688141,2100
1,28.6,1849135,2200
1,14.2,1886227,2300
1,22.4,1938875,2400
1,23.1,1994062,2500
1,18.4,2138747,2600
1,29.7,2209348,2700
1,27.6,2279772,2800
1,30.4,2350133,2900
1,36.7,2438719,3000
1,24.6,2496682,3100
1,36.8,2570623,3200
1,29.4,2630782,3300
1,25.6,2687491,3400
1,26.4,2745200,3500
1,29.0,2808454,3600
1,29.9,2874374,3700
1,28.3,2935757,3800
