#{"t_start": 1537391836.8216755, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,941,4.244726
-20.0,970,6.424617
-21.0,877,8.413496
-21.0,818,10.255748
-20.0,884,12.245794
-21.0,939,14.360719
-21.0,791,16.235373
-20.0,892,18.340428
-21.0,822,20.324652
-19.0,991,22.722865
-20.0,833,24.802809
-20.0,921,29.671148
-20.0,1009,36.119643
-21.0,837,41.358088
-19.0,1041,47.427215
-20.0,891,52.606501
-20.0,956,58.19793
-20.0,937,63.632313
-19.0,1039,69.655853
-19.0,1010,75.523164
-20.0,855,80.534115
-20.0,988,86.280193
-21.0,777,90.772994
-20.0,921,96.119329
-21.0,792,100.710635
-21.0,910,106.018436
-21.0,820,110.890193
-21.0,966,116.530875
-21.0,851,121.519369
-21.0,986,127.277058
-21.0,848,132.204108
-20.0,884,137.445514
-21.0,761,141.947623
-21.0,848,147.03189
-19.0,1094,153.866374
-19.0,1080,160.769831
-21.0,850,165.800036
-21.0,838,170.647555
-16.0,1279,178.044196
-19.0,1067,184.224828
-21.0,845,189.099932
-19.0,935,194.526664
-19.0,1176,201.374346
-21.0,881,206.51151
-20.0,895,211.688718
-20.0,965,217.473658
-19.0,982,223.283341
-21.0,820,228.025519
-20.0,956,233.7453
-21.0,914,239.672904
-20.0,992,246.11734
-18.0,1239,253.546426
-20.0,954,259.3152
-20.0,941,265.336609
-21.0,911,270.872391
-21.0,959,276.43117
-21.0,819,281.162167
-20.0,957,286.698182
-21.0,850,291.624542
-19.0,1062,297.764129
-20.0,837,302.608092
-21.0,817,307.327568
-21.0,823,312.092141
-21.0,928,317.471205
-21.0,906,322.771812
-20.0,930,328.154518
-20.0,897,333.357256
-21.0,899,338.572598
-19.0,1007,344.515219
-21.0,851,349.463187
-21.0,821,354.192784
-19.0,1150,361.179075
-19.0,1055,368.091297
-21.0,1182,375.439034
-21.0,927,381.085508
-19.0,1003,387.221877
-21.0,911,392.814192
-21.0,804,397.638162
-21.0,864,402.677836
-21.0,875,407.788834
-21.0,817,412.529804
-21.0,938,417.994644
-19.0,1033,424.000278
-21.0,909,429.3233
-21.0,850,434.265121
-20.0,953,440.476349
-21.0,789,445.176516
-20.0,930,450.63324
-21.0,787,455.258787
-19.0,991,461.009736
-20.0,916,466.350647
-21.0,807,471.065758
-20.0,1008,476.933751
-20.0,867,481.980968
-21.0,810,486.80794
-21.0,760,491.481864
-19.0,1015,497.639888
-20.0,901,503.044901
-20.0,986,508.931754
-19.0,933,514.383049
-20.0,1080,520.68515
-20.0,972,526.36765
-21.0,993,532.163852
-20.0,936,537.644305
-21.0,1032,543.657063
-18.0,1117,550.184945
-17.0,1427,558.627079
-19.0,995,564.782137
-20.0,938,570.263956
-20.0,956,575.79709
-20.0,952,581.326875
-19.0,1086,587.646232
-21.0,877,592.736141
-19.0,914,598.081434
-21.0,839,602.951352
-21.0,942,608.412359
-21.0,820,613.169322
-15.0,1410,621.392756
-19.0,1112,628.042508
-21.0,970,634.31498
-20.0,920,639.916639
-20.0,979,646.869774
-21.0,957,653.969955
-21.0,958,661.06457
-20.0,973,668.327196
-20.0,1049,675.977293
-20.0,1104,684.088758
-19.0,1088,692.481923
-21.0,847,698.647532
-20.0,959,705.704388
-18.0,1070,713.544273
-19.0,994,720.773615
-21.0,943,727.67521
-21.0,1198,736.341136
-17.0,1444,746.923099
-19.0,1217,755.779165
-20.0,841,761.869457
-21.0,909,768.771493
-20.0,1173,777.44371
-21.0,1013,784.79194
-19.0,1059,792.43656
-20.0,972,799.402898
-19.0,1166,807.826748
-19.0,1273,817.048825
-18.0,1523,828.053853
-19.0,1130,836.257461
-19.0,1143,844.541974
-21.0,1215,853.321766
-21.0,1265,862.520538
-18.0,1348,872.332952
-20.0,878,878.643668
-19.0,1315,888.166076
-17.0,1332,897.956365
-20.0,1394,907.985873
-20.0,1048,915.625576
-21.0,1033,923.138005
-19.0,1175,931.560749
-20.0,1150,939.941272
-20.0,1165,948.317472
-21.0,907,954.835989
-20.0,1011,962.069398
-20.0,1197,970.538954
-18.0,1092,978.267245
-18.0,1596,989.908481
-20.0,914,996.511122
-19.0,1415,1006.775347
-20.0,1242,1015.760202
-20.0,1101,1023.583378
-20.0,1289,1032.857301
-20.0,1142,1041.123674
-20.0,1291,1050.50607
-20.0,1286,1060.107369
-19.0,1519,1071.144055
-20.0,1048,1078.706597
-20.0,1103,1086.683884
-21.0,1277,1096.068486
-17.0,1776,1108.870186
-18.0,1306,1118.421098
-20.0,1110,1126.479384
-20.0,1144,1134.80025
-21.0,922,1141.506881
-18.0,1404,1151.761469
-20.0,1287,1161.142677
-20.0,1311,1170.629365
-20.0,1224,1179.643171
-18.0,1482,1190.375111
-19.0,1189,1199.108742
-20.0,1043,1206.519045
-20.0,1080,1214.143744
-20.0,1284,1223.508548
-20.0,1444,1233.807563
-20.0,1167,1242.289248
-19.0,1315,1251.846392
-20.0,1039,1259.452744
-19.0,1641,1271.384124
-15.0,1815,1284.641533
-18.0,1561,1295.962037
-19.0,1616,1307.661301
-20.0,1440,1318.138887
-19.0,1760,1330.895065
-20.0,1424,1340.981043
-19.0,1352,1350.921693
-19.0,1276,1360.246431
-16.0,1626,1372.208308
-16.0,1456,1382.760396
-19.0,1607,1394.508817
-20.0,1523,1405.722197
-20.0,1566,1417.34199
-21.0,1194,1425.956091
-20.0,1366,1435.85822
-20.0,2015,1450.381694
-20.0,1198,1458.919687
-18.0,1629,1470.652236
-19.0,1491,1480.73008
-16.0,2027,1495.491824
-18.0,1491,1505.744703
-18.0,1411,1515.360161
-18.0,2121,1529.94785
-15.0,1840,1542.776778
-20.0,1644,1554.17882
-19.0,1509,1564.755644
-13.0,2642,1582.822471
-16.0,2198,1597.855655
-21.0,1366,1607.145828
-16.0,1830,1619.660904
-20.0,1853,1632.54342
-15.0,1906,1645.503664
-20.0,1415,1655.053226
-16.0,2288,1670.615307
-19.0,1502,1680.742344
-20.0,1681,1692.037786
-19.0,1262,1701.001322
-18.0,1263,1709.72322
-17.0,1707,1722.322567
-17.0,1779,1735.096498
-17.0,1897,1748.376189
-16.0,2016,1762.43291
-19.0,1757,1775.07372
-19.0,1737,1787.150203
-20.0,1421,1797.049372
-20.0,1479,1807.369458
-19.0,1840,1820.297279
-18.0,1554,1831.081459
-15.0,2018,1845.572283
-15.0,1813,1858.23286
-15.0,1985,1871.946262
-18.0,1311,1881.062233
-19.0,1363,1890.609783
-16.0,1610,1901.823191
-17.0,2208,1917.645393
-15.0,1795,1930.107382
-15.0,1872,1942.997774
-17.0,1734,1955.002522
-19.0,1463,1965.159561
-19.0,1519,1976.050287
-11.0,2971,1996.761179
-14.0,1912,2010.097065
-15.0,1775,2022.416736
-19.0,1533,2032.957868
-11.0,2450,2050.542267
-18.0,1888,2063.515183
-13.0,1939,2076.942946
-10.0,2089,2091.334664
-16.0,1537,2101.992858
-18.0,1652,2113.366884
-21.0,1498,2124.359612
-10.0,1964,2137.960537
-18.0,1535,2148.848477
-16.0,1667,2160.422605
-13.0,2186,2175.476446
-15.0,1522,2186.476315
-10.0,2333,2202.679571
-11.0,2294,2218.595411
-21.0,1393,2228.123529
-16.0,1872,2241.244384
-13.0,2022,2255.866153
-14.0,1783,2268.185278
-17.0,1856,2281.043052
-17.0,1703,2292.834062
-11.0,1916,2306.073119
-15.0,1723,2318.059382
-17.0,1542,2329.179587
-14.0,1851,2342.194767
-19.0,1360,2351.62336
-17.0,1596,2362.697701
-18.0,1456,2372.944782
-19.0,1433,2382.83533
-14.0,1887,2396.563134
-16.0,1654,2408.04202
-16.0,1770,2420.428864
-20.0,1487,2430.717545
-13.0,2004,2444.678771
-12.0,2184,2459.82785
-18.0,1537,2470.942732
-11.0,2257,2486.667246
-17.0,2247,2502.183334
-10.0,2337,2518.348629
-18.0,1524,2528.88079
-14.0,2233,2545.205108
-17.0,1529,2555.804139
-17.0,2057,2569.991582
-12.0,2819,2589.431969
-11.0,2858,2609.628487
-12.0,2487,2626.79688
-13.0,2887,2646.905815
-14.0,2975,2667.543936
-18.0,1913,2681.295278
-11.0,2839,2700.855424
-14.0,2657,2719.288541
-20.0,1262,2727.993262
-17.0,1401,2737.727899
-4.0,3331,2761.432879
-15.0,2285,2777.314989
-16.0,2264,2792.943715
-5.0,2889,2812.923902
-9.0,3030,2834.29701
-15.0,2284,2850.277265
-12.0,2620,2868.486324
-16.0,2178,2883.586495
-14.0,2689,2902.69855
-12.0,2707,2921.614846
-12.0,2788,2941.131889
-8.0,2790,2960.834505
-21.0,905,2967.372934
-4.0,2800,2986.871003
-16.0,2312,3003.056472
-18.0,1801,3015.566636
